KEY_TO_RAW,HIGHER_GEOG,municipality
17 mi NW of Sopchoppy,"North America, United States, Florida, Wakulla County",Sopchoppy
17mi NW of Sopchoppy; Smith Creek,"North America, United States, Florida, Wakulla County",Sopchoppy
17 mi NW Sopchoppy (Smith Creek),"North America, United States, Florida, Wakulla County",Sopchoppy
"1900 feet alt., Smoky Mountains","North America, United States, Tennessee, Blount County",Cades Cove
1 mile east of Dundee,"North America, United States, Illinois, Kane County",West Dundee
"1 mile N. of Des Plaines, IL","North America, United States, Illinois, Cook County",Des Plaines
"1 mile N. of Des Plaines, IL.","North America, United States, Illinois, Cook County",Des Plaines
"1 mile N. of Des Plaines, IL [Illinois]","North America, United States, Illinois, Cook County",Des Plaines
1 mile north DesPaines Cook Co. Ill [Illinois],"North America, United States, Illinois, Cook County",Des Plaines
1 mile north of,"North America, United States, California, Los Angeles County",Claremont
1 mile north of DesPlaines,"North America, United States, Illinois, Cook County",Des Plaines
"1 mile north of DesPlaines, IL","North America, United States, Illinois, Cook County",Des Plaines
"1 mile north of Desplaines [Des Plaines], Cook Co., Ill","North America, United States, Illinois, Cook County",Des Plaines
"1 mile north of Desplaines [Des Plaines], Cook Co., Ill.","North America, United States, Illinois, Cook County",Des Plaines
"1 mile north of Desplaines [Des Plaines], Cook Co., Ill [Illinois]","North America, United States, Illinois, Cook County",Des Plaines
1 mile north of DesPlaines [Des Plaines] Cook Co. Ill [Illinois],"North America, United States, Illinois, Cook County",Des Plaines
1 mile north of Winnetka,"North America, United States, Illinois, Cook County",Winnetka
1 miles west of Winnetka,"North America, United States, Illinois, Cook County",Winnetka
1 mile W. of Evanston,"North America, United States, Illinois, Cook County",Evanston
1 mile west of Evanston,"North America, United States, Illinois, Cook County",Evanston
1 mile west of Winnetka,"North America, United States, Illinois, Cook County",Winnetka
"1 mi N. Des Plaines, Cook Co. Ill [Illinois]","North America, United States, Illinois, Cook County",Des Plaines
"1 mi N. Desplanes [Des Plaines], Cook Co. Ill [Illinois]","North America, United States, Illinois, Cook County",Des Plaines
"1mi N ILL [Illinois] Cook Co., 1 mile north DesPlanes [sic] [Des Plaines]","North America, United States, Illinois, Cook County",Des Plaines
1mi N of Suwanee River,"North America, United States, Florida, Dixie County",
1 mi W Colusa,"North America, United States, California, Colusa County",Colusa
1 mi W of Winnetka,"North America, United States, Illinois, Cook County",Winnetka
"20 miles south of Old Town, FL","North America, United States, Florida, Dixie County",Old Town
"20mi SW of Durango, alt. 7500'","North America, Mexico, Durango",Durango
20mi W of Cheyenne,"North America, United States, Wyoming, Laramie County",Cheyenne
"230 mi E of [Barrow], arctic coast, Collinson's Pt., 250 mi E Barrow, arctic coast","North America, United States, Alaska",North Slope Borough
"250 mi E Barrow, arctic coast","North America, United States, Alaska",North Slope Borough
"250 mi E Barrow, arctic coast, Collinson Point, Alaska","North America, United States, Alaska",North Slope Borough
"250 mi E Barrow, arctic coast, Collinson Pt. Alaska","North America, United States, Alaska",North Slope Borough
250 miles east of Barrow,"North America, United States, Alaska",North Slope Borough
"250 miles east of Barrow, Arctic Coast","North America, United States, Alaska",North Slope Borough
"250 miles east of Barrow, Collinson Point, Alaska","North America, United States, Alaska",North Slope Borough
2 mi. N. of,"North America, United States, Arizona, Pima County",Tucson
2 mi E Putnam,"North America, United States, Illinois, Putnam County",Putnam
2 miles east of Goodings Grove,"North America, United States, Illinois, Will County",Homer Glen
2 miles northeast of Crystal Lake,"North America, United States, Illinois, McHenry County",Crystal Lake
"2 miles south of Yarnell, Yavapai County, Ariz.","North America, United States, Arizona, Yavapai County",Yarnell
"2 miles west of Evanston, IL","North America, United States, Illinois, Cook County",Evanston
2 miles west of Lake Bluff,"North America, United States, Illinois, Lake County",Lake Bluff
"2 mi N of Corvalis, OR, Benton Co.","North America, United States, Oregon, Benton County",Corvallis
"2 mi S Nester Falls, E of Hwy 71 from Caliper Lake","North America, Canada, Ontario",Sioux Narrows-Nestor Falls
2mi S of Albuquerque,"North America, United States, New Mexico, Bernalillo County",Albuquerque
"2 mi South Florence Junction, Pinal Co, Ariz., 1500 ft","North America, United States, Arizona, Pinal County",Florence
2 mi W of Lake Bluff,"North America, United States, Illinois, Lake County",Lake Bluff
