AGENT_TYPE,PREFERRED NAME,PREFERRED 1,PREFERRED 2,PREFERRED 3,PREFERRED 4,PREFERRED 5,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,Eugene R. Pike,,,,,,Eugene R. Pike,Eugene R. Pike,Eugene R. Pike
person,Eugene W. Hilgard,,,,,,Eugene W. Hilgard,Eugene W. Hilgard,Eugene W. Hilgard
person,Eugene W. Hilgard,,,,,,E.W. Hilgard,Prof. E.W. Hilgard,Prof. E.W. Hilgard
person,Eva Haussner,,,,,,Eva Haussner,Eva Haussner,Eva Haussner
person,Eva Lewis,,,,,,Eva Lewis,Eva Lewis,Eva Lewis
person,Evalyn Cromwell,,,,,,Evalyn Cromwell,Evalyn Cromwell,Evalyn Cromwell
person,Evan Lewis,,,,,,Evan Lewis,Evan Lewis,Evan Lewis
person,Evans Game Farm,,,,,,Evans Game Farm,Evans Game Farm,Evans Game Farm
person,Evans Jasper,,,,,,Evans Jasper,Evans Jasper,Evans Jasper
person,Evelyn McCutcheon,,,,,,Evelyn McCutcheon,Evelyn McCutcheon,Evelyn McCutcheon
person,Everett R. Paton,,,,,,Everett R. Paton,Everett R. Paton,Everett R. Paton
organization,Everglades National Park,,,,,,Everglades National park,Everglades National park,Alcyone B. Bradley - Everglades National Park
organization,Everglades National Park,,,,,,Everglades National Park,Everglades National Park,Everglades National Park
group,"Explorations and Surveys West of the 100th Meridian, 1873",,,,,,"Explorations and Surveys West of the 100th Meridian, 1875",Explorations,Explorations and Surveys West of the 100th Meridian. Exploration of 1873.
,"Explorations and Surveys West of the 100th Meridian, 1873",,,,,,Explorations,Explorations,AMBIGUOUS
,unknown,,,,,,F.,F,AMBIGUOUS
group,"Explorations and Surveys West of the 100th Meridian, 1873",,,,,,"Explorations and Surveys West of the 100th Meridian, 1873",Explorations,Explorations and Sureys West of the 100th Meridian. Exploration of 1873.
group,"Explorations and Surveys West of the 100th Meridian, 1873",,,,,,"Explorations and Surveys West of the 100th Meridian, 1874",Explorations,Explorations and Surveys West of the 100th Meridian. Expedition of 1873.
person,Ezra Read Larned,,,,,,Dr. E. R. Larned,Dr. E.R. Larned,Dr. E.R. Larned
person,Ezra Read Larned,,,,,,Dr. E. R. Larned,Dr. E. R. Larned,Dr. E. R. Larned
person,Ezra Read Larned,,,,,,Dr. E. R. Larned,Dr. E.R Larned,Dr. E.R Larned
person,Ezra Read Larned,,,,,,Dr. Ezra Read Larned,Dr. Ezra Read Larned,Dr. Ezra Read Larned
person,Ezra Read Larned,,,,,,E. R. Larned,E.R. Larned,E.R. Larned
person,Ezra Read Larned,,,,,,Er. E. R. Larned,Er. E.R. Larned,Er. E.R. Larned
person,F. A. Bremer,,,,,,F. A. Bremer,F.A. Bremer,F.A. Bremer
person,F. A. Chrisman,,,,,,F. A. Chrisman,F A Chrisman,F A Chrisman
person,F. A. Curtiss,,,,,,F. A. Curtiss,F.A. Curtiss,F.A. Curtiss
person,F. A. Lowson,,,,,,F. A. Lowson,F.A. Lowson,F.A. Lowson
person,F. A. Lund,,,,,,F. A. Lund,F A Lund,F A Lund
person,F. A. Sampson,,,,,,F. A. Sampson,F.A. Sampson,F.A. Sampson
person,F. A. Shannon,,,,,,F. A. Shannon,F A Shannon,F A Shannon
person,F. A. Swink,,,,,,F. A. Swink,F.A. Swink,F.A. Swink
person,F. Alabaster,,,,,,F. Alabaster,F. Alabaster,F. Alabaster
person,F. B. Armstrong,,,,,,F. B. Armstrong,F B Armstrong,F B Armstrong
person,F. B. Eastman,,,,,,F. B. Eastman,F.B. Eastman,F.B. Eastman
person,F. B. Graves,,,,,,F. B. Graves,F.B. Graves,F.B. Graves
person,F. B. Haberkorn,,,,,,F. B. Haberkorn,F.B. Haberkorn,F.B. Haberkorn
person,F. B. Haberkorn,,,,,,F. B. Haberkorn,F B Haberkorn,"F B Haberkorn, Hutchinson, KS"
person,F. B. Isely,,,,,,F. B. Isely,F.B. Isely,AMBIGUOUS
person,F. B. Isely,,,,,,F.B. Isely,F.B. I F.B. Isely,F.B. I F.B. Isely
person,F. B. Isely,,,,,,F.B. Isely,F.B.I F.B. Isley,F.B.I F.B. Isley
person,F. B. Isely,,,,,,F. B. Isaly,F. B. Isaly,F. B. Isaly
person,F. B. Isely,,,,,,F. B. Isely,F.B.Isely,F.B.Isely
person,F. B. Isely,,,,,,F. B. Isely,F.B. Isely,F.B. Isely
person,F. B. Isely,,,,,,F.B. Isely,F.B.Isely may be collector,F.B.Isely may be collector
person,F. B. Isely,,,,,,F.B. Isely,F.B. Isely may be collector,F.B. Isely may be collector
person,F. B. Isely,,,,,,F.B. Isely,F.B. Isely may be collector? Card does not specify,F.B. Isely may be collector? Card does not specify
person,F. B. Isely,,,,,,F.B. Isely,F.B. Isely may be collector? Label does not specify,F.B. Isely may be collector? Label does not specify
person,F. B. Isely,,,,,,F.B. Isely,F.B. Isely may be collector- label does not specify,F.B. Isely may be collector- label does not specify
person,F. B. Isely,,,,,,F.B. Isely,F. B. Isely may be collector- label does not specify,F. B. Isely may be collector- label does not specify
person,F. B. Isely,,,,,,F.B. Isely,F.B. Isely may be collector- not specified,F.B. Isely may be collector- not specified
person,F. B. Isely,,,,,,F. B. Isley,F.B. Isley,F.B. Isley
person,F. B. Isely,,,,,,F. B. Isely,F.B Isely,F.B Isely
person,F. B. Peabody,,,,,,F. B. Peabody,F.B. Peabody,F.B. Peabody
person,F. B. Sheldon,,,,,,Mrs. F. B. Sheldon,Mrs. F.B. Sheldon,Mrs. F.B. Sheldon
person,F. B. Spalding,,,,,,F. B. Spalding,F.B. Spalding,F.B. Spalding
person,F. B. Webster,,,,,,F. B. Webster,F.B. Webster,F.B. Webster
person,F. B. Webster,,,,,,F. B. Webster,F B Webster,F B Webster
person,F. B. Webster,,,,,,F. B. Webster,F. B. Webster,O.R.L. for F.B. Webster
person,F. B. Webster Company,,,,,,F. B. Webster Co. ,F.B. Webster Co.,F.B. Webster Co.
organization,F. B. Webster Company,,,,,,F. B. Webster Company,F.B. Webstor Co.,"F.B. Webstor Co., dealer in skins and eggs, Hyde Park, Mass."
organization,F. B. Webster Company,,,,,,F. B. Webster Company,F B Webster Co.,F B Webster Co.
person,F. Baarsch,,,,,,F. Baarsch,F Baarsch,F Baarsch
person,F. Bischoff,,,,,,F. Bischoff,F. Bischoff,F. Bischoff
person,F. C. Cockerton,,,,,,F. C. Cockerton,F.C. Cockerton,F.C. Cockerton
person,F. C. Crouse,,,,,,F. C. Crouse,F.C. Crouse,F.C. Crouse
person,F. C. Lincoln,,,,,,F. C. Lincoln,F.C. Lincoln,AMBIGUOUS
person,F. C. Lincoln,,,,,,F. C. Lincoln,F.C. Lincoln,F.C. Lincoln
organization,F. C. Lincoln,,,,,,Colorado Museum of Natural History,Colorado Museum of Natural History,F C Lincoln/Colorado Museum of Natural History
person,F. C. Lincoln,,,,,,F. C. Lincoln,F C Lincoln,F C Lincoln/Colorado Museum of Natural History
person,F. C. Porter,,,,,,F.C. Porter,Coll= Prof. F.C. Porter,Coll= Prof. F.C. Porter
person,F. C. Porter,,,,,,F.C. Porter,Prof. F.C. Porter,Prof. F.C. Porter
person,F. C. Ross,,,,,,F. C. Ross,F.C. Ross,F.C. Ross
person,F. C. Willard,,,,,,F. C. Willard,F.C. Willard,F.C. Willard
person,F. Cagle,,,,,,F. Cagle,F Cagle,F Cagle
person,F. Charles L. Thompson,,,,,,F. Charles L. Thompson,F. Chas. L. Thompson,F. Chas. L. Thompson
person,F. Cockerton,,,,,,F. Cockerton,F. Cockerton,F. Cockerton
person,F. Coon,,,,,,F. Coon,F Coon,F Coon
person,F. Cornell,,,,,,F. Cornell,F Cornell,F Cornell
person,F. Covington,,,,,,F. Covington,F Covington,F Covington
person,F. Cummings,,,,,,F. Cummings,F. Cummings,F. Cummings
person,F. Cummings,,,,,,F. Cummings,F Cummings,F Cummings
person,F. de Maeyer,,,,,,F. de Maeyer,F. de Maeyer,F. de Maeyer
person,F. de Maeyer,,,,,,F. de Maeyer,F de Maeyer,F de Maeyer
person,F. E. Baker,,,,,,Mrs. F. E. Baker,Mrs. F.E. Baker,Mrs. F.E. Baker
person,F. E. Bosford,,,,,,F. E. Bosford,F.E. Bosford,F.E. Bosford
person,F. E. Brodie,,,,,,F. E. Brodie,F E Brodie,F E Brodie
person,F. E. Covel,,,,,,F. E. Covel,F.E. Covel,F.E. Covel
person,F. E. Flemming,,,,,,F. E. Flemming,F.E. Flemming,F.E. Flemming
person,F. E. Liimakka,,,,,,F. E. Liimakka,F.E. Liimakka,F.E. Liimakka
person,F. E. Lutz,,,,,,F. E. Lutz,F. E. Lutz,F. E. Lutz
person,F. E. Scotford,,,,,,F. E. Scotford,F.E. Scotford,F.E. Scotford
person,F. F. Casseday,,,,,,F. F. Casseday,F.F. Casseday,F.F. Casseday
person,F. F. Cockerton,,,,,,F. F. Cockerton,F.F. Cockerton,F.F. Cockerton
person,F. F. Fields,,,,,,F. F. Fields,F.F. Fields,F.F. Fields
person,F. F. Poley,,,,,,F. F. Poley,F.F. Poley,F.F. Poley
person,F. F. Tuttle,,,,,,Mrs. F. F. Tuttle,Mrs. F.F. Tuttle,Mrs. F.F. Tuttle
organization,F. Francis Parker School,,,,,,F. Francis Parker School,F. Francis Parker School - city,F. Francis Parker School - city
person,F. Frazer,,,,,,F. Frazer,F. Frazer,F. Frazer
person,F. G. Allyn,,,,,,F. G. Allyn,F.G. Allyn,F.G. Allyn
person,F. G. Allyn,,,,,,F. G. Allyn,F G Allyn,F G Allyn/Northwestern University Coll.
organization,F. G. Allyn,,,,,,Northwestern University,Northwest University,F G Allyn/Northwestern University Coll.
person,F. G. Allyn,,,,,,F.G. Allyn,Prof. F.G. Allyn,Prof. F.G. Allyn
person,F. G. Bard,,,,,,F. G. Bard,F.G. Bard,F.G. Bard
person,F. Gaylord,,,,,,F. Gaylord,F. Gaylord,F. Gaylord
person,F. Gibson,,,,,,F. Gibson,F Gibson,F Gibson
person,F. Gruber,,,,,,F. Gruber,F. Gruber,F. Gruber
person,F. H. Braskett,,,,,,F. H. Braskett,F.H. Braskett,F.H. Braskett
person,F. H. Cockerton,,,,,,F. H. Cockerton,F.H. Cockerton,F.H. Cockerton
person,F. H. Ferriss,,,,,,F. H. Ferriss,F.H. Ferriss,F.H. Ferriss
person,F. H. Hopkins,,,,,,F. H. Hopkins,F.H. Hopkins,F.H. Hopkins
person,F. H. Hosford,,,,,,F. H. Hosford,F.H. Hosford,F.H. Hosford
person,F. H. Hosford,,,,,,F. H. Hosford,F. H. Hosford,F.H. Hosford from DePaul Univ Coll 1967
person,F. H. Hosford,,,,,,F. H. Hosford,F.H Hosford,F.H Hosford
person,F. H. Kiser,,,,,,F. H. Kiser,F.H. Kiser,F.H. Kiser
person,F. H. Pough,,,,,,F. H. Pough,F.H. Pough,F.H. Pough
person,F. H. Snow,,,,,,F. H. Snow,F.H. Snow,F.H. Snow
person,F. H. Snow,,,,,,F. H. Snow,F. H. Snow,F. H. Snow
person,F. H. Spracis,,,,,,F. H. Spracis,F.H. Spracis,F.H. Spracis
person,F. H. Swink,,,,,,F. H. Swink,F.H. Swink,F.H. Swink
person,F. H. Yaeger,,,,,,F H Yaeger Jr.,F H Yaeger Jr.,F H Yaeger Jr.
person,F. Haimbach,,,,,,F. Haimbach,F. Haimbach Collection,F. Haimbach Collection
person,F. Hanford,,,,,,F. Hanford,F. Hanford,F. Hanford
person,F. Hanler,,,,,,F. Hanler,F. Hanler,F. Hanler
person,F. Harper,,,,,,F. Harper,F. Harper,F. Harper
person,F. Hauerauf,,,,,,F. Hauerauf,F. Hauerauf,F. Hauerauf
person,F. Higginbotham,,,,,,F. Higginbotham,F Higginbotham,F Higginbotham
person,F. Huglin,,,,,,F. Huglin Jr. ,F. Huglin Jr.,F. Huglin Jr.
person,F. I. Artherton,,,,,,F. I. Artherton,F.I. Artherton,F.I. Artherton
person,F. I. Atherton,,,,,,F. I. Atherton,F.I. Atherton,AMBIGUOUS
person,F. I. Atherton,,,,,,F. I. Atherton,F.I. Atherton,F.I. Atherton
person,F. J. Brezee,,,,,,F. J. Brezee,F.J. Brezee,F.J. Brezee
person,F. J. Cockerton,,,,,,F. J. Cockerton,F.J. Cockerton,F.J. Cockerton
person,F. J. Lean,,,,,,F. J. Lean,F.J. Lean,F.J. Lean
person,F. J. Morse,,,,,,F. J. Morse,F.J. Morse,F.J. Morse
person,F. J. Numan,,,,,,F. J. Numan,F.J. Numan,F.J. Numan
person,F. J. Pember,,,,,,F. J. Pember,F.J. Pember,F.J. Pember
person,F. J. Schmidt,,,,,,F. J. Schmidt Jr.,F.J. Schmidt Jr,"F.J. Schmidt, Jr."
person,F. J. Smith,,,,,,F. J. Smith,F.J. Smith,F.J. Smith
person,F. J. Smith,,,,,,F.J. Smith,for F.J. Smith,for F.J. Smith
person,F. J. Smith,,,,,,F. J. Smith,F. J. Smith,J.M. Davis for F.J. Smith
person,F. J. W. Schmidt,,,,,,F. J. W. Schmidt,F.J.W. Schmidt,F.J.W. Schmidt
person,F. Jensen,,,,,,F. Jensen,F. Jensen,F. Jensen
person,F. Kocius,,,,,,F. Kocius,F Kocius,F Kocius
person,F. L. Bryon,,,,,,Lieutenant F.L. Bryon,Lt. F.L. Bryon,Lt. F.L. Bryon
person,F. L. Covel,,,,,,F. L. Covel,F.L. Covel,F.L. Covel
person,F. L. Fish,,,,,,F. L. Fish,F L Fish,F L Fish
person,F. L. Fitzpatrick,,,,,,F. L. Fitzpatrick,F.L. Fitzpatrick,F.L. Fitzpatrick
person,F. L. Goodwin,,,,,,F. L. Goodwin,F.L. Goodwin,F.L. Goodwin
person,F. L. Ohler,,,,,,F. L. Ohler Jr.,F L Ohler Jr,F L Ohler Jr
person,F. L. Peterson,,,,,,F. L. Peterson,F.L. Peterson,F.L. Peterson
person,F. L. Pickett,,,,,,F. L. Pickett,F.L. Pickett,F.L. Pickett
person,F. L. Price,,,,,,F. L. Price,F.L. Price,F.L. Price
person,F. L. Scribner,,,,,,F. L. Scribner,F.L. Scribner,F.L. Scribner
person,F. L. Wright,,,,,,F. L. Wright,F.L. Wright,F.L. Wright
person,F. Leth,,,,,,F. Leth,F Leth,F Leth
person,F. Lewis,,,,,,F. Lewis,F Lewis,F Lewis
person,F. M. Cook,,,,,,F. M. Cook,F.M. Cook,F.M. Cook
person,F. M. Drake,,,,,,F. M. Drake,F.M. Drake,F.M. Drake
person,F. M. E. Taylor,,,,,,F. M. E. Taylor,F.M.E. Taylor,F.M.E. Taylor
person,F. M. Elliott,,,,,,F. M. Elliot,F.M. Elliot,AMBIGUOUS
person,F. M. Elliott,,,,,,F. M. Elliot,F.M. Elliot,"Donated by F.M. Elliot, from Northwestern University Collection"
organization,F. M. Elliott,,,,,,Northwestern University, Northwest University,"Donated by F.M. Elliot, from Northwestern University Collection"
person,F. M. Elliott,,,,,,F. M. Elliot,F.M. Elliot,"Donated by F.M. Elliot, Northwest University collection"
organization,F. M. Elliott,,,,,,Northwestern University,Northwest University,"Donated by F.M. Elliot, Northwest University collection"
person,F. M. Elliott,,,,,,F. M. Elliot,F.M. Elliot,donated by F.M. Elliot; Northwestern University collection
person,F. M. Elliott,,,,,,F. M. Elliot,F.M. Elliot,donated by F.M. Elliot in April 1906; from Northwestern University collection
person,F. M. Elliott,,,,,,F. M. Elliot,F.M. Elliot,F.M. Elliot
person,F. M. Elliott,,,,,,F. M. Elliot,F M Elliot,F M Elliot/Northwestern University Coll.
organization,F. M. Elliott,,,,,,Northwestern University,Northwest University,F M Elliot/Northwestern University Coll.
person,F. M. Elliott,,,,,,F. M. Elliot,F.M. Elliot,Northwestern University Collection; donated by F.M. Elliot
person,F. M. Elliott,,,,,,F. M. Elliott,F.M. Elliott,AMBIGUOUS
person,F. M. Elliott,,,,,,F. M. Elliott,F.M. Elliott,F.M. Elliott; donated from Northwestern University
person,F. M. Elliott,,,,,,F. M. Elliott,F.M. Elliott,F.M. Elliott/Northwestern University Collection
organization,F. M. Elliott,,,,,,Northwestern University,Northwest University,F.M. Elliott/Northwestern University Collection
person,F. M. Needham,,,,,,F. M. Needham,F.M.Needham,F.M.Needham
person,F. M. Needham,,,,,,F. M. Needham,F.M. Needham,F.M. Needham
person,F. M. Needham,,,,,,F.M. Needham,F.M. Needham et. Al,F.M. Needham et. Al
person,F. M. Needham,,,,,,F. M. Needham,F.M Needham,F.M Needham
person,F. M. Needham,,,,,,F. M. Needham,F. M Needham,F. M Needham
organization,Frank M. Woodruff,,,,,,F. M. Woodruff Natural History Survey,F.M. Woodruff Natural History Survey,F.M. Woodruff Natural History Survey
person,Frank M. Woodruff,,,,,,F. M. Woodruff,F.M Woodruff,F.M Woodruff
person,Frank M. Woodruff,,,,,,F. M. Woodruff,FM Woodruff,FM Woodruff
person,Frank M. Woodruff,,,,,,F. M. Woodruff,F M Woodruff,F M Woodruff
person,F. Marcy,,,,,,Reverend F. Marcy,Rev. F. Marcy,Rev. F. Marcy
person,F. Mirandy,,,,,,F. Mirandy,F Mirandy,F Mirandy
person,F. Morton,,,,,,F. Morton,F. Morton,F. Morton
person,F. Necker,,,,,,F. Necker,F Necker,F Necker
person,F. Neubauer,,,,,,F. Neubauer,F. Neubauer,F. Neubauer
person,F. O. C. Richardson,,,,,,Dr. F.O.C. Richardson,Dr. F.O.C. Richardson,Dr. F.O.C. Richardson
person,F. O. Fryklund,,,,,,F. O. Fryklund,F.O. Fryklund,F.O. Fryklund
person,F. P. Blackman,,,,,,Mrs. F. P. Blackman,Mrs. F.P. Blackman,Mrs. F.P. Blackman
person,F. P. Graves,,,,,,F. P. Graves,F.P. Graves,F.P. Graves
person,F. P. Ide,,,,,,F. P. Ide,F. P. Ide,F. P. Ide
person,F. R. Bodnar,,,,,,F. R. Bodnar,F.R. Bodnar,F.R. Bodnar
person,F. R. Bodnar,,,,,,F. R. Bodnar,F. R. Bodnar,F. R. Bodnar
person,F. R. Decker,,,,,,F. R. Decker,F R Decker,F R Decker
person,F. R. Dickinson,,,,,,F. R. Dickinson,F.R. Dickinson,AMBIGUOUS
person,F. R. Dickinson,,,,,,F. R. Dickinson,F.R. Dickinson,F.R. Dickinson
person,F. R. Dienelt,,,,,,F. R. Dienelt,FR. Dienelt,FR. Dienelt
person,F. R. Latchford,,,,,,F. R. Latchford,F.R.Latchford,F.R.Latchford
person,F. R. Latchford,,,,,,F. R. Latchford,F.R. Latchford,F.R. Latchford
person,F. R. Latchford,,,,,,F.R. Latchford,F.R. Latchford may be collector,F.R. Latchford may be collector
person,F. Rice,,,,,,F. Rice,F. Rice,F. Rice
person,F. Rice,,,,,,F. Rice,F Rice,F Rice
person,F. Rutkowski,,,,,,F. Rutkowski,F. Rutkowski,F. Rutkowski
person,F. S. Barett,,,,,,F. S. Barett,F.S. Barett,F.S. Barett
person,F. S. Bartlett,,,,,,F. S. Bartlett,F.S. Bartlett,F.S. Bartlett
person,F. S. Bowler,,,,,,F. S. Bowler,F. S. Bowler,F. S. Bowler
person,F. S. Daggett,,,,,,F. S. Dagget,F. S. Dagget,F. S. Dagget
person,F. S. Daggett,,,,,,F. S. Daggett,F.S.Daggett,F.S.Daggett
person,F. S. Daggett,,,,,,F. S. Daggett,F.S. Daggett,F.S. Daggett
person,F. S. Daggett,,,,,,F. S. Daggett,F. S. Daggett,F. S. Daggett
person,F. S. Ellsworth,,,,,,F. S. Ellsworth,F.S. Ellsworth,F.S. Ellsworth
person,F. S. Ellsworth,,,,,,F. S. Ellsworth,F S Ellsworth,F S Ellsworth
person,F. S. Haggart,,,,,,F. S. Haggart,F.S. Haggart,F.S. Haggart
person,F. S. Harman,,,,,,F. S. Harman,F.S. Harman,F.S. Harman
person,F. S. Hershey,,,,,,F. S. Hersey,F S Hersey,F S Hersey
person,F. S. Hershey,,,,,,F. S. Hershey,F.S. Hershey,F.S. Hershey
person,F. S. Lewis,,,,,,F. S. Lewis,F.S. Lewis,F.S. Lewis
person,F. S. White,,,,,,F. S. White,F.S. White,F.S. White
person,F. S. Wright,,,,,,F. S. Wright,F.S. Wright,AMBIGUOUS
person,F. S. Wright,,,,,,F. S. Wright,F.S. Wright,F.S. Wright
person,F. Schmitt,,,,,,F. Schmitt,F. Schmitt,F. Schmitt
person,F. Schubel,,,,,,F. Schubel,F. Schubel,F. Schubel
person,F. Shubel,,,,,,F. Shubel,F. Shubel,F. Shubel
person,F. Smith,,,,,,F. Smith,F. Smith,F. Smith
person,F. Stearns,,,,,,F. Stearns,F. Stearns,F. Stearns
person,F. Stephens,,,,,,F. Stephens,F. Stephens,AMBIGUOUS
person,F. Stephens,,,,,,F. Stephens,F. Stephens,F. Stephens
person,F. T. Cockerton,,,,,,F. T. Cockerton,F.T. Cockerton,AMBIGUOUS
person,F. T. Cockerton,,,,,,F. T. Cockerton,F.T. Cockerton,"Exchange, F.T. Cockerton"
person,F. T. Cockerton,,,,,,F. T. Cockerton,F.T. Cockerton,F.T. Cockerton
person,F. T. Cockerton,,,,,,F. T. Cockerton,F. T. Cockerton,F. T. Cockerton
person,F. T. Cockertown,,,,,,F. T. Cockertown,F.T. Cockertown,F.T. Cockertown
person,F. T. Corless,,,,,,F. Corless,F. Corless,F. Corless
person,F. T. Corless,,,,,,F. T. Coreless,F.T. Coreless,F.T. Coreless
person,F. T. Corless,,,,,,F. T. Corless,F.T. Corless,F.T. Corless
person,F. T. Crockerton,,,,,,F. T. Crockerton,F.T. Crockerton,F.T. Crockerton
person,F. T. Jencks,,,,,,F. T. Jencks,F.T. Jencks,F.T. Jencks
person,F. T. Pember,,,,,,F. T. Pember,F.T. Pember,AMBIGUOUS
person,F. T. Pember,,,,,,F. T. Pember,F.T. Pember,F.T. Pember
person,F. T. Peniber,,,,,,F. T. Peniber,F T Peniber,F T Peniber
person,F. T. Peterson,,,,,,F. T. Peterson,F.T. Peterson,F.T. Peterson
person,F. T. Peterson,,,,,,F. T. Peterson,F T Peterson,F T Peterson
person,F. V. Cummings,,,,,,F. V. Cummings,F. V. Cummings,F. V. Cummings
person,F. V. Hayden,,,,,,Dr. F. V. Hayden,Dr. F.V. Hayden,Dr. F.V. Hayden
person,F. V. Lang,,,,,,F. V. Lang,F.V. Lang,F.V. Lang
person,F. V. Newell,,,,,,F. V. Newell,F.V. Newell,F.V. Newell
person,F. W. Bleike,,,,,,F. W. Bleike,F.W. Bleike,F.W. Bleike
person,F. W. Conner,,,,,,F. W. Conner,F.W. Conner,F.W. Conner
person,F. W. Dewson,,,,,,Mrs. F. W. Dewson,Mrs. F.W. Dewson,Mrs. F.W. Dewson
person,F. W. Hall,,,,,,F. W. Hall,F W Hall,F W Hall
person,F. W. Mercer,,,,,,Dr. F. W. Mercer,Dr. F.W. Mercer,Dr. F.W. Mercer
person,F. W. Miller,,,,,,F. W. Miller,F.W. Miller,AMBIGUOUS
person,F. W. Miller,,,,,,F. W. Miller,F.W. Miller,F.W. Miller
organization,F. W. Miller,,,,,,Dallas Museum,Dallas Museum,"F.W. Miller, Dallas Museum"
person,F. W. Miller,,,,,,F. W. Miller,F.W. Miller,"F.W. Miller, Dallas Museum"
person,F. W. Miller,,,,,,F. W. Miller,F W Miller,F W Miller
person,F. W. Putnam,,,,,,F. W. Putnam,F.W. Putnam,F.W. Putnam
person,F. W. Putnam,,,,,,F.W. Putnam,Prof. F.W. Putnam,Prof. F.W. Putnam
person,F. W. Rockensock,,,,,,F. W. Rockensock,F.W. Rockensock,F.W. Rockensock
person,F. W. Warwick,,,,,,F. W. Warwick,F.W. Warwick,F.W. Warwick
person,F. W. Youngren,,,,,,F. W. Youngren,F.W. Youngren,F.W. Youngren
person,F. Wallace,,,,,,F. Wallace,F Wallace,F Wallace
person,F. X. Leuth,,,,,,F. X. Leuth,F.X. Leuth,F.X. Leuth
person,F. X. Leuth,,,,,,F. X. Leuth,F X Leuth,F X Leuth
person,F. X. Lueth,,,,,,F. X. Lueth,F.X. Lueth,AMBIGUOUS
person,F. X. Lueth,,,,,,F. X. Lueth,F.X. Lueth,F.X. Lueth
person,F. X. Williams,,,,,,F. X. Williams,F. X. Williams,F. X. Williams
person,F. Young,,,,,,F. Young,F Young,"Rothschild Aquarium, F Young"
organization,F. Young,,,,,,Rothschild Aquarium,Rothschild Aquarium,"Rothschild Aquarium, F Young"
person,F. Z. Halzsier,,,,,,F. Z. Halzsier,F.Z. Halzsier,F.Z. Halzsier
person,F. Z Holzner,,,,,,F Z Holzner,F Z HolznerÃ¯Â¿Â½..r?,F Z HolznerÃ¯Â¿Â½..r?
person,F. Ziner,,,,,,F. Ziner sic,F. Ziner sic,F. Ziner sic
person,Faith Hubley,,,,,,Faith Hubley,Faith Hubley,Faith Hubley
person,Farwell Smith,,,,,,Mr. Farwell Smith,Mr. Farwell Smith,Mr. Farwell Smith
person,Felipe Taborda,,,,,,Felipe Taborda,Felipe Taborda,Felipe Taborda
person,Felix Nolte,,,,,,Reverend Felix Nolte,Rev. Felix Nolte,Rev. Felix Nolte
person,Felix Nolte,,,,,,Reverend F Nolte,Rev F Nolte,Rev F Nolte
person,Felix Riesenberg,,,,,,Felix Riesenberg,Felix Riesenberg,Felix Riesenberg
person,Felix Rusenberg,,,,,,Felix Rusenberg,Felix Rusenberg,Felix Rusenberg
organization,Fiddle Brothers,,,,,,Fiddle Brothers,Fiddle Bros,Fiddle Bros
organization,Fiddle Brothers,,,,,,Fiddle Brothers,Fiddle Bros.,Fiddle Bros.
group,Field Brothers,,,,,,Field Brothers,Field Brothers,Field Brothers
organization,Field Museum of Natural History,,,,,,Field Columbian Museum,Field Columbian Museum,AMBIGUOUS
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Field Columbian Museum Field Musuem of Natural History,Field Columbian Museum Field Musuem of Natural History
,unknown,,,,,,Field Day,Field Day,AMBIGUOUS
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Field Museum of Natural History,AMBIGUOUS
organization,Field Museum of Natural History,,,,,,Chicago Natural History Museum,Chi. N.H. M. Chicago Natural History Museum,Chi. N.H. M. Chicago Natural History Museum
organization,Field Museum of Natural History,,,,,,Chicago Natural History Museum,Chicago Natural History Museum,Chicago Natural History Museum
organization,Field Museum of Natural History,,,,,,Chicago Natural History Museum,Chicago Natural History Museum?,Chicago Natural History Museum?
organization,Field Museum of Natural History,,,,,,Field Columbian Museum,Columbian Field Museum,Columbian Field Museum
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Echange: Field Museum,Echange: Field Museum
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Exchange. Field Museum,Exchange. Field Museum
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Fiel Col. Museum Field Museum of Natural History exchange,Fiel Col. Museum Field Museum of Natural History exchange
organization,Field Museum of Natural History,,,,,,Field Columbian Museum,Field. Col. Museum,Field. Col. Museum
organization,Field Museum of Natural History,,,,,,Field Columbian Museum,Field Col. Museum,Field Col. Museum
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Field Col. Museum Field Museum Collection,Field Col. Museum Field Museum Collection
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Field Col. Museum Field Museum of Natural History,Field Col. Museum Field Museum of Natural History
organization,Field Museum of Natural History,,,,,,Field Columbian Museum,Field Col. Musuem,Field Col. Musuem
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Field Colum. Museum Field Museum of Natural History,Field Colum. Museum Field Museum of Natural History
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Field Colum. Musuem Field Museum of Natural History,Field Colum. Musuem Field Museum of Natural History
organization,Field Museum of Natural History,,,,,,Field Museum of Natural History,Field Columb. Museum Field Museum of Natural History,Field Columb. Museum Field Museum of Natural History
