cat num,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
14243,,,4,Entomology,-,-,-,-,Tachyporus,maculipennis,-,Lec. [LeConte],- - - - Tachyporus maculipennis -,Ill. [Illinois],,,Illinois,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
14244,,,4,Entomology,-,-,-,-,Tachyporus,jocosus,-,Say,- - - - Tachyporus jocosus -,"Ill. [Illinois], Tex. [Texas]",,,"Illinois, Texas",United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
14245,,,2,Entomology,-,-,-,-,Tachyporus,chrysomelinus,-,Linn. [Linnaeus],- - - - Tachyporus chrysomelinus -,N. Ill. [Northern Illinois],,,Illinois,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
14246,,,2,Entomology,-,-,-,-,Tachyporus,nanus,-,Er. [Erichson],- - - - Tachyporus nanus -,Illinois,,,Illinois,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
14247,,,2,Entomology,-,-,-,-,Tachyporus,brunneus,-,Fab. [Fabricius],- - - - Tachyporus brunneus -,Illinois,,,Illinois,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
14248,,1142,1,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anosia,berenice,strigosa,Bates,Arthropoda Insecta Lepidoptera Nymphalidae Anosia berenice strigosa,Texas,,,Texas,United States of America,,adult,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
14249,,865,1,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anosia,berenice,strigosa,Bates,Arthropoda Insecta Lepidoptera Nymphalidae Anosia berenice strigosa,"Orizaba, Mexico",Orizaba,,Veracruz,Mexico,,adult,A.S. Bertolet,A. S. Bertolet,A.S. Bertolet,A. S. Bertolet,,,
14250,,,3,Paleontology,-,-,-,-,D. [Danaus?],archippus,-,Fab. [Fabricius],- - - - D. [Danaus?] archippus -,"Evanston, Ill. [Illinois]",Evanston,Cook,Illinois,United States of America,,,A.J. Snyder,Andrew J. Snyder,A.J. Snyder,Andrew J. Snyder,,,
14251,,865,2,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Apostraphia,charithonia,-,Linn. [Linnaeus],Arthropoda Insecta Lepidoptera Nymphalidae Apostraphia charithonia -,"Orizaba, Mexico",Orizaba,,Veracruz,Mexico,,adult,A.S. Bertolet,A. S. Bertolet,A.S. Bertolet,A. S. Bertolet,,,
14252,,,1,Entomology,-,-,-,-,Agraulis,vanillae,-,LinnÃ© [Linnaeus],- - - - Agraulis vanillae -,"Orizaba, Mex. [Mexico]",Orizaba,,Veracruz,Mexico,,,A.S. Bertolet,A. S. Bertolet,A.S. Bertolet,A. S. Bertolet,,,
14253,,954,1,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Agraulis,vanillÄ�e,-,Linn. [Linnaeus],Arthropoda Insecta Lepidoptera Nymphalidae Agraulis vanillÄ�e -,California,,,California,United States of America,,adult,A.J. Snyder,Andrew J. Snyder,A.J. Snyder,Andrew J. Snyder,,,
14254,,1160,1,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Agraulis,vanillÄ�e,-,Linn. [Linnaeus],Arthropoda Insecta Lepidoptera Nymphalidae Agraulis vanillÄ�e -,"Port Orange, Fla. [Florida]",Port Orange,Volusia,Florida,United States of America,,adult,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
14255,,1142,3,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euptoieta,claudia,-,Cramer,Arthropoda Insecta Lepidoptera Nymphalidae Euptoieta claudia -,Texas,,,Texas,United States of America,"female, male",adult,Andrew Bolter,Andrew Bolter,,,,,
14256,,249,1,Entomology,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euptoieta,claudia,-,Cramer,Arthropoda Insecta Lepidoptera Nymphalidae Euptoieta claudia -,Texas,,,Texas,United States of America,male,adult,George H. Laflin,George H. Laflin,,,,,
