cat num,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
8001,,332,5,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,bituberculatus,-,Lame [Lamarck],Mollusca Gastropoda - Strombidae Strombus bituberculatus -,Florida,,,Florida,United States of America,,,P. Van Schaack,P. Van Schaack,,,[pre June 1893],pre 1893-06,
8002,,10,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,bituberculatus,-,Linne [Linneaus] [Lamarck] ,Mollusca Gastropoda - Strombidae Strombus bituberculatus -,Nicaragua,,,,Nicaragua,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,[pre June 1893],pre 1893-06,
8003,,2806,14 [15],Malacology,Mollusca,Gastropoda,-,Succineidae,Succinea,retusa,-,"Lea [Lea, 1837]",Mollusca Gastropoda - Succineidae Succinea retusa -,"Viguard's resort, Grass Lake",,Lake County,Illinois,United States of America,,adult,Academy Collecting,Chicago Academy of Sciences,F.C. Baker,Frank Collins Baker,Jul-08,1908-07,
8004,,20,7,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,bituberculatus,-,Linne [Linneaus] [Lamarck] ,Mollusca Gastropoda - Strombidae Strombus bituberculatus -,West Florida,,,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
8005,,35,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,costatus,-,Gmelin,Mollusca Gastropoda - Strombidae Strombus costatus -,West Indies,,,,,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8006,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,costatus,-,Gmelin,Mollusca Gastropoda - Strombidae Strombus costatus -,West Indies,,,,,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8007,,1,4,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,lentiginosus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus lentiginosus -,East Indies,,,,,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,
8008,,10,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,lentiginosus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus lentiginosus -,East Indies,,,,,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8009,,1,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,lentiginosus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus lentiginosus -,East Indies,,,,,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,
8010,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,granulatus,-,Gray,Mollusca Gastropoda - Strombidae Strombus granulatus -,Cape St. Lucas,,,,Mexico,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8011,,10,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,granulatus,-,Gray,Mollusca Gastropoda - Strombidae Strombus granulatus -,Mazatlan,Mazatlan,,Sinaloa,Mexico,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8012,,35,4,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,mauritianus,-,Lam [Lamarck],Mollusca Gastropoda - Strombidae Strombus mauritianus -,Ceylon [Ceylan],,,,Sri Lanka,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8013,,1,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,luhuanus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus luhuanus -,South coast of Asia,,,,,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,
8014,,10,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,luhuanus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus luhuanus -,"Bohol [Bohol, China, now part of Philippines]",Bohol,,,China [Philippines],,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8015,,1,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,luhuanus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus luhuanus -,China,,,,China,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,
8016,,607,3,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,luhuanus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus luhuanus -,China,,,,China,,,J.M. Wiers,J. M. Wiers,,,,,
8017,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,epidromus [epidromis],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus epidromus [epidromis] -,"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Amboina,,,Indonesia,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8018,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,vittatus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus vittatus -,"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Amboina,,,Indonesia,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8019,,607,3,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,gibberulus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus gibberulus -,East Indies,,,,,,,J.M. Wiers,J. M. Wiers,,,,,
8020,,35,5,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,gibberulus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus gibberulus -,East Indies,,,,,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8021,,10,6,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,gibberulus,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus gibberulus -,East Indies,,,,,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8022,,1294,4,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,ustulatus,-,Schumacher,Mollusca Gastropoda - Strombidae Strombus ustulatus -,Philippines [Phillipines],,,,Philippines,,,Howard N. Lyon,H. N. Lyon,,,,,
8023,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,canarium,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus canarium -,"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Amboina,,,Indonesia,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,[identified by P.P. Carpenter]
8024,,1,5,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,ustulatus,-,Schum [Schumacher],Mollusca Gastropoda - Strombidae Strombus ustulatus -,Philippines [Phillipines],,,,Philippines,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,
8025,,1294,5,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,ustulatus,-,Schum [Schumacher],Mollusca Gastropoda - Strombidae Strombus ustulatus -,Philippines [Phillipines],,,,Philippines,,,H.N. Lyon [Howard N. Lyon],Howard H. Lyon,,,,,
8026,,607,3,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,ustulatus,-,Schum [Schumacher],Mollusca Gastropoda - Strombidae Strombus ustulatus -,Australia,,,,Australia,,,J.M. Wiers,J. M. Wiers,,,,,
8027,,10,5,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,ustulatus,-,Schum [Schumacher],Mollusca Gastropoda - Strombidae Strombus ustulatus -,Australia,,,,Australia,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8028,,1088,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,auris-dianae [aurisdianae],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Strombus auris-dianae [aurisdianae] -,"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Amboina,,,Indonesia,,,Mrs. G.B. Reeve,Mrs. George B. Reeve,,,,,
8029,,1294,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,costatus,-,Gmelin,Mollusca Gastropoda - Strombidae Strombus costatus -,West Indies,,,,,,,H.N. Lyon [Howard N. Lyon],Howard H. Lyon,,,,,
8030,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Strombus,auris-dinae [bulla],-,"Linne [R̦ding, 1798]",Mollusca Gastropoda - Strombidae Strombus auris-dinae [bulla] -,"East Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Ambon,,,Indonesia,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,[pre June 1893],pre 1893-06,Var. laevis Perry; [identified by P.P. Carpenter]
8031,,35,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],chiragra,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] chiragra -,Japan,,,,Japan,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,,,
8032,,35,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],chiragra,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] chiragra -,"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Ambon,,,Indonesia,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,,,[12-29-83 R. Vasile/ Lambis chiragra]
8033,,726,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],rugosum [chirargra],[chirargra],Sowerby,Mollusca Gastropoda - Strombidae Pterocera [Lambis] rugosum [chirargra] [chirargra],"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Ambon,,,Indonesia,,,Graham Davis,Graham Davis,,,,,[12-29-83 R. Vasile/ Lambis chiragra]
8034,,35,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],rugosum [chirargra],[chirargra],Sowerby,Mollusca Gastropoda - Strombidae Pterocera [Lambis] rugosum [chirargra] [chirargra],"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Ambon,,,Indonesia,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,,,
8035,,716,3,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],scorpio [scorpius],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] scorpio [scorpius] -,Indian Ocean,,,,,,,Geoge H. Laflin,George H. Laflin,,,,,[12-29-83 R. Vasile/ Lambis scorpius]
8036,,716,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],scorpio [scorpius],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] scorpio [scorpius] -,S. Pacific Ocean [South Pacific Ocean],,,,,,,Geoge H. Laflin,George H. Laflin,,,,,
8037,,1,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],lambis,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] lambis -,China,,,,China,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,[12-29-83 R. Vasile/ Lambis lambis]
8038,,1,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],lambis,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] lambis -,China,,,,China,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,[12-29-83 R. Vasile/ Lambis lambis]
8039,,1,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],lambis,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] lambis -,China,,,,China,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,
8040,,35,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],millepeda [millipeda],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] millepeda [millipeda] -,"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Ambon,,,Indonesia,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,,,
8041,,716,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],millepeda [millipeda],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Pterocera [Lambis] millepeda [millipeda] -,New Guinea,,,,New Guinea,,,George H. Laflin,George H. Laflin,,,,,
8042,,1053,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],bryonia [truncata],-,Gmelin,Mollusca Gastropoda - Strombidae Pterocera [Lambis] bryonia [truncata] -,South Africa,,,,South Africa,,immature,W.C. Egan,William C. Egan,,,,,young shell
8043,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],aurantia,-,Lamarck,Mollusca Gastropoda - Strombidae Pterocera [Lambis] aurantia -,"Amboina [now Ambon City on Ambon Island, Malaku Islands, Indonesia]",Ambon,,,Indonesia,,,Boston Soc. Nat. History [Boston Society of Natural History],Boston Society of Natural History,,,,,
8044,,35,2,Malacology,Mollusca,Gastropoda,-,Strombidae,Rostellaria [Tibia],curvirostris,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Rostellaria [Tibia] curvirostris -,Red Sea,,,,,,,Boston Soc. Nat. History [Boston Society of Natural History],Boston Society of Natural History,,,,,
8045,,1,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Rostellaria [Tibia] [unverified],curvirostris [insulachorab] [unverified],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Strombidae Rostellaria [Tibia] [unverified] curvirostris [insulachorab] [unverified] -,Red Sea,,,,,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,[12-29-83 R. Vasile/ Tibia insulaechorabo [inulacchoralo]]
8046,,607,5,Malacology,Mollusca,Gastropoda,-,Aporrhaidae,Aporrhais,pes-pelicani [pespeLeeani],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Aporrhaidae Aporrhais pes-pelicani [pespeLeeani] -,Mediterranean Sea,,,,,,,J.M. Wiers,J. M. Wiers,,,,,
8047,,1053,10,Malacology,Mollusca,Gastropoda,-,Aporrhaidae,Aporrhais,pes-pelicani [pespeLeeani],-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Aporrhaidae Aporrhais pes-pelicani [pespeLeeani] -,Mediterranean Sea,,,,,,,W.C. Egan,William C. Egan,,,,,
8048,,716,1,Malacology,Mollusca,Gastropoda,-,Buccinidae,Hemifuscus [Hemifusus] [Pugilina],ternatanus,-,"Gmelin [Gmelin, 1791]",Mollusca Gastropoda - Buccinidae Hemifuscus [Hemifusus] [Pugilina] ternatanus -,Philippines [Phillipines],,,,Philippines,,,George H. Laflin,George H. Laflin,,,,,
8049,,1,1,Malacology,Mollusca,Gastropoda,-,Strombidae,Pterocera [Lambis],bryonia [truncata],-,Gmelin,Mollusca Gastropoda - Strombidae Pterocera [Lambis] bryonia [truncata] -,Philippines [Phillipines],,,,Philippines,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,[12-29-83 R. Vasile/ Lambis truncata]
8050,,1294,3,Malacology,Mollusca,Bivalvia,Unionoida,Unionidae,Anodonta [Pyganodon [unverified],grandis,-,"Say [Say, 1829]",Mollusca Bivalvia Unionoida Unionidae Anodonta [Pyganodon [unverified] grandis -,"Lake Michicagan, Oak St., Chic. [Lake Michigan, Oak Street, Chicago]",Chicago,Cook County,Illinois,United States of America,,,H.N. Lyon [Howard N. Lyon],Howard H. Lyon,,,,,
8051,,10,1,Malacology,Mollusca,Bivalvia,Unionoida,Unionidae,Strophitis,edentulus,-,"Say [Say, 1829]",Mollusca Bivalvia Unionoida Unionidae Strophitis edentulus -,"Cincinnati, Ohio",Cincinnati,Hamilton County,Ohio,United States of America,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8052,,783,1,Malacology,Mollusca,Bivalvia,Unionoida,Unionidae,Strophitis,edentulus,-,"Say [Say, 1829]",Mollusca Bivalvia Unionoida Unionidae Strophitis edentulus -,Lake Calumet,Chicago,Cook County,Illinois,United States of America,,,W.K. Higley,William K. Higley,,,1890,1890,
8053,,781,2,Malacology,Mollusca,Bivalvia,Unionoida,Unionidae,Unio [Lampsilis]  [unverified],luteolus [siliquoidea]  [unverified],-,"Say [Barnes, 1823]  [unverified]",Mollusca Bivalvia Unionoida Unionidae Unio [Lampsilis]  [unverified] luteolus [siliquoidea]  [unverified] -,Wheeling,Wheeling,Cook County,Illinois,United States of America,"female, male",,Paul Favour,Paul Favour,,,1896,1896,Male and female
8054,,783,4,Malacology,Mollusca,Bivalvia,Unionoida,Unionidae,Unio [Ovata] [unverified] [Lampsilis - invalid],ventricosa,-,"Barnes [Barnes, 1823]",Mollusca Bivalvia Unionoida Unionidae Unio [Ovata] [unverified] [Lampsilis - invalid] ventricosa -,"Calumet River, near Hammond, IN",,,Indiana,United States of America,female,,W.K. Higley,William K. Higley,,,1890,1890,Female
8055,,20,10,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,minimum,-,Gmelin,Mollusca Gastropoda - Cerithiidae Cerithium minimum -,"Florida Keys, Florida",,Monroe County,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
8056,,75,25,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,minimum [septenstriatum],-,Gmelin [Say],Mollusca Gastropoda - Cerithiidae Cerithium minimum [septenstriatum] -,Jamaica,,,,Jamaica,,,H. Vendryes,Henry Vendreyes,,,,,Proves to be septenstriatum Say
8057,,20,52,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,minimum,nigrescens,Gmelin,Mollusca Gastropoda - Cerithiidae Cerithium minimum nigrescens,West Florida,,,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,,,Var. nigrescens menkei [nigreseens Menke]
8058,,75,48,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,minimum,nigrescens,Gmelin,Mollusca Gastropoda - Cerithiidae Cerithium minimum nigrescens,Jamaica,,,,Jamaica,,,H. Vendryes,Henry Vendreyes,,,,,Var. nigrescens menkei [nigreseens Menke]
8059,,20,61,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,minimum,nigrescens,Gmelin,Mollusca Gastropoda - Cerithiidae Cerithium minimum nigrescens,"Florida Keys, Florida",,Monroe County,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,Var. nigrescens menkei [nigreseens Menke]
8060,,20,9,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,minimum,nigrescens,Gmelin,Mollusca Gastropoda - Cerithiidae Cerithium minimum nigrescens,"Florida Keys, Florida [Tortugas]",,Monroe County,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,Var. nigrescens menkei [nigreseens Menke]
8061,,20,45,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,minimum,nigrescens,Gmelin,Mollusca Gastropoda - Cerithiidae Cerithium minimum nigrescens,Florida,,,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,Var. nigrescens menkei [nigreseens Menke]
8062,,35,35,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,floridanum,-,M̦rch,Mollusca Gastropoda - Cerithiidae Cerithium floridanum -,Florida,,,Florida,United States of America,,,Bost. Soc. Nat. History [Boston Society of Natural History],Boston Society of Natural History,,,,,
8063,,20,20,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,floridanum,-,M̦rch,Mollusca Gastropoda - Cerithiidae Cerithium floridanum -,West Florida,,,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
8064,,20,7,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,floridanum,-,M̦rch,Mollusca Gastropoda - Cerithiidae Cerithium floridanum -,West Florida,,,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
8065,,1334,4,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,vulgatum,-,Brug [Brugui̬re],Mollusca Gastropoda - Cerithiidae Cerithium vulgatum -,Mediterranean Sea,,,,,,,R.L. Rea,R. L. Rea,,,,,
8066,,81,3,Malacology,Mollusca,Gastropoda,-,Turridae,Clava,aluco,-,Linne [Linnaeus],Mollusca Gastropoda - Turridae Clava aluco -,East Indies,,,,,,,Smithsonian Institution,Smithsonian Institution,,,,,
8067,,716,2,Malacology,Mollusca,Gastropoda,-,Turridae,Clava,aluco,-,Linne [Linnaeus],Mollusca Gastropoda - Turridae Clava aluco -,Philippines [Phillipines],,,,Philippines,,,George H. Laflin,George H. Laflin,,,,,
8068,,35,6,Malacology,Mollusca,Gastropoda,-,Turridae,Clava,asper ,-,Linne [Linnaeus],Mollusca Gastropoda - Turridae Clava asper  -,Pacific Islands,,,,,,,Bost. Soc. Nat. History [Boston Society of Natural History],Boston Society of Natural History,,,,,
8069,,716,4,Malacology,Mollusca,Gastropoda,-,Turridae,Clava,vertagus,-,Linne [Linnaeus],Mollusca Gastropoda - Turridae Clava vertagus -,Singapore,,,,Singapore,,,George H. Laflin,George H. Laflin,,,,,
8070,,716,7,Malacology,Mollusca,Gastropoda,-,Turridae,Clava,vertagus,-,Linne [Linnaeus],Mollusca Gastropoda - Turridae Clava vertagus -,Indian Ocean,,,,,,,George H. Laflin,George H. Laflin,,,,,
8071,,35,2,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,nodulosum,-,Brug [Brugui̬re],Mollusca Gastropoda - Cerithiidae Cerithium nodulosum -,East Indies,,,,,,,Bost. Soc. Nat. Hist. [Boston Society of Natural History],Boston Society of Natural History,,,,,
8072,,1334,15,Malacology,Mollusca,Gastropoda,-,Cypraeidae,Cypraea,moneta,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Cypraeidae Cypraea moneta -,Africa,,,,,,,R.L. Rea,R. L. Rea,,,,,
8073,,61,9,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,muscarum,-,Say,Mollusca Gastropoda - Cerithiidae Cerithium muscarum -,"Cedar Keys, Florida [Cedar Key]",,,Levy,United States of America,,,W.W. Calkins,William W. Calkins,,,,,
8074,,20,70,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,muscarum,-,Say,Mollusca Gastropoda - Cerithiidae Cerithium muscarum -,West Florida,,,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
8075,,35,4,Malacology,Mollusca,Gastropoda,-,Cerithiidae,Cerithium,adustum,-,Kiener,Mollusca Gastropoda - Cerithiidae Cerithium adustum -,"Aculpulco, Mexico [Acapulco, Mexico]",Acapulco,,Guerrero,Mexico,,,Bost. Soc. Nat. History [Boston Society of Natural History],Boston Society of Natural History,,,,,
8076,,20,30,Malacology,Mollusca,Gastropoda,-,Potamididae,Cerithidea,scalariformis,-,Say,Mollusca Gastropoda - Potamididae Cerithidea scalariformis -,West Florida,,,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
8077,,376,20,Malacology,Mollusca,Gastropoda,-,Potamididae,Cerithidea,sacrata,-,Gould,Mollusca Gastropoda - Potamididae Cerithidea sacrata -,California,,,California,United States of America,,,H.L. Ford,H. L. Ford,,,,,
8078,,10,20,Malacology,Mollusca,Gastropoda,-,Potamididae,Cerithidea,sacrata,-,Gould,Mollusca Gastropoda - Potamididae Cerithidea sacrata -,"San Pedro Bay, Cal.[San Pedro Bay, California]",,,California,United States of America,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8079,,10,5,Malacology,Mollusca,Gastropoda,-,Potamididae,Cerithidea,decollata,-,Linne [Linnaeus],Mollusca Gastropoda - Potamididae Cerithidea decollata -,Mauritius [Republic of Mauritius],,,,Republic of Mauritius,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8080,,10,6,Malacology,Mollusca,Gastropoda,-,Potamididae,Cerithidea,montagnei,-,Orb. [Orbigny],Mollusca Gastropoda - Potamididae Cerithidea montagnei -,"Lower California [now Baja California, Mexico]",,,Baja California,Mexico,,,Phil. Acad. Sciences [Philadelphia Academy of Sciences],Academy of Natural Sciences of Philadelphia,,,,,
8081,,81,4,Malacology,Mollusca,Gastropoda,-,Potamididae,Potamides [Terebralia],sulcatus,-,Born,Mollusca Gastropoda - Potamididae Potamides [Terebralia] sulcatus -,East Indies,,,,,,,Smithsonian Institution,Smithsonian Institution,,,,,with photograph of animal
8082,,716,1,Malacology,Mollusca,Gastropoda,-,Potamididae,Potamides,palustris,-,Linne [Linnaeus],Mollusca Gastropoda - Potamididae Potamides palustris -,South Africa,,,,South Africa,,,George H. Laflin,George H. Laflin,,,,,showing interior construction of whorls [cut to exhibit whorls]
8083,,716,3 [4],Malacology,Mollusca,Gastropoda,-,Potamididae,Potamides [Telescopium],telescopium,-,"Linne [Linnaeus, 1758]",Mollusca Gastropoda - Potamididae Potamides [Telescopium] telescopium -,East Indies,,,,,,,George H. Laflin,George H. Laflin,,,,,
8084,,2169,2,Geology,Mineral,-,-,-,Opal,-,-,,Mineral - - - Opal - -,Mexico,,,,Mexico,,,Dr. McCoy,unknown,,,,,Var. Common Opal; Resin Opal
8085,,850,2,Malacology,Mollusca,Bivalvia,Unionoida,Unionidae,Unio [Lampsilis]  [unverified],luteolus [siliquoidea]  [unverified],-,Lamarck,Mollusca Bivalvia Unionoida Unionidae Unio [Lampsilis]  [unverified] luteolus [siliquoidea]  [unverified] -,"Lake shore, foot of Argyle Street  [street in Chicago, Illinois]",Chicago,Cook County,Illinois,United States of America,male,,Natural History Survey,Natural History Survey,,,1896,1896,
8086,,2762,5,Malacology,Mollusca,Gastropoda,-,Haplotrematidae,Selenites [Haplotrema] [unverified],vancouverensis,-,Lea,Mollusca Gastropoda - Haplotrematidae Selenites [Haplotrema] [unverified] vancouverensis -,"Astoria, Oregon",Astoria,Clatsop,Oregon,United States of America,,"adult, immature",F.M. Woodruff,Frank M. Woodruff,F.M. Woodruff,Frank M. Woodruff,Jul-08,1908-07,
