Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
22857,,2836,1,Ornithology,Chordata,Aves,-,-,Geothylpis,trichas,brachidactyla,Swainson,Chordata Aves - - Geothylpis trichas brachidactyla,"Skokie Marsh, Ills. [Illinois]",,Cook,Illinois,United States of America,female,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9/22/2008,1908-09-22,
22858,,2840,1,Ornithology,Chordata,Aves,-,-,Setophaga,ruticilla,-,Linnaeus,Chordata Aves - - Setophaga ruticilla -,"Waukegan, Ills. [Illinois]",Waukegan,Lake,Illinois,United States of America,male,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9/30/2008,1908-09-30,
22859,,2840,1,Ornithology,Chordata,Aves,-,-,Setophaga,ruticilla,-,Linnaeus,Chordata Aves - - Setophaga ruticilla -,"Waukegan, Ills. [Illinois]",Waukegan,Lake,Illinois,United States of America,male,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9/30/2008,1908-09-30,
22860,,,1,Ornithology,Chordata,Aves,-,-,Setophaga,ruticilla,-,Linnaeus,Chordata Aves - - Setophaga ruticilla -,"Warsaw, Ills. [Illinois]",Warsaw,Hancock,Illinois,United States of America,female,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,5/6/1995,1895-05-06,Accession No. missing
22861,,2621,1,Ornithology,Chordata,Aves,-,-,Setophaga,ruticilla,-,Linnaeus,Chordata Aves - - Setophaga ruticilla -,"Libertyville, Ills. [Illinois]",Libertyville,Lake,Illinois,United States of America,female,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9/18/2007,1907-09-18,
22862,,2621,1,Ornithology,Chordata,Aves,-,-,Setophaga,ruticilla,-,Linnaeus,Chordata Aves - - Setophaga ruticilla -,"Libertyville, Ills. [Illinois]",Libertyville,Lake,Illinois,United States of America,female,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9/18/2007,1907-09-18,
22863,,2932,1,Ornithology,Chordata,Aves,-,-,Setophaga,ruticilla,-,Linnaeus,Chordata Aves - - Setophaga ruticilla -,"Libertyville, Ills. [Illinois]",Libertyville,Lake,Illinois,United States of America,female,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,5/17/2009,1909-05-17,
22864,,2935,1,Ornithology,Chordata,Aves,-,-,Helminthophila,celata,celata,Say,Chordata Aves - - Helminthophila celata celata,"Highland Park, Ills. [Illinois]",Highland Park,Lake,Illinois,United States of America,,,Academy Collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,5/23/2009,1909-05-23,Sex missing
22865,,2959,15,Malacology,Mollusca,Gastropoda,-,Bithyniidae,Bithynia,tentaculata,-,"Linne[Linnaeus, 1758]",Mollusca Gastropoda - Bithyniidae Bithynia tentaculata -,"Swamp below Lock 65, Erie Canal, Rochester",,,New York,United States of America,,,Academy Collecting,Chicago Academy of Sciences,F.C. Baker,Frank Collins Baker,8-14 June 1909,1909-06,
22866,,1109,1,Ornithology,Chordata,Aves,-,-,Dendroica,ingrescens,-,Townsend,Chordata Aves - - Dendroica ingrescens -,"San Bernardino Mts., Cala. [California]",,,California,United States of America,female,,George H. Laflin,George H. Laflin,C.A. Allen,C. A. Allen,7/12/1996,1896-07-12,
