Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
16001,,1213,4,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Musculium,partumeia,-,Say,Mollusca Bivalvia - Sphaeriidae Musculium partumeia -,"La Porte, Indiana",La Porte,,Indiana,United States of America,,,L.E. Daniels,L. E. Daniels,,,6-1888,1888-06,
16002,,674,8,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Sphaerium,striatinum,-,Lamarck,Mollusca Bivalvia - Sphaeriidae Sphaerium striatinum -,"Mud Run, Stark Co. [Stark County], Ills. [Illinois]",Mud Run,Stark,Illinois,United States of America,,,Virginius H. Chase,Virginius H. Chase,,,3-1897,1897-03,
16003,,738,9,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Musculium,transversa,-,Say,Mollusca Bivalvia - Sphaeriidae Musculium transversa -,"Genesee River, Rochester, N.Y.",Genesee River,Rochester,New York,United States of America,,,Maude E. Hall,Maude E. Hall,,,7/1/1995,1895-07-01,
16004,,941,6,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Sphaerium,stamineum,-,Conrad,Mollusca Bivalvia - Sphaeriidae Sphaerium stamineum -,"Kenosha, Wisconsin",Kenosha,Kenosha,Wisconsin,United States of America,,,Mrs. E.L. Wiswall,E. C. Wiswall,,,,,Exchange
16005,,1070,1,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Musculium,securis,-,Prime,Mollusca Bivalvia - Sphaeriidae Musculium securis -,"Cambridge, Massachusetts",Cambridge,Middlesex,Massachusetts,United States of America,,,Dr. W.S. Strode,W. S. Strode,,,,,
16006,,1070,4,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Calyculina,partumeia,-,Say,Mollusca Bivalvia - Sphaeriidae Calyculina partumeia -,"Pond, Upper Red Hook, Duchess Co. [Duchess County], N.Y. [New York]",Upper Red Hook,Duchess,New York,United States of America,,,Dr. W.S. Strode,W. S. Strode,,,5-1891,1891-05,
16007,,1070,2,,-,-,-,-,Calyculina,partumeia,-,Say,- - - - Calyculina partumeia -,"Revere, Massachusetts",Revere,Suffolk,Massachusetts,United States of America,,,Dr. W.S. Strode,W. S. Strode,,,,,
16008,,35,3,Malacology,Mollusca,Bivalvia,-,Carditidae,Cardita,floridana,-,Conrad,Mollusca Bivalvia - Carditidae Cardita floridana -,"Tampa, Florida",Tampa,Hillsborough,Florida,United States of America,,,Bost. Soc. Nat. History [Boston Society of Natural History],Boston Society of Natural History,,,,,
16009,,985,22,Malacology,Mollusca,Bivalvia,-,Carditidae,Cardita,floridana,-,Conrad,Mollusca Bivalvia - Carditidae Cardita floridana -,"Tampa, Florida",Tampa,Hillsborough,Florida,United States of America,,,Mrs. Wilson L. Mead,Mrs. Wilson L. Mead,,,,,
16010,,20,8,Malacology,Mollusca,Bivalvia,-,Chamidae,Chama,macrophylla,-,Chemnitz,Mollusca Bivalvia - Chamidae Chama macrophylla -,"Tampa, Florida",Tampa,Hillsborough,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
16011,,20,11,Malacology,Mollusca,Bivalvia,-,Chamidae,Chama,congregata,-,Conrad,Mollusca Bivalvia - Chamidae Chama congregata -,West Florida,Tampa,Hillsborough,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
16012,,1837,1,Malacology,Mollusca,Bivalvia,-,Nuculidae,Nucula,radiata,-,Forbes & Hanley,Mollusca Bivalvia - Nuculidae Nucula radiata -,,,,,,,,C.W. Parker,C. W. Parker,,,,,Exchange
16013,,,2,,-,-,-,-,Crotaphytus,collaris,-,Holb,- - - - Crotaphytus collaris -,"Vineland, Mo.",Vineland,Jefferson,Missouri,United States of America,,,F.M. Woodruff,Frank M. Woodruff,F.M. Woodruff,Frank M. Woodruff,,,Collared Lizard
16014,,635,1,Geology,Mineral,Sedimentary,-,Limestone,Niagara Limestone,-,-,,Mineral Sedimentary - Limestone Niagara Limestone - -,Lemont,Lemont,"DuPage, Cook, Will",Illinois,United States of America,,,Joseph R. Putnam,Joseph R. Putnam,,,,,Containing chert nodule [red M by catalogue number]
16015,,,1,Geology,Mineral,Sedimentary,-,Limestone,Niagara Limestone,-,-,,Mineral Sedimentary - Limestone Niagara Limestone - -,Lemont,Lemont,"DuPage, Cook, Will",Illinois,United States of America,,,Frank L. Baker,Frank L. Baker,,,,,[red M by catalogue number]
16016,,,2,,-,-,-,-,Periplaneta,occidentalis,-,Linne,- - - - Periplaneta occidentalis -,N. Ill. [Northern Illinois],,,,,,,,,,,,,
16017,,,1,,-,-,-,-,Phyllodionia,germanica,-,Fab,- - - - Phyllodionia germanica -,N. Ill. [Northern Illinois],,,,,,,,,,,,,
16018,,,2,,-,-,-,-,Ectobia,germanica,-,Steph,- - - - Ectobia germanica -,N. Ill. [Northern Illinois],,,,,,,,,,,,,
16019,,985,2,Malacology,Mollusca,Bivalvia,-,Lucinidae,Phacoides,pennsylvanica,-,Linne,Mollusca Bivalvia - Lucinidae Phacoides pennsylvanica -,Florida,,,Florida,United States of America,,,Mrs. Wilson G. Meade,Mrs. Wilson G. Mead,,,,,
16020,,20,11,Malacology,Mollusca,Bivalvia,-,Lucinidae,Codakia,orbicularis,-,Linne,Mollusca Bivalvia - Lucinidae Codakia orbicularis -,"Tampa, Florida",Tampa,Hillsborough,Florida,United States of America,,,Florida Expedition,Florida Expedition,,,1877,1877,
16021,,1334,1,Malacology,Mollusca,Gastropoda,-,Buccinidae,Tritonofuscus,stimpsoni,-,M̦rch,Mollusca Gastropoda - Buccinidae Tritonofuscus stimpsoni -,Arctic Sea,,,,Unknown,,,Dr. R.L. Rea,R. L. Rea,,,,,
16022,,985,1,Malacology,Mollusca,Bivalvia,-,Lucinidae,Lucina,chrysostoma,-,M̦rch,Mollusca Bivalvia - Lucinidae Lucina chrysostoma -,Florida,,,Florida,United States of America,,,Mrs. Wilson G. Mead,Mrs. Wilson G. Mead,,,,,
16023,,985,3,Malacology,Mollusca,Bivalvia,-,Lucinidae,Placoides,floridanus,-,Conrad,Mollusca Bivalvia - Lucinidae Placoides floridanus -,Florida,,,Florida,United States of America,,,Mrs. Wilson G. Mead,Mrs. Wilson G. Mead,,,,,
16024,,1089,1,Malacology,Mollusca,Bivalvia,-,Lucinidae,Codakia,orbiculata,-,Montagu,Mollusca Bivalvia - Lucinidae Codakia orbiculata -,Trinidad,,,,Trinidad,,,Mrs. George B. Reeve,Mrs. George B. Reeve,,,,,
16025,,,1,Malacology,Mollusca,Bivalvia,-,Cardiidae,Cardium,mortoni,-,Conrad,Mollusca Bivalvia - Cardiidae Cardium mortoni -,,,,,,,,,,,,,,Figure of animal
16026,,753,1,Malacology,Mollusca,Bivalvia,-,Cardiidae,Cardium,serratum,[multilineatum],Linne [D.&S.],Mollusca Bivalvia - Cardiidae Cardium serratum [multilineatum],"Galveston, Texas",Galveston,Galveston,Texas,United States of America,,,Charles M. Higgonson,Charles M. Higginson,,,,,Var. multilineatum D.&S.
16027,,753,2,Malacology,Mollusca,Bivalvia,-,Cardiidae,Cardium,robustum,-,Solander,Mollusca Bivalvia - Cardiidae Cardium robustum -,"Galveston, Texas",Galveston,Galveston,Texas,United States of America,,,Charles M. Higgonson,Charles M. Higginson,,,,,
16028,,45,1,Malacology,Mollusca,Bivalvia,-,Lucinidae,Divaricella,quadrisulcata,-,Orb.,Mollusca Bivalvia - Lucinidae Divaricella quadrisulcata -,"Tampa, Florida",Tampa,Hillsborough,Florida,United States of America,,,Dr. J.W. Velie,J. W. Velie,,,,,
16029,,285,1,Geology,Mineral,Mineraloids,-,Pearls,Baroque pearls [Quadrula],[undulata],-,,Mineral Mineraloids - Pearls Baroque pearls [Quadrula] [undulata] -,"St. Joseph River, Indiana",,,Indiana,United States of America,,,A.O. Lentheusser,A. O. Lentheusser,,,,,From Quadrula undulata
16030,,285,1,Malacology,Mollusca,Bivalvia,Unionoida,Unionidae,Quadrula,undulata,-,Barnes,Mollusca Bivalvia Unionoida Unionidae Quadrula undulata -,"St. Joseph River, Wayne, Ind. [Indiana]",,Wayne,Indiana,United States of America,,,A.O. Lentheusser,A. O. Lentheusser,,,,,
16031,,,1,,-,-,-,-,-,-,-,,- - - - - - -,Calif. [California],,,California,United States of America,,,B.C. Arnold,B. C. Arnold,,,,,
16032,,,1,,-,-,-,-,-,-,-,,- - - - - - -,Chicago,Chicago,Cook,Illinois,United States of America,,,Mrs. G.A. Joseph,G. A. Joseph,,,,,
16033,,1225,2,Malacology,Mollusca,Bivalvia,-,Tridacnidae,Tridacna,maculata,-,Lamarck,Mollusca Bivalvia - Tridacnidae Tridacna maculata -,North Australia,,,,Australia,,,Mrs. Nicholas Senn,Mrs. Nicholas Senn,,,,,
16034,,1,1,Malacology,Mollusca,Bivalvia,-,Tridacnidae,Tridacna,maculata,-,Lamarck,Mollusca Bivalvia - Tridacnidae Tridacna maculata -,North Australia,,,,Australia,,,Mrs. E.E. Atwater,Elizabeth Emerson Atwater,,,,,
16035,,1278,3,Geology,Mineral,Sulphides,-,Galena,"Galenite, Lead Ore",-,-,,"Mineral Sulphides - Galena Galenite, Lead Ore - -","Galena, Kansas",Galena,Cherokee,Kansas,United States of America,,,Mr. Luck,unknown,,,,,[red M by catalogue number]
16036,,,2,,-,-,-,-,Caryoborus,arthritiecus,-,Fab.,- - - - Caryoborus arthritiecus -,Fla. [Florida],,,Florida,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16037,,,6,,-,-,-,-,Bruchus,posa,-,Linn,- - - - Bruchus posa -,"Van. [Vancouver], N.Y. [New York], L.Sup. [Lake Superior], C. Ill [Central Illinois]",,,,,,,Mrs. Chas. Saune,Mrs. Charles Saune,Chas. Saune,Charles Sonne,,,
16038,,,2,,-,-,-,-,Bruchus,minus,-,Say,- - - - Bruchus minus -,,,,,,,,Mrs. Chas. Saune,Mrs. Charles Saune,,,,,
16039,,,3,,-,-,-,-,Bruchus,scutellaris,-,Fab.,- - - - Bruchus scutellaris -,"Lex., Va. [Lexington, Virginia]",Lexington,,Virginia,United States of America,,,Mrs. Chas. Saune,Mrs. Charles Saune,,,,,
16040,,,3,,-,-,-,-,Bruchus,discoideus,-,Say,- - - - Bruchus discoideus -,"Q.C. Ariz. [Queen Creek, Arizona]",Queen Creek,"Maricopa, Pinal",Arizona,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16041,,,1,,-,-,-,-,Bruchus,cruentatus,-,Horn,- - - - Bruchus cruentatus -,Mo. [Missouri],,,Missouri,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16042,,,3,,-,-,-,-,Bruchus,nigranus,-,Horn,- - - - Bruchus nigranus -,"Lex., Ill. [Lexington, Illinois]",Lexington,McLean,Illinois,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16043,,,3,,-,-,-,-,Bruchus,pauperculus,-,Lec.,- - - - Bruchus pauperculus -,Cal. [California],,,California,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16044,,,3,,-,-,-,-,Bruchus,uniformis,-,Lec.,- - - - Bruchus uniformis -,Texas,,,Texas,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16045,,,6,,-,-,-,-,Bruchus,obsoletus,-,Say,- - - - Bruchus obsoletus -,"N. Ill. [Northern Illinois], Fla. [Florida]",,,,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16046,,,2,,-,-,-,-,Bruchus,placidus,-,Horn,- - - - Bruchus placidus -,"Ariz. [Arizona], Tex. [Texas]",,,Arizona,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16047,,,2,,-,-,-,-,Eurymetopon,rufipes,-,Esch.,- - - - Eurymetopon rufipes -,Ariz. [Arizona],,,Arizona,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16048,,,5,,-,-,-,-,Eurymetopon,punctulatum,-,Lec.,- - - - Eurymetopon punctulatum -,Texas,,,Texas,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16049,,,3,,-,-,-,-,Eunnenastris [?],longulus [?],-,Lec.,- - - - Eunnenastris [?] longulus [?] -,Ariz. [Arizona],,,Arizona,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16050,,,2,,-,-,-,-,Eipitragus [sic] [Epitragus],arundinia,-,Lec.,- - - - Eipitragus [sic] [Epitragus] arundinia -,"N.Y. [New York], Cal. [California]",,,,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16051,,,6,,-,-,-,-,Eipitragus,tomentosus,-,Lec.,- - - - Eipitragus tomentosus -,Fla. [Florida],,,Florida,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16052,,,1,,-,-,-,-,Eipitragus,plumbeus,-,,- - - - Eipitragus plumbeus -,Ariz. [Arizona],,,Arizona,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16053,,,1,,-,-,-,-,Eipitragus,oralis,-,Casey,- - - - Eipitragus oralis -,Col. [Colorado],,,Colorado,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16054,,,4,,-,-,-,-,Zopherus,opacus,-,Horn,- - - - Zopherus opacus -,"Tex. [Texas], N. Mex. [New Mexico]",,,,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16055,,,5,,-,-,-,-,Phlaides,diabolicus,-,Lec.,- - - - Phlaides diabolicus -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16056,,,2,,-,-,-,-,Chlaenius,viridifrous,-,Esch.,- - - - Chlaenius viridifrous -,Cal. [California],,,California,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16057,,,2,,-,-,-,-,Nyctoporis,carinata,-,Lec.,- - - - Nyctoporis carinata -,Cal. [California],,,California,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16058,,,1,,-,-,-,-,Nyctoporis,aequicollis,-,Esch.,- - - - Nyctoporis aequicollis -,S. Cal. [Southern California],,,California,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16059,,,1,,-,-,-,-,Cryptoglossa,verrucosa,-,Lec.,- - - - Cryptoglossa verrucosa -,Ariz. [Arizona],,,Arizona,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16060,,,3,,-,-,-,-,Asida,opaca,-,Say,- - - - Asida opaca -,C.T.,,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
16061,,,3,,-,-,-,-,Asida,Jsolita,-,Say,- - - - Asida Jsolita -,"Col. [Colorado], Cal. [California]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
16062,,,2,,-,-,-,-,Asida,costipermis,-,Lec.,- - - - Asida costipermis -,Ariz. [Arizona],,,Arizona,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
16063,,,2,,-,-,-,-,Asida,morbillosa,-,Lec.,- - - - Asida morbillosa -,Ariz. [Arizona],,,Arizona,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16064,,,3,,-,-,-,-,Asida,convexa,-,Lec.,- - - - Asida convexa -,C.T.,,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16065,,,1,,-,-,-,-,Asida,rimata,-,Lec.,- - - - Asida rimata -,Ariz. [Arizona],,,Arizona,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16066,,,4,,-,-,-,-,Coniontis,robusta,-,Horn,- - - - Coniontis robusta -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16067,,,3,,-,-,-,-,Coniontis,opaca,-,Horn,- - - - Coniontis opaca -,"Col. [Colorado], Cal. [California]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16068,,,3,,-,-,-,-,Coniontis,eschattzii,-,Mann,- - - - Coniontis eschattzii -,"Van. [Vancouver], Cal. [California]",,,,,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16069,,,7,,-,-,-,-,Coniontis,subpubesceus,-,Lec.,- - - - Coniontis subpubesceus -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16070,,,1,,-,-,-,-,Coniontis,nemoralis,-,Esch.,- - - - Coniontis nemoralis -,Col. [Colorado],,,Colorado,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16071,,,1,,-,-,-,-,Coniontis,oralis,-,Esch.,- - - - Coniontis oralis -,C.T.,,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16072,,,6,,-,-,-,-,Collus,ciliatus,-,Esch.,- - - - Collus ciliatus -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16073,,,3,,-,-,-,-,Collus,globosus,-,Lec.,- - - - Collus globosus -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16074,,,2,,-,-,-,-,Eusattus,reticulatus,-,Say,- - - - Eusattus reticulatus -,Ariz. [Arizona],,,Arizona,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16075,,,2,,-,-,-,-,Eleodes,obscura,-,Say,- - - - Eleodes obscura -,"Ariz. [Arizona], N. Mex. [New Mexico]",,,,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16076,,,1,,-,-,-,-,Eleodes,solcipennis,-,Mann,- - - - Eleodes solcipennis -,N. Mex. [New Mexico],,,New Mexico,United States of America,,,Andrew Bolter,Andrew Bolter,Andrew Bolter,Andrew Bolter,,,
16077,,,4,,-,-,-,-,Eleodes,acuta,-,Say,- - - - Eleodes acuta -,"N. Mex. [New Mexico], C.T.",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16078,,,1,,-,-,-,-,Eleodes,suturalis,-,Say,- - - - Eleodes suturalis -,,,,,,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
16079,,,2,,-,-,-,-,Eleodes,texana,-,Lec.,- - - - Eleodes texana -,"N. Mex. [New Mexico], Tex. [Texas]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16080,,,4,,-,-,-,-,Eleodes,tricostata,-,Say,- - - - Eleodes tricostata -,"Tex. [Texas], Col. [Colorado], Cal. [California], N. Mex. [New Mexico]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16081,,,5,,-,-,-,-,Eleodes,obsoleta,-,Say,- - - - Eleodes obsoleta -,"Col. [Colorado], C.T.",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16082,,,2,,-,-,-,-,Eleodes,quadricollis,-,Esch.,- - - - Eleodes quadricollis -,Cal. [California],,,California,United States of America,,,Bolter & Sonne,MULTIPLE AGENTS - 2,(1) Bolter & Sonne (1),Charles Sonne; Andrew Bolter,,,
16083,,,5,,-,-,-,-,Eleodes,extricata,-,Say,- - - - Eleodes extricata -,"Col. [Colorado], Dac. [sic.], Cal. [California]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16084,,,1,,-,-,-,-,Eleodes,militaris,-,Horn,- - - - Eleodes militaris -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16085,,,3,,-,-,-,-,Eleodes,longicollis,-,Horn,- - - - Eleodes longicollis -,Col. [Colorado],,,Colorado,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16086,,,3,,-,-,-,-,Eleodes,lexicae [sic],-,Lec.,- - - - Eleodes lexicae [sic] -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16087,,,2,,-,-,-,-,Eleodes,gracilis,-,Lec.,- - - - Eleodes gracilis -,Col. [Colorado],,,Colorado,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16088,,,2,,-,-,-,-,Eleodes,grandicollis,-,Mann,- - - - Eleodes grandicollis -,Col. [Colorado],,,Colorado,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16089,,,2,,-,-,-,-,Eleodes,gigantea,-,Mann,- - - - Eleodes gigantea -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16090,,,2,,-,-,-,-,Eleodes,nigrina,-,Lec.,- - - - Eleodes nigrina -,"Cal. [California], Ariz. [Arizona]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16091,,,7,,-,-,-,-,Eleodes,hispilabris,-,Say,- - - - Eleodes hispilabris -,"Ariz. [Arizona], N. Mex. [New Mexico]",,,,United States of America,,,Bolter & Sonne,MULTIPLE AGENTS - 2,(1) Bolter & (6) Sonne,Charles Sonne; Andrew Bolter,,,
16092,,,3,,-,-,-,-,Eleodes,candifera,-,Lec.,- - - - Eleodes candifera -,"Col. [Colorado], Kans. [Kansas]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16093,,,3,,-,-,-,-,Eleodes,acuticauda,-,Lec.,- - - - Eleodes acuticauda -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16094,,,4,,-,-,-,-,Eleodes,dentipes,-,Esch.,- - - - Eleodes dentipes -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16095,,,6,,-,-,-,-,Eleodes,clavicornis,-,Esch.,- - - - Eleodes clavicornis -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16096,,,4,,-,-,-,-,Eleodes,tenebrosa,-,Horn,- - - - Eleodes tenebrosa -,"Cal. [California], Van. [Vancouver]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16097,,,4,,-,-,-,-,Eleodes,planipennis,-,Lec.,- - - - Eleodes planipennis -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16098,,,4,,-,-,-,-,Eleodes,parvicollis,-,Esch.,- - - - Eleodes parvicollis -,Cal. [California],,,California,United States of America,,,Bolter & Sonne,MULTIPLE AGENTS - 2,(1) Boutler) & (3) Sonne,Charles Sonne; Andrew Bolter,,,
16099,,,5,,-,-,-,-,Eleodes,cordata,-,Esch.,- - - - Eleodes cordata -,Col. [Colorado],,,Colorado,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16100,,,5,,-,-,-,-,Eleodes,primelioides [sic],-,Mann,- - - - Eleodes primelioides [sic] -,"Cal. [California], Mo. [Missouri], Col. [Colorado]",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16101,,,3,,-,-,-,-,Eleodes,fusiformis,-,Lec.,- - - - Eleodes fusiformis -,"Col. [Colorado], Texas",,,,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16102,,,1,,-,-,-,-,Eleodes,seciata,-,Lec.,- - - - Eleodes seciata -,Texas,,,Texas,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16103,,,1,,-,-,-,-,Eleodes,striolata,-,Lec.,- - - - Eleodes striolata -,Col. [Colorado],,,Colorado,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16104,,,4,,-,-,-,-,Eleodes,marginata,-,Esch.,- - - - Eleodes marginata -,Cal. [California],,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16105,,,2,,-,-,-,-,Embaphion,muricalinu,-,Say,- - - - Embaphion muricalinu -,,,,,,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
16106,,,1,,-,-,-,-,Embaphion,elongalium,-,Horn,- - - - Embaphion elongalium -,Kans. [Kansas],,,Kansas,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16107,,,1,,-,-,-,-,Eulabris,bicarinata,-,Esch.,- - - - Eulabris bicarinata -,,,,,,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
16108,,,1,,-,-,-,-,Eulabris,grossa,-,Lec.,- - - - Eulabris grossa -,,,,,,,,Mrs. Chas. Sonne,PLACEHOLDER,,,,,
16109,,,2,,-,-,-,-,Eulabris,rufipes,-,Esch.,- - - - Eulabris rufipes -,"Col. [Colorado -- note, original specimen labels read ""Cal"" for California; presume labels are correct. DR]",,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16110,,,1,,-,-,-,-,Eulabris,pubesceus,-,Lec.,- - - - Eulabris pubesceus -,"Col. [Colorado -- note, original specimen labels read ""Cal"" for California; presume labels are correct. DR]",,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16111,,,2,,-,-,-,-,Eulabris,obscura,-,Lec.,- - - - Eulabris obscura -,"Col. [Colorado -- note, original specimen labels read ""Cal"" for California; presume labels are correct. DR]",,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16112,,,5,,-,-,-,-,Cerenopus,cribratus,-,Lec.,- - - - Cerenopus cribratus -,"Col. [Colorado -- note, original specimen labels read ""Cal"" for California; presume labels are correct. DR]",,,California,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16113,,,4,,-,-,-,-,Argoporis,castipennis,-,Lec.,- - - - Argoporis castipennis -,Arizona,,,Arizona,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
16114,,,1,,-,-,-,-,Argoporis,bicolor,-,Lec.,- - - - Argoporis bicolor -,Arizona,,,Arizona,United States of America,,,Mrs. Chas. Sonne,PLACEHOLDER,Chas. Sonne,Charles Sonne,,,
