Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
24001,,2519,35,,-,-,-,-,Fulgur [Busycotypus],pyrum [spiratus],-,Dillwyn.,- - - - Fulgur [Busycotypus] pyrum [spiratus] -,"Between Tampa and Key West, Fla. [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24002,,2519,45,,-,-,-,-,Fulgur [Busycon],perversum,-,Linne.,- - - - Fulgur [Busycon] perversum -,"Between Tampa and Key West, Fla. [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24003,,2519,8,Malacology,-,-,-,-,Fasciolaria,tulipa,-,Linne.,- - - - Fasciolaria tulipa -,"Between Tampa and Key West, Fla. [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24004,,2519,40,Malacology,-,-,-,-,Strombus,pugilis,-,Linne.,- - - - Strombus pugilis -,"Between Tampa and Key West, Fla. [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24005,,2519,42,Malacology,-,-,-,-,Cardium [Dinocardium],robustum,-,Solander.,- - - - Cardium [Dinocardium] robustum -,"Between Tampa and Key West, Fla. [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24006,,2519,45,Malacology,-,-,-,-,Cardium [Dallocardia],muricatum [muricata],-,Linne.,- - - - Cardium [Dallocardia] muricatum [muricata] -,"Between Tampa and Key West, Fla. [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24007,,2519,45,Malacology,-,-,-,-,Cardium [Trachycardium],isocardia,-,Linne.,- - - - Cardium [Trachycardium] isocardia -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24008,,2519,110,Malacology,-,-,-,-,Pecten,gibbus,[dislocatus],Linne.,- - - - Pecten gibbus [dislocatus],"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,Var. dislocatus Say.
24009,,2519,4,Malacology,-,-,-,-,Atrina,serrata,-,Sowerby.,- - - - Atrina serrata -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24010,,2519,11,Malacology,-,-,-,-,Atrina,rigida,-,Dillwyn.,- - - - Atrina rigida -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24011,,2519,2,Malacology,-,-,-,-,Fulgur [Busycon],perversum,-,Linne.,- - - - Fulgur [Busycon] perversum -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
24012,,2519,70,Malacology,-,-,-,-,Crepidula,fornicata,-,Linne.,- - - - Crepidula fornicata -,"Between Tampa and Key West, Fla [Florida]",,,Florida,United States of America,,,Edwin A. Woley,Edwin A. Woley,,,[pre May 1907],pre 1907-05,
