COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ORIG_ELEV_UNITS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1997,ekrimmel,2017.14.925,Herbert C. Brun-152,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Syrphidae,legacy,unknown,,Fly.,Jul 26 1927,1927-07-26,1927-07-26,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Julia Colby,2010-09-15,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"INTERNAL NOTES: Originally found in ""Cigar Box 1."" DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-15). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),Poor.,1,discarded,Specimen found completely disintegrated; discarded upon inventory 2009-2010.,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
491,ekrimmel,2017.14.531,Herbert C. Brun-1520,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Neoascia globosa,legacy,unknown,,Fly.,Jun 06 1924,1924-06-06,1924-06-06,"North America, United States, Wisconsin, Dane County",Madison,[transcribed directly into formatted locality fields],Micah Saugen,2017-04-07,unverified,,,,Charles L. Fluke,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-20). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Chas L. Fluke,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
536,ekrimmel,2017.14.558,Herbert C. Brun-1525,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Rhingia nasica,legacy,unknown,,Fly.,Jun 14 1925,1925-06-14,1925-06-14,"North America, United States, Wisconsin, Columbia County",Columbus,[transcribed directly into formatted locality fields],Micah Saugen,2017-04-07,unverified,,,,Charles L. Fluke,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-20). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Chas L. Fluke,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1998,ekrimmel,2017.14.921,Herbert C. Brun-153,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Syrphidae,legacy,unknown,,Fly.,1927,1927-01-01,1927-12-31,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Julia Colby,2010-09-16,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"INTERNAL NOTES: Originally found in ""Cigar Box 1."" DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-16). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),Poor.,1,discarded,Specimen found completely disintegrated; discarded upon inventory 2009-2010.,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
400,ekrimmel,2017.14.466,Herbert C. Brun-1532,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Eristalis arbustorum,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,"North America, United States, Tennessee",no specific locality recorded,[transcribed directly into formatted locality fields],Micah Saugen,2017-04-07,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-20). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Fluke,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
2390,ekrimmel,2017.14.1901,Herbert C. Brun-1534,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Eristalis anthophorina,legacy,unknown,,Fly.,Jun 13 1917,1917-06-13,1917-06-13,"North America, United States, Wisconsin, Dane County","Madison, University of Wisconsin campus",FROM SPECIMEN: U. W. Campus,Erica Krimmel,2017-09-26,unverified,,,,Charles L. Fluke,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,missing,,,,,,,verbatim collector,Chas L. Fluke,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
402,ekrimmel,2017.14.463,Herbert C. Brun-1535,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Eristalis anthophorina,legacy,unknown,,Fly.,May 25 1918,1918-05-25,1918-05-25,"North America, United States, Wisconsin, Dane County",Madison,[transcribed directly into formatted locality fields],Micah Saugen,2017-04-07,unverified,,,,Charles L. Fluke,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-20). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Chas L. Fluke,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
407,ekrimmel,2017.14.473,Herbert C. Brun-1538,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Eristalis flavipes,legacy,unknown,,Fly.,Jun 09 1920,1920-06-09,1920-06-09,"North America, United States, Wisconsin, Dane County",Madison,[transcribed directly into formatted locality fields],Erica Krimmel,2017-06-17,unverified,,,,Charles L. Fluke,collector,,,CHAS:Ento,"EXHIBIT AND LOAN HISTORY: L2015.8, ""Bees"" exhibit 6/19/2015 to 9/8/2015. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-20). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Chas L. Fluke,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1999,ekrimmel,2017.14.926,Herbert C. Brun-154,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Syrphidae,legacy,unknown,,Fly.,Jul 26 1927,1927-07-26,1927-07-26,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Julia Colby,2010-09-16,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"INTERNAL NOTES: Originally found in ""Cigar Box 1."" DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-16). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),Poor.,1,discarded,Specimen found completely disintegrated; discarded upon inventory 2009-2010.,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
2000,ekrimmel,2017.14.923,Herbert C. Brun-155,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Syrphidae,legacy,unknown,,Fly.,Jul-27,1927-07-01,1927-07-31,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Julia Colby,2010-09-16,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"INTERNAL NOTES: Originally found in ""Cigar Box 1."" DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-16). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),Poor.,1,discarded,Specimen found completely disintegrated; discarded upon inventory 2009-2010.,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
