AGENT_TYPE,PREFERRED NAME,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,D. Folsom,D. Folsom,D. Folsom,D. Folsom
person,D. Footle,D. Footle,D. Footle,D. Footle
person,D. Footle,D. Footle,D. Footle,D. Footle & Y. Matos
person,D. Footle,D. Footle,D. Footle,J. Colby & D. Footle
person,D. Footle,D. Footle,D. Footle,D.C. Lowrie D. Footle
person,D. Footle,D. Footle,D. Footle,D.C. Lowrie D. Footle: sex
person,D. Footle,D. Footle,D. Footle,D. Footle D.C. Lowrie
person,D. Footle,D. Footle,D. Footle,D. Footle D.C. Lowrie?
person,D. Footle,D. Footle,D. Footle,D. Footle J. Colby
person,D. Footle,D. Footle,D. Footle,D. Footle to family - D.C. Lowrie
person,D. Footle,D. Footle,D. Footle,D. Footle W.J. Gertsch
person,D. Footle,D. Footle,D. Footle,AMBIGUOUS
person,D. Footle,D. Footle,D. Footle family,D. Footle family
person,D. Footle,D. Footle,D. Footle Gertsch,D. Footle Gertsch
person,D. Footle,D. Footle,D. Footle Order,D. Footle Order
person,D. Footle,D. Footle,D. Footle to family,D. Footle to family
person,D. Footle,D. Footle,D. Footle to genus,D. Footle to genus
person,D. Footle,D. Footle,D.Footle to Order,D.Footle to Order
person,D. Footle,D. Footle,D. Footle to order,D. Footle to order
person,D. Freuch,D. Freuch,D. Freuch,D. Freuch
person,D. Gale,D. Gale,D. Gale,"D. Gale, A H Felger"
person,D. Gunn,D. Gunn,D. Gunn,D. Gunn
person,unknown,D. H. ,D.H.,D.H.
person,D. H. Dickinson,D. H. Dickinson,D.H. Dickinson,D.H. Dickinson
person,D. H. Dickinson,D. H. Dickinson,D.H. Dickinson,D.H. Dickinson; Colombian Marble Company
person,D. H. Dickinson,D. H. Dickinson,D.H. Dickinson,AMBIGUOUS
person,D. H. Heill,D. H. Heill,D.H. Heill,D.H. Heill
person,D. H. Hill,D. H. Hill,D.H. Hill,D.H. Hill
person,D. H. Hood,D. H. Hood,D.H. Hood,J.Zetek & D.H. Hood
person,D. H. Hood,D. H. Hood,D. H. Hood,J.Zeteck + D.H. Hood
person,D. H. Hood,D. H. Hood,D. H. Hood,J. Zetek and D. H. Hood
person,D. H. Kistner,D. H. Kistner,D.H.Kistner,D.H.Kistner
person,D. H. Kistner,D. H. Kistner,D.H. Kistner,D.H. Kistner
person,D. H. Kistner,D. H. Kistner,D. H. Kistner,D. H. Kistner
person,D. Harris,D. Harris,D. Harris,D. Harris
person,D. Henkleman,D. Henkleman,D. Henkleman,D. Henkleman
person,Donald J. Wright,D. J. Wright,D.J. Wright,D.J. Wright
person,D. K. Kistner,D. K. Kistner,D.K. Kistner,D.K. Kistner
person,D. Kistner,D. Kistner,D.Kistner,D.Kistner
person,D. Kistner,D. Kistner,D. Kistner,D. Kistner
person,D. L. Bauer,D. L. Bauer,D.L. Bauer,D.L. Bauer
person,D. L. DeWitt,D. L. DeWitt,D.L. DeWitt,D.L. DeWitt
person,D. L. Walley,D. L. Walley,D.L. Walley,Govt agents - seized from A.R. and D.L. Walley
person,D. L. Walley,D. L. Walley,D.L. Walley,"Seized in Addison, IL by government agents from A.R. and D.L. Walley"
person,D. L. Walley,D. L. Walley,D.L. Walley,AMBIGUOUS
person,D. Lowrie,D. Lowerie,D. Lowerie,E.V. Komarek & D. Lowerie
person,Donald C. Lowrie,D. Lowrie,D. Lowrie,"D. Lowrie, T. Wright"
person,D. M. Hatfield,D. M. Hatfield,D.M. Hatfield,D.M. Hatfield
person,D. M. Hatfield,D. M. Hatfield,D.M. Hatfield,"D.M. Hatfield, T.I. Wright"
person,D. M. Hatfield,D. M. Hatfield,D.M. Hatfield,"D.M. Hatfield, T.I. Wright & D.C. Lowrie"
person,D. M. Hatfield,D. M. Hatfield,D.M. Hatfield,AMBIGUOUS
person,Dale M. Parriott,D. M. Parriott,D.M. Parriott,D.M. Parriott
person,D. M. Smith,D. M. Smith,D.M. Smith,P.W. and D.M. Smith
person,David Matusik,D. Matusik,D. Matusik,D. Matusik
person,D. McMichael,D. McMichael,D. McMichael,"W. Clench, R. Tuner, D. McMichael"
person,D. McMichael,D. McMichael,D. McMichael,"W.Clench, R. Tuner, D. McMichael"
person,D. McMichael,D. McMichael,D. McMichael,AMBIGUOUS
person,D. N. Bayerlee,D. N. Bayerlee,D.N. Bayerlee,D.N. Bayerlee
person,D. N. Byerlee,D. N. Byerlee,D.N. Byerlee,D.N. Byerlee
person,D. N. Couch,D. N. Couch,D.N. Couch,D.N. Couch & BerlanderKennicott
person,D. P. Ingraham,D. P. Ingraham,D.P. Ingraham,D.P. Ingraham
person,D. Percy,D. Percy,D. Percy,D. Percy
person,D. Piquard,D. Piquard,D.Piquard,D.Piquard
person,D. Piquard,D. Piquard,D. Piquard,D. Piquard
person,unknown,D. Pre,D. Pre,D. Pre
person,unknown,D. R. D.,D. R. D.,Lawrence Huey for D.R.D.
person,Donald R. Dickey,D. R. Dickey,D.R. Dickey,"S.S. Gregory, Jr. or D.R. Dickey"
person,D. R. Holmes,D. R. Holmes,D.R. Holmes,D.R. Holmes
person,Dawn R. Roberts,D. Roberts,D. Roberts,D. Roberts
person,Dawn R. Roberts,D. Roberts,D. Roberts,"D. Roberts, 2/5/2015"
person,Dawn R. Roberts,D. Roberts,D. Roberts,"D. Roberts, S. Sullivan"
person,Dawn R. Roberts,D. Roberts,D. Roberts,"D. Roberts, 2/15/2010"
person,Dawn R. Roberts,D. Roberts,D. Roberts,AMBIGUOUS
person,D. S. Martin,D. S. Martin,D.S. Martin,D.S. Martin
person,D. Sloan,D. Sloan,D. Sloan,D. Sloan
person,D. Sollenberger,D. Sollenberger,D. Sollenberger,D. Sollenberger
person,Don Stillwaugh,D. Stillwaugh Don Stillwaugh,D. Stillwaugh Don Stillwaugh,D. Stillwaugh Don Stillwaugh
person,D. T. JenRuis,D. T. JenRuis,D.T. JenRuis,D.T. JenRuis
person,Doug Taron,D. Taron,D. Taron,D. Taron
person,Dwight Tevuk,D. Tevuk,D. Tevuk,D. Tevuk
person,D. Thompson,D. Thompson,D. Thompson,D. Thompson
person,D. V. Hembree,D. V. Hembree,D.V. Hembree,D.V. Hembree
person,D. VanLandryt,D. VanLandryt,D. VanLandryt,D. VanLandryt
person,Dwight W. Cusack,D. W. Cusack,D.W. Cusack,D.W. Cusack
person,Dwight W. Cusack,D. W. Cusack,D. W. Cusack,D. W. Cusack
person,D. W. Prentiss,D. W. Prentiss,D.W. Prentiss,D.W. Prentiss
person,D. W. Thomas,D. W. Thomas,D.W. Thomas,D.W. Thomas
person,D. Wilby,D. Wilby,D. Wilby,Joe Docura for D. Wilby
person,D. Wilby,D. Wilby,D. Wilby,D. Wilby
person,D. Willey Wilby,D. Willey Wilby,D. Willey Wilby,D. Willey Wilby
person,D. Williams,D. Williams,D. Williams,D. Williams
person,Donald J. Wright,D. Wright,D. Wright,D. Wright
person,unknown,D'Almaine,D'Almaine,Stuart Brothers & D&#39;Almaine
person,Donald Adler,D. Adler,D Adler,D Adler & M Michael
person,Dale M. Parriott,Dale M. Parriott,Dale M. Parriott,Dale M. Parriott
person,unknown,Daleske,Daleske,"Stille, Daleske & Edgren"
organization,Dallas Museum,Dallas Museum,Dallas Museum,Dallas Museum
organization,Dallas Museum,Dallas Museum,Dallas Museum,"F.W. Miller, Dallas Museum"
organization,Dallas Museum,Dallas Museum,Dallas Museum,AMBIGUOUS
person,D. Ameel,D. Ameel,D Ameel,D Ameel
person,Daniel Thompson,Dan. Thompson,Dan. Thompson,Dan. Thompson
person,Dan Crumlish,Dan Crumlish,Dan Crumlish,Dan Crumlish
person,Dan Crumlish,Dan Crunlish,Dan Crunlish,Dan Crunlish
person,Daniel Lencioni,Daniel Lencioni,Daniel Lencioni,Daniel Lencioni
person,unknown,Daniels,Daniels,Daniels
person,unknown,Daniels,Daniels,Ferriss & Daniels
person,unknown,Daniels,Daniels,Daniels + Ferriss
person,unknown,Daniels,Daniels,Daniels +Ferriss
person,unknown,Daniels,Daniels,AMBIGUOUS
person,Daniel Thompson,Daniel Thompson,Daniel Thompson,Daniel Thompson
person,Daniel Thompson,Daniel Thompson,Daniel Thompson,Mr. G.C. Walker & Daniel Thompson
person,Daniel Thompson,Daniel Thompson,Daniel Thompson,Mr. Geo. C. Walker & Daniel Thompson
person,Daniel Thompson,Daniel Thompson,Daniel Thompson,AMBIGUOUS
group,Danish Vice Consulate Chicago,Danish Council,Danish Council,Danish Council
organization,Danish Vice Consulate Chicago,Danish Vice Consulate Chicago,Danish Vice Consulate Chicago,Danish Vice Consulate Chicago
person,Dan Lee,Dan Lee,Dan Lee,Dan Lee
person,Dan Reisinger,Dan Reisinger,Dan Reisinger,Dan Reisinger
person,Dan Ward,Dan Ward,Dan Ward,Dan Ward
organization,Dartmouth College,Dartmouth College,Dartmouth College,"Dartmouth College, Baker Library"
person,Daryl Hine,Daryl Hine,Daryl Hine,Daryl Hine
person,D. A. Sutton,D. A. Sutton,D A Sutton,D A Sutton
person,unknown,Dauter,Dauter,Dauter
person,Dave Chapple,Dave Chapple,Dave Chapple,Dave Chapple
person,David Matusik,Dave Matusik,Dave Matusik,Dave Matusik
organization,Davenport Academy of Sciences,Davenport Academy of Sciences,Davenport Acad. Science,Davenport Acad. Science
organization,Davenport Academy of Sciences,Davenport Academy of Sciences,Davenport Academy of Sciences,Davenport Academy of Sciences
person,David A. Maass,David A. Maass,David A. Maass,David A. Maass
person,David Bartholomew,David Bartholomew,David Bartholomew,David Bartholomew
person,David Bild,David Bild,David Bild,David Bild
person,David Block,David Block,David Block,David Block
person,David Brower,David Brower,David Brower,David Brower
person,David Brower,David Brower,David Brower,David Brower & Cas. D. Brower
person,David Brower,David Brower,David Brower,David Brower & Chas. D. Brower
person,David Brower,David Brower,David Brower,David Brower for C.D. Brower
person,David Brower,David Brower,David Brower,David Brower for Chas. D. Brower
person,David Brower,David Brower,David Brower,AMBIGUOUS
person,David E. Kidd,David E. Kidd,David E. Kidd,David E. Kidd
person,David G. Turner,David G. Turner,David G. Turner,David G. Turner
person,David H. Huntzinger,David H. Huntzinger,David H. Huntzinger,David H. Huntzinger - Olympic National Park
person,David H. Huntzinger,David H. Huntzinger,David H. Huntzinger,David H. Huntzinger
person,David J. Spengler,David J. Spengler,David J. Spengler,David J. Spengler
person,David Johnson,David Johnson,David Johnson,David Johnson
person,David K. Webb,David K. Webb,David K. Webb,David K. Webb - Ohio Geological Survey
person,PLACEHOLDER,David K. Webb Jr.,David K. Webb Jr,"David K. Webb, Jr."
person,PLACEHOLDER,David K. Webb Jr.,David K. Webb Jr,"David K. Webb, Jr. - State of Ohio"
person,PLACEHOLDER,David K. Webb Jr.,David K. Webb Jr,AMBIGUOUS
person,David Kenley,David Kenley,David Kenley,David Kenley
person,David L. Buckley,David L. Buckley,David L. Buckley,David L. Buckley - International Salt Company
person,David L. Buckley,David L. Buckley,David L. Buckley,David L. Buckley
person,David L. Meyer,David L. Meyer,David L. Meyer,David L. Meyer
person,David L. Meyer,David L. Meyer,David L. Meyer,"David L. Meyer, University of Cincinnati"
person,David L. Meyer,David L. Meyer,David L. Meyer,AMBIGUOUS
person,David Lang,David Lang,David Lang,David Lang
person,David M. Click,David M. Click,David M. Click,David M. Click
person,David M. Click,David M. Click,David M. Click,"David M. Click, State Forester, Department of Natural Resources, Indiana"
person,David M. Click,David M. Click,David M. Click,AMBIGUOUS
person,David M. Crawford,David M. Crawford,David M. Crawford,David M. Crawford
person,David Matusik,David Matusik,David Matusik,David Matusik
organization,Davidson Brothers Marble Company ,Davidson Brothers Marble Company ,Davidson Bros. Marble Co.,Davidson Bros. Marble Co.
person,unknown,Davis,Davis,Davis
person,unknown,Davis,Davis,"Marcy, Rice & Davis"
person,unknown,Davis,Davis,"Marcy, Rice, & Davis"
person,unknown,Davis,Davis,AMBIGUOUS
organization,"Dawber & Company, Incorporated","Dawber & Company, Incorporated","Dawber & Company, Inc.","Dawber & Company, Inc."
person,Dawn R. Roberts,Dawn Roberts,Dawn Roberts,Dawn Roberts
person,Dawn R. Roberts,Dawn Roberts,Dawn Roberts,"Dawn Roberts, Collections Manager"
person,Dawn R. Roberts,Dawn Roberts,Dawn Roberts,AMBIGUOUS
person,D. B. Carver,D. B. Carver,D B Carver,D B Carver
person,D. Chickering,D. Chickering,D Chickering,D Chickering
person,D. C. Louie,D. C. Louie,DC Louie,DC Louie
person,PLACEHOLDER,D. C. Lowrie,D C Lowrie,D C Lowrie
person,PLACEHOLDER,D. C. Lowrie,D C Lowrie,D C Lowrie & E V Komarek
person,PLACEHOLDER,D. C. Lowrie,D C Lowrie,D C Lowrie & T I Wright
person,PLACEHOLDER,D. C. Lowrie,D C Lowrie,D C Lowrie & W L Necker
person,PLACEHOLDER,D. C. Lowrie,D C Lowrie,AMBIGUOUS
person,Donald Daleske,D. Daleske,D Daleske,D Daleske
person,PLACEHOLDER,D. D. Davis,D D Davis,D D Davis
person,PLACEHOLDER,D. D. Davis,D D Davis,W L Necker & D D Davis
person,PLACEHOLDER,D. D. Davis,D D Davis,AMBIGUOUS
person,D. Easton,D. Easton,D Easton,D Easton
person,Deb Lahey,Deb Lahey,Deb Lahey,"Deb Lahey, President and Marc Miller, VP of External Affairs"
person,Deb Lahey,Deborah Lahey,Deborah Lahey,Deborah Lahey
person,Deda Noelle,Deda Noelle,Deda Noelle,Deda Noelle
person,Deda Versema,Deda Versema,Deda Versema,Deda Versema
person,unknown,Deering,Deering,Deering
person,David E. Kidd,D. E. Kidd,D E Kidd,D E Kidd
person,Delia Gilmore,Delia Gilmore,Delia Gilmore,Delia Gilmore
person,unknown,Delos,Delos,Delos and Ralph Arnold
person,unknown,Del Sturgis,Del Sturgis,Del Sturgis
person,Denise Lahr,Denise Lahr,Denise Lahr,Denise Lahr
person,Denis Newton,Denis Newton,Denis Newton,"S.S. Gregory, Jr., Denis Newton"
person,Dennis Baker,Dennis Baker,Dennis Baker,Dennis Baker
organization,Denver Museum of Natural History,Denver Museum of Natural History,Denver Museum of Natural History,"Geology Department, Denver Museum of Natural History"
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Geology and Natural Resources,"Dep. Geol & Nat. Resources, Ind","Dep. Geol & Nat. Resources, Ind"
organization,U. S. Department of Agriculture,Department of Agriculture,Department of Agriculture,Department of Agriculture
organization,"University of Florida, Department of Biology","University of Florida, Department of Biology",Department of Biology,"Department of Biology, University of Florida"
organization,"Department of Biology, Elmhurst College","Department of Biology, Elmhurst College","Department of Biology, Elmhurst College","Department of Biology, Elmhurst College"
organization,Department of Conservation,Department of Conservation,Department of Conservation,AMBIGUOUS
organization,Department of Conservation,"State of Alabama, Department of Conservation",Department of Conservation,"Department of Conservation, State of Alabama"
organization,Department of Conservation,"State of Alabama, Department of Conservation",Department of Conservation,"State of Alabama, Department of Conservation"
organization,Alabama Department of Conservation,Alabama Department of Conservation,Department of Conservation Alabama,"William F. Anderson, Department of Conservation Alabama"
organization,Department of Conservation,Department of Conservation,Department of Conservation in Herb Levin's name,Department of Conservation in Herb Levin&#39;s name
organization,"University of Arizona, Department of Geology","University of Arizon, Department of Geology",Department of Geology,"Department of Geology, University of Arizona"
organization,"University of Arizona, Department of Geology","University of Cincinnati, Department of Geology",Department of Geology,"Department of Geology, University of Cincinnati"
,"University of Arizona, Department of Geology",Department of Geology,Department of Geology,AMBIGUOUS
person,PLACEHOLDER,Dr. G. Link,Dr G Link,AMBIGUOUS
person,PLACEHOLDER,E. G. W. ,E.G.W.,AMBIGUOUS
person,PLACEHOLDER,E. V.,E V,AMBIGUOUS
person,Earl G. Wright,E.G.W. E.G. Wright,E.G.W. E.G. Wright,AMBIGUOUS
organization,United States Department of the Interior,Department of the Interior,Department of Interior,Department of Interior
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Natural Resources,"Department of Natural Resources, Indiana","David M. Click, State Forester, Department of Natural Resources, Indiana"
organization,Alaska Department of Fish and Game ,Department of the Interior,Department of the Interior,Department of the Interior
organization,Alaska Department of Fish and Game ,Department of the Interior,Department of the Interior,AMBIGUOUS
organization,Alaska Department of Fish and Game ,"Department of the Interior, Alaska Game Commission",Department of the Interior,"Department of the Interior, Alaska Game Commission; Academy collecting"
organization,United States National Park Service,"Department of the Interior, National Park Service","Department of the Interior, National Park Service","Department of the Interior, National Park Service"
organization,"University of Maryland, Department of Zoology","University of Maryland, Department of Zoology",Department of Zoology,"Department of Zoology, University of Maryland"
organization,DePaul University,DePaul University,DePaul University,F.H. Hosford from DePaul Univ Coll 1967
organization,DePaul University,DePaul University,De Paul University,De Paul University
organization,DePaul University,DePaul University,DePaul University Collection 1867,DePaul University Collection 1867
organization,DePaul University,DePaul University,DePaul University Collection 1879,DePaul University Collection 1879
organization,DePaul University,DePaul University,DePaul University Collection 1967,DePaul University Collection 1967
organization,DePaul University,DePaul University,DePaul University Collection 1968,DePaul University Collection 1968
organization,DePaul University,DePaul University,DePaul University Collection 1994,DePaul University Collection 1994
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Geology and Natural Resources,"Dept. Geol. & Nat. Resources, Ind","Dept. Geol. & Nat. Resources, Ind"
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Geology and Natural Resources,"Dept. Geol. & Nat. Resources, Ind.","Dept. Geol. & Nat. Resources, Ind."
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Geology and Natural Resources,"Dept. Geol & Nat. Resources, IND","Dept. Geol & Nat. Resources, IND"
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Geology and Natural Resources,Dept. of Geol. & Nat. Department of Geological and Natural Resources of Indiana,Dept. of Geol. & Nat. Department of Geological and Natural Resources of Indiana
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Geology and Natural Resources,Dept. of Geol. & Nat. Geological & NaturalResources of Ind. Indiana,Dept. of Geol. & Nat. Geological & NaturalResources of Ind. Indiana
organization,Indiana Department of Geology and Natural Resources,Indiana Department of Geology and Natural Resources,Dept. of Geol. Department of Geological & Natural Resources of Indiana,Dept. of Geol. Department of Geological & Natural Resources of Indiana
organization,Department of Natural Sciences,Department of Natural Sciences,Dept. of Natural Sciences,"The Kny-Scheerer Co., Dept. of Natural Sciences"
person,D. Edward Ritchey,D. E. Ritchey,D E Ritchey,D E Ritchey
person,unknown,Derring,Derring,Derring
person,Derwood Breeding,Derwood Breeding,Derwood Breeding,Derwood Breeding
person,unknown,Drury,det. Drury,det. Drury
person,H. Ruckes,H. Ruckes,det. H. Ruckes,det. H. Ruckes
person,M. Semel,M. Semel,det. M. Semel,det. M. Semel
person,unknown,Nunenmacher,det. Nunenmacher,det. Nunenmacher
person,unknown,Ries,Det. Ries,Det. Ries
person,unknown,Semel,det. Semel,det. Semel
person,Tom G. Anton,Tom Anton,Det. Tom Anton,"Det. Tom Anton, 2008"
person,John L. Sperry,John Sperry,det by John Sperry,det by John Sperry
person,unknown,JGF,det JGF Gn,det JGF Gn
person,R. H. Foote,RH Foote,det RHFoote 1958,det RHFoote 1958
person,unknown,DeVry,DeVry,DeVry
person,unknown,Dhluhy,Dhluhy,Dhluhy
person,Diana Walko,Diana Walko,Diana Valko 12,Diana Valko 12
person,unknown,Dianna Lord,Dianna Lord,"Dianna Lord, 2009"
person,unknown,Dickenson,Dickenson,Dickenson & Bailey
person,Dickie Hall,Dickie Hall,Dickie Hall,Dickie Hall
person,unknown,Dickinson,Dickinson,Dowling & Dickinson
organization,Dickinson Cement Company,Dickinson Cement Company,Dickinson Cement Co.,Dickinson Cement Co.
person,Dick Lodge,Dick Lodge,Dick Lodge,Dick Lodge
person,Dick Russell,Dick Russell,Dick Russell,Dick Russell and Ed Lace
person,Dietmar Krumrey,Dietmar Krumrey,Dietmar Krumrey,Dietmar Krumrey
person,unknown,Dietz,Dietz,Dietz
organization,Dillon Plumbago Manufacturing Company,Dillon Plumbago Manufacturing Company,Dillon Plumbago Manufacturing Co.,Dillon Plumbago Manufacturing Co.
organization,Dillon Plumbago Manufacturing Company,Dillon Plumbago Manufacturing Company,Dillon Plumbago Manufacturing Company,Dillon Plumbago Manufacturing Company
organization,Dillon Plumbago Manufacturing Company,Dillon Plumbago Mining Company,Dillon Plumbago Mining Co.,Dillon Plumbago Mining Co.
person,unknown,Dinamation,Dinamation,Dinamation
person,Dingley P. Fuge,Dingley P. Fuge,Dingley P. Fuge,Dingley P. Fuge
organization,Dinosaur Nature Association,Dinosaur Nature Association,Dinosaur Nature Association,Dinosaur Nature Association
organization,Division of Geological Survey,Division of Geological Survey,Division of Geological Survey,Larry N. Stout - Division of Geological Survey
organization,Division of Geological Survey,Division of Geological Survey,Division of Geological Survey,Division of Geological Survey
person,Duval Jaros,D. Jaros,D Jaros,D Jaros
person,D. Johnson,D. Johnson,D Johnson,D Johnson
person,D. Knautz,D. Knautz,D Knautz,R A Edgren & D Knautz
person,D. Locke,D. Locke,D Locke,D Locke
person,PLACEHOLDER,D. M. Hatfield,D M Hatfield,D M Hatfield
person,PLACEHOLDER,D. M. Hatfield,D M Hatfield,D M Hatfield & E C Williams Jr
person,PLACEHOLDER,D. M. Hatfield,D M Hatfield,T I Wright & D M Hatfield
person,PLACEHOLDER,D. M. Hatfield,D M Hatfield,AMBIGUOUS
person,Dale M. Parriott,D. M. Parriott,D M Parriott,D M Parriott
person,D. M. Smith,D. M. Smith,D M Smith,P W & D M Smith
person,PLACEHOLDER,D. Mulaik,D Mulaik,D Mulaik
person,PLACEHOLDER,D. Mulaik,D Mulaik,S & D Mulaik
person,PLACEHOLDER,D. Mulaik,D Mulaik,AMBIGUOUS
person,unknown,Doane,Doane,Doane & Bradley
person,O. Everett,Doctor O. Everett,Doctor O. Everett,Doctor O. Everett
person,unknown,Dod,Dod,Dod
person,unknown,Dodge,Dodge,Dodge
organization,Doe Run Company,Doe Run Company,Doe Run Company,Doe Run Company
person,E. A. Atkins,E.A. Atkins,don. donated by E.A. Atkins,don. donated by E.A. Atkins
person,George H. Laflin,Geo. H. Laflin,don. donated by Geo. H. Laflin,don. donated by Geo. H. Laflin
person,Francis S. Dayton,F.S. Dayton,Don. F.S. Dayton,Don. F.S. Dayton
person,G. F. Clingman,G.F. Clingman,Don. G.F. Clingman,Don. G.F. Clingman
person,George H. Laflin,Geo. H. Laflin,Don. Geo. H. Laflin,Don. Geo. H. Laflin
person,J. Wright,J. Wright,Don. J. Wright,Don. J. Wright
person,Don A. Spencer,Don A. Spencer,Don A. Spencer,Don A. Spencer
person,Don A. Spencer,Don A. Spencer,Don A. Spencer,Don A. Spencer & E.V. Komarek
person,Don A. Spencer,Don A. Spencer,Don A. Spencer,AMBIGUOUS
person,Donald Adler,Donald Adler,Donald Adler,Donald Adler & Michael Moses
person,Donald C. Lowrie,Donald C. Lowrie,Donald C. Lowrie,Donald C. Lowrie
person,Donald Daleske,Donald Daleske,Donald Daleske,Donald Daleske
person,Donald Daleske,Donald Daleske,Donald Daleske,Donald Daleske & Ken Horde
person,Donald Daleske,Donald Daleske,Donald Daleske,AMBIGUOUS
person,Donald Gatz,Donald Gatz,Donald Gatz,"Donald Gatz, Chester Sak, James Vergos"
person,Donald Gum,Donald Gum,Donald Gum,Donald Gum
person,Donald J. Wright,Donald J. Wright,Donald J. Wright,Donald J. Wright
person,Donald Locke,Donald Locke,Donald Locke,Donald Locke
person,Donald C. Lowrie,Donald Lowrie,Donald Lowrie,Donald Lowrie
person,Donald R. Dickey,Donald R. Dickey,Donald R. Dickey,Donald R. Dickey
person,Donald T. Ries,Donald T. Ries,Donald T. Ries,Donald T. Ries
person,Donald Thompson,Donald Thompson,Donald Thompson,Donald Thompson
person,Donald Wilby,Donald Wilby,Donald Wilby,Donald Wilby
person,Donald J. Wright,Donald Wright,Donald Wright,Donald Wright
person,Donald R. Dickey,Donal R. Dickey,Donal R. Dickey,"S.S. Gregory, Jr., Donal R. Dickey"
person,Charles E. Nixon,Chas E. Nixon,donated by Chas E. Nixon,donated by Chas E. Nixon
person,E. A. Atkins,E.A. Atkins,Donated by E.A. Atkins,Donated by E.A. Atkins
person,Frank Morley Woodruff,F.M. Woodruff,donated by F.M. Woodruff,donated by F.M. Woodruff
person,Francis S. Dayton,F.S. Dayton,Donated by F.S. Dayton,Donated by F.S. Dayton
person,G. F. Clingman,G.F. Clingman,donated by G.F. Clingman,donated by G.F. Clingman
person,G. H. Clingman,G.H. Clingman,Donated by G.H. Clingman,Donated by G.H. Clingman
person,George H. Laflin,G.H. Laflin,Donated by G.H. Laflin,Donated by G.H. Laflin
person,George H. Laflin,George H. Laflin,donated by George H. Laflin,donated by George H. Laflin
person,J. W. Velie,J.W. Velie,donated by J.W. Velie,donated by J.W. Velie
person,Don Balke,Don Balke,Don Balke,Don Balke
person,C. Lowrie,C. Lowrie,Don C. Lowrie,Don C. Lowrie
person,Don Cornell,Don Cornell,Don Cornell,Don Cornell
person,Don Cornell,Don Cornell,Don Cornell,"Don Cornell, Joshua Tree National Monument"
person,Don Cornell,Don Cornell,Don Cornell,Don Cornell - Joshua Tree National Monument
person,Don Cornell,Don Cornell,Don Cornell,AMBIGUOUS
person,George H. Laflin,Geo H Laflin,Don Geo H Laflin,Don Geo H Laflin
person,George H. Laflin,George H. Laflin,Don Geo H Laflin donated by George H. Laflin,Don Geo H Laflin donated by George H. Laflin
person,Donald J. Wright,Don J. Wright,Don J. Wright,Don J. Wright
person,Don Loche,Don Loche,Don Loche,Don Loche
person,Donald Locke,Don Locke,Don Locke,Don Locke
person,unknown,Donlon,Donlon,L W Ramsey & Donlon
person,unknown,Donlon,Donlon,"L W Ramsey, Donlon & Kelley"
person,unknown,Donlon,Donlon,AMBIGUOUS
person,Donald C. Lowrie,Don Lowrie,Don Lowrie,Don Lowrie
organization,Don Meier Production,Don Meier Production,Don Meier Production,Don Meier Production
person,Don R. Eckelberry,Don R. Eckelberry,Don R. Eckelberry,Don R. Eckelberry
person,Don Splinter,Don Splinter,Don Splinter,Don Splinter
person,Don Stillwaugh,Don Stillwaugh,Don Stillwaugh,Don Stillwaugh
person,Don Stillwaugh,Don Stilwaugh,Don Stilwaugh,Don Stilwaugh
person,Don Wells,Don Wells,Don Wells,Don Wells
person,Don Whitlatch,Don Whitlatch,Don Whitlatch,Don Whitlatch
person,May Dora Wilken,Dora Wilken,Dora Wilken,Dora Wilken
person,May Dora Wilken,Dora Wilken,Dora Wilken 1949,Dora Wilken 1949
person,Dorothy Carter,Dorothy Carter,Dorothy Carter,Dorothy Carter
person,Dorothy Guduson,Dorothy Guduson,Dorothy Guduson,Dorothy Guduson
person,Dorothy Helmer,Dorothy Helmer,Dorothy Helmer,Dorothy Helmer
person,Dorothy May,Dorothy May,Dorothy May,Tappan Gregory&#39;s nieces Janet Gregory Kahler Mrs. J.G. Ann Gregory Merrill Mrs. Joseph A. Merrill Jr Dorothy May Gregory Kahler Mrs. H M Kahler II
person,Dorthea S. Franzen,Dorthea S. Franzen,Dorthea S. Franzen,Dorthea S. Franzen
person,D. O. Scott,D. O. Scott,D O Scott,D O Scott
person,Douglas Heart,Douglas Heart,Douglas Heart,"Russel McGinnis, James Sanford, Douglas Heart"
person,Doug J. Taron,Douglas J. Taron,Douglas J. Taron,Douglas J. Taron
person,Doug Taron,Douglas Taron,Douglas Taron,Douglas Taron
person,Doug Taron,Doug Taron,Doug Taron,Doug Taron
person,unknown,Dowling,Dowling,Dowling & Dickinson
person,unknown,Downing,Downing,Downing
person,unknown,Downs,Downs,"Conant, Edwards, Downs"
person,unknown,Downs,Downs,"Conant, Knox, Downs"
person,unknown,Downs,Downs,AMBIGUOUS
person,D. Pollett,D. Pollett,D Pollett,D Pollett
person,A. B. Lichtenberg,Dr. A. B. Lichtenberg,Dr. A.B. Lichtenberg,Dr. A.B. Lichtenberg
