MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16611-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16611-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16611,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16611-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16611-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16611-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16611,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16611-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16611-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16611-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16611,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16611-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16612-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16612-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16612,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16612-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16612-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16612-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16612,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16612-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16612-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16612-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16612,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16612-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16612-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16612-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16612,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16612-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16793-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16793-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16793,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16793-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16793-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16793-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16793,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16793-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16793-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16793-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16793,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16793-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16793-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16793-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16793,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16793-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16795-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16795-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16795,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16795-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16795-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16795-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16795,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16795-2.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16795-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16795-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16795,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16795-3.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_16795-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_16795-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:16795,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_16795-4.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
http://web.corral.tacc.utexas.edu/CAS/20161216-01/jpg/chas_bird_18548-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161216-01/tb/tn_chas_bird_18548-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Bird:18548,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161216-01/chas_bird_18548-1.dng,associated with project,chas-specimen-photography,subject,bird,description,View of study skin.
