guid,part_name,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,remark,determiner,DETERMINED_DATE
CHAS:Herp:17758,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17759,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17760,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17761,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17762,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17763,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17764,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17765,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17766,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17767,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17768,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17769,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17770,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17771,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17772,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17773,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17774,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17775,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17776,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17777,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:17778,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 5077, 6109-11, 6689-93, 6787-91, 17758-78",Dawn R. Roberts,2015-03-21
CHAS:Herp:7633,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7633-4, 16533",Dawn R. Roberts,2015-03-28
CHAS:Herp:7634,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7633-4, 16533",Dawn R. Roberts,2015-03-28
CHAS:Herp:16533,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7633-4, 16533",Dawn R. Roberts,2015-07-03
CHAS:Herp:7938,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7940,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7941,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7942,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7943,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7944,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7945,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7946,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7947,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7948,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7949,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7950,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7951,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:7952,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 7938, 7940-52",Dawn R. Roberts,2015-03-21
CHAS:Herp:907,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 907-8, 1982-3",Dawn R. Roberts,2015-03-21
CHAS:Herp:908,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 907-8, 1982-3",Dawn R. Roberts,2015-03-21
CHAS:Herp:1982,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 907-8, 1982-3",Dawn R. Roberts,2015-03-21
CHAS:Herp:1983,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,"Stored in jar with CHAS 907-8, 1982-3",Dawn R. Roberts,2015-03-21
CHAS:Herp:95,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,Stored in jar with CHAS 95-101,John Archer,2015-04-17
CHAS:Herp:96,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,Stored in jar with CHAS 95-101,John Archer,2015-04-17
CHAS:Herp:97,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,Stored in jar with CHAS 95-101,Dawn R. Roberts,2015-03-21
CHAS:Herp:98,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,Stored in jar with CHAS 95-101,Dawn R. Roberts,2015-03-21
CHAS:Herp:99,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,Stored in jar with CHAS 95-101,Dawn R. Roberts,2015-03-21
CHAS:Herp:100,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,Stored in jar with CHAS 95-101,Dawn R. Roberts,2015-03-21
CHAS:Herp:101,whole organism (70% ethanol),location,Reebie: Locker 302A: Unit 9: Shelf D,Stored in jar with CHAS 95-101,Dawn R. Roberts,2015-03-21
