guid_prefix,other_id_type,other_id_number,part_name,condition,disposition,lot_count,remarks,use_existing,PART_ATTRIBUTE_TYPE_1,PART_ATTRIBUTE_VALUE_1
CHAS:Ento,catalog number,2003.3.18,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.19,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.2,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.20,whole organism (pinned),Poor. Mounted on sewing pin. Missing head.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.21,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.22,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.23,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.24,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.25,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.26,whole organism (pinned),Poor. Sewing pin & missing head.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.27,whole organism (pinned),Good. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.28,whole organism (pinned),Good. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.29,whole organism (pinned),Poor. Sewing pin & no abdomen.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.3,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.30,whole organism (pinned),Poor. Mounted on sewing pin.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.31,whole organism (pinned),Poor. Missing right hindwing.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.32,whole organism (pinned),Good. Reattached left forewing.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.33,whole organism (pinned),Good. Reattached right hindwing.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.34,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.35,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.36,whole organism (pinned),Good. Missing right forewing and abdomen.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.37,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.38,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.39,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.4,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.40,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.41,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.42,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.43,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.44,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.45,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.46,whole organism (pinned),Poor. In pieces.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.47,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.48,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.49,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.5,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.50,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.51,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.52,whole organism (pinned),Good. Reattached left hindwing.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.53,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.54,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.55,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.56,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.57,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.58,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.59,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.6,whole organism (pinned),Poor. Missing abdomen.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.60,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.61,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.62,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.63,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.64,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.65,whole organism (pinned),Poor.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.66,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.67,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.68,whole organism (pinned),Good. Left wings damaged.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.69,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.7,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.70,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.71,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.72,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.73,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.74,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.75,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.76,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.77,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.78,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.79,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.8,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.80,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.81,whole organism (pinned),Good. Missing right forewing.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.82,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.83,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.84,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.85,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.86,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.87,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.88,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.89,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.9,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.90,egg,Good. Stuck on a card with adhesive.,in collection,16,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.91,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.92,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.93,egg,Good. Stuck on a card with adhesive.,in collection,12,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.94,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.95,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.96,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.97,whole organism (dry),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.98,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
CHAS:Ento,catalog number,2003.3.99,whole organism (pinned),Good.,in collection,1,,0,location,RVWD: 302: Ent Cab 32: Processing drawers
