guid_prefix,other_id_type,other_id_number,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1,agent_2
CHAS:Inv,catalog number,19293,Alasmidonta heterodon,2019-07-26,expert,1,Dwarf wedge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14828,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7161,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14818,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19331,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,25060,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,5692,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,18411,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,25179,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20119,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22356,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20149,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14813,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7160,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,5691,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1712,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13200,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7159,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12414,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
