loaded,guid,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1
bulkloaded,CHAS:Inv:8864,Lithopoma tuber,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Astralium tuber [per specimen tag]; Astralium tuber = Lithopoma tuber per Malacolog v4.1.1 [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:8981,Megastraea undosa,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Astralium undosum [per specimen tag]; Astralium undosum = Lithopoma undosum = Megastrae undosa per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:18485,Megastraea undosa,2019-01-19,taxonomic revision,1,Wave-like Star Shell. Original verbatim identification: Astralium undosum [per specimen tag]; Astralium undosum = Lithopoma undosum = Megastrae undosa per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:18486,Megastraea undosa,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Astralium undosum [per specimen tag]; Astralium undosum = Lithopoma undosum = Megastrae undosa per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:18487,Megastraea undosa,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Astralium undosum [per specimen tag]; Astralium undosum = Lithopoma undosum = Megastrae undosa per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:19453,Megastraea undosa,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Astralium undosum [per specimen tag]; Astralium undosum = Lithopoma undosum = Megastrae undosa per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:22234,Megastraea undosa,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Astralium undosum [per specimen tag]; Astralium undosum = Lithopoma undosum = Megastrae undosa per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:8804,Uvanilla unguis,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Astralium unguis [per specimen tag]; Astralium unguis = Astraea unguis = Uvanilla unguis per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:8807,Astralium calcar laciniatum,,legacy,1,Spurred Star Shell. Original verbatim identification: Astralium calcar Var LACINIATUM Gould [per specimen tag],unknown
bulkloaded,CHAS:Inv:6200,Batissa violacea,2019-01-19,taxonomic revision,1,Bivalve. Original verbatim identification: Batissa childrenae [per specimen tag]; Batissa childrenae = Cyrena childrenae = Batissa violacea per Mussel Project Database [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:7492,Bedevina birileffi,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Beveda birileffe [per specimen tag]; Bedeva birileffi = Bedevina birileffi per WoRMS [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:2017.13.218,Gastrocopta armifera,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Bifidaria armifera [per specimen tag]; Bifidaria armifera = Gastrocopta armifera per Carnegie Museum of Natural History's Land Snails and Slugs of Mid-Atlantic and Northeastern United States [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:2017.13.220,Gastrocopta armifera,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Bifidiaria armifera [per specimen tag]; Bifidaria armifera = Gastrocopta armifera per Carnegie Museum of Natural History's Land Snails and Slugs of Mid-Atlantic and Northeastern United States [achinn 15 November 2018],Anna Chinn
bulkloaded,CHAS:Inv:1910.3091.1,Gastrocopta contracta,2019-01-19,taxonomic revision,1,Gastropod. Original verbatim identification: Bifidaria contracta [per specimen tag]; Bifidaria contracta = Gastrocopta contracta per Carnegie Museum of Natural History's Land Snails and Slugs of Mid-Atlantic and Northeastern United States & Dall 1910 [achinn 15 November 2018],unknown
entered by hand,CHAS:Inv:8776,Lottia scutum,2019-01-19,taxonomic revision,1,Gastropod.,Anna Chinn
entered by hand,CHAS:Inv:8777,Lottia scutum,2019-01-19,taxonomic revision,1,Gastropod.,Anna Chinn
entered by hand,CHAS:Inv:8786,Lottia scutum,2019-01-19,taxonomic revision,1,Gastropod.,Anna Chinn
entered by hand,CHAS:Inv:9196,Lottia scutum,2019-01-19,taxonomic revision,1,Gastropod.,Anna Chinn
entered by hand,CHAS:Inv:1951.5300.153,Lottia scutum,2019-01-19,taxonomic revision,1,Gastropod.,Anna Chinn
