COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,VERBATIM_LOCALITY,ORIG_LAT_LONG_UNITS,DEC_LAT,DEC_LONG,DATUM,GEOREFERENCE_SOURCE,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,GEOREFERENCE_PROTOCOL,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,LOCALITY_REMARKS,HABITAT,COLL_EVENT_REMARKS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,COLLECTOR_AGENT_5,COLLECTOR_ROLE_5,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,COLLECTING_METHOD,COLLECTING_SOURCE,SPECIMEN_EVENT_TYPE,SPEC_LOCALITY
35,achinn,2019.9.33,,,[CHAS:Mamm]2019.9,Amblema plicata,unknown,Kevin Cummings,2015-11,"Threeridge mussel. Verbatim identification per original label: Amblema plicata (Say, 1817)",Summer 2012,2012-06-20,2012-09-22,"North America, United States, Illinois, Rock Island County","Mississippi River; Pool 14; Rock Island County, Illinois, USA",,,,,,,,,unknown,2012-09-22,unverified,,,,unknown,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,6,in collection,number of valves: 12,,wild caught,collection,"Mississippi River, Pool 14"
36,achinn,2019.9.37,,,[CHAS:Mamm]2019.9,Obliquaria reflexa,unknown,Kevin Cummings,2015-11,"Threehorn wartyback mussel. Verbatim identification per original label: Obliquaria reflexa (Rafinesque, 1820)",Summer 2012,2012-06-20,2012-09-22,"North America, United States, Illinois, Rock Island County","Mississippi River; Pool 14; Rock Island County, Illinois, USA",,,,,,,,,unknown,2012-09-22,unverified,,,,unknown,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,2,in collection,number of valves: 4,,wild caught,collection,"Mississippi River, Pool 14"
25,achinn,2019.9.8,INHS 84124,collector number,[CHAS:Mamm]2019.9,Truncilla truncata,unknown,unknown,,"Deertoe mussel. Verbatim identification per original label: Truncilla truncata (Rafinesque, 1820)",20 October 2006,2006-10-20,2006-10-20,"North America, United States, Nebraska, Cedar County","Missouri River; Missouri-Mississippi River Dr; 3 mi E Yankton; Cedar County, Nebraska, USA; 42.855121, -97.341134",decimal degrees,42.855121,-97.341134,World Geodetic System 1984,not recorded,,,unknown,Kevin Cummings,2006-10-20,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Kevin Cummings,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,3,in collection,number of valves: 4,,wild caught,collection,"Missouri-Mississippi River District, Missouri River, 3 mi E of Yankton"
16,achinn,2019.9.29,,,[CHAS:Mamm]2019.9,Lasmigona complanata,unknown,unknown,,"White heelsplitter mussel. Verbatim identification per original label: Lasmigona complanata (Barnes, 1823)",15 September 2004,2004-09-15,2004-09-15,"North America, United States, Illinois, Hamilton County","North Fork Saline River; 1.5 mi E Broughton, Co. Rd. 200N bridge; Hamilton County, Illinois USA; T7S, R7E, sec. 3, SW; 37.937, -88.4261",decimal degrees,37.937,-88.4261,World Geodetic System 1984,not recorded,,,unknown,J. E. Schwegman,2004-09-15,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],J. E. Schwegman,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"North Fork Saline River, 1.5 mi E of Broughton, County Road 200N bridge"
22,achinn,2019.9.20,INHS 42925,collector number,[CHAS:Mamm]2019.9,Lampsilis teres,unknown,unknown,,"Yellow sandshel mussel. Verbatim identification per original label: Lampsilis teres (Rafinesque, 1820)",10 July 2012,2012-07-10,2012-07-10,"North America, United States, Illinois, Pulaski County","Ohio River rm 973; Mound City, boat ramp; Pulaski County, Illinois USA; T16S, R1E, sec. 30, SW; 37.08688, -89.15311",decimal degrees,37.08688,-89.15311,World Geodetic System 1984,not recorded,,,unknown,Jeremy S. Tiemann,2012-07-10,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,Kevin Cummings,collector,Samantha M. Jaworski,collector,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,3,in collection,number of valves: 6,,wild caught,collection,"Ohio River river mile 973, Mound City, boat ramp"
23,achinn,2019.9.31,INHS 42927,collector number,[CHAS:Mamm]2019.9,Leptodea fragilis,unknown,unknown,,"Fragile papershell mussel. Verbatim identification per original label: Leptodea fragilis (Rafinesque, 1820)",10 July 2012,2012-07-10,2012-07-10,"North America, United States, Illinois, Pulaski County","Ohio River rm 973; Mound City, boat ramp; Pulaski County, Illinois USA; T16S, R1E, sec. 30, SW; 37.08688, -89.151611",decimal degrees,37.08688,-89.151611,World Geodetic System 1984,not recorded,,,unknown,Jeremy S. Tiemann,2012-07-10,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,Kevin Cummings,collector,Samantha M. Jaworski,collector,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,3,in collection,number of valves: 6,,wild caught,collection,"Ohio River river mile 973, Mound City, boat ramp"
21,achinn,2019.9.1,INHS 42931,collector number,[CHAS:Mamm]2019.9,Potamilus alatus,unknown,unknown,,"Pink heelsplitter mussel. Verbatim identification per original label: Potamilus alatus (Say, 1817)",10 July 2012,2012-07-10,2012-07-10,"North America, United States, Illinois, Pulaski County","Ohio River rm 973; Mound City, boat ramp; Pulaski County, Illinois USA; T16S, R1E, sec. 30, SW; 37.08688, -89.15611",decimal degrees,37.08688,-89.15611,World Geodetic System 1984,not recorded,,,unknown,Jeremy S. Tiemann,2012-07-10,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,Kevin Cummings,collector,Samantha M. Jaworski,collector,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,4,in collection,number of valves: 7,,wild caught,collection,"Ohio River river mile 973, Mound City, boat ramp"
1,achinn,2019.9.34,,,[CHAS:Mamm]2019.9,Lasmigona compressa,unknown,unknown,,"Creek heelsplitter mussel. Verbatim identification per original label: Lasmigona compressa (I. Lea, 1829)",1 July 2010,2010-07-01,2010-07-01,"North America, United States, Illinois, Kane County","Otter Creek' 3 mi SW South Elgin, Otter Creek Wetland Forest; Kane County, Illinois USA; T40N, R8E, sec. 8, NW; 41.9645, -88.3544",decimal degrees,41.9645,-88.3544,World Geodetic System 1984,not recorded,,,unknown,A. L. Price,2010-07-01,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison L. Price,collector,A. J. Berger,collector,Jen S. Schwab,collector,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Otter Creek, 3 mi SW South of Elgin, Otter Creek Wetland Forest"
30,achinn,2019.9.3,INHS 22062,collector number,[CHAS:Mamm]2019.9,Actinonaias ligamentina,unknown,R. W. Schanzle,,"Mucket mussel. Verbatim identification per original label: Actinonaias ligamentina (Lamarck, 1819)",23 June 1998,1998-06-23,1998-06-23,"North America, United States, Illinois, Boone County","Piscasa Creek; 4 mi S Poplar Grove; Boone County, Illinois USA; T44N, R4E, sec. 6, SE; 42.31907, -88.80431",decimal degrees,42.31907,-88.80431,World Geodetic System 1984,not recorded,,,unknown,R. W. Schanzle,1998-06-23,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Robert W. Schanzle,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Piscasa Creek, 4 mi S of Poplar Grove"
6,achinn,2019.9.11,,,[CHAS:Mamm]2019.9,Quadrula pustulosa,unknown,Kevin Cummings,2015-11,"Pimpleback mussel. Verbatim identification per original label: Quadrula (Amphinaias) pustulosa (Lea, 1831)",6 September 2017,2017-09-06,2017-09-06,"North America, United States, Illinois, Winnebago County","Kishwaukee River (Rock River Dr.); 5.8 mi WSW Belvidere, Hwy. 20; Winnebago County, USA; 42.239, -88.9532",decimal degrees,42.239,-88.9532,World Geodetic System 1984,not recorded,,,unknown,A. P. Stodola,2017-09-06,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison Price Stodola,collector,Rachel Vinsel,collector,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,3,in collection,number of valves: 6,,wild caught,collection,"Rock River District, Kishwaukee River, 5.8 mi WSW of Belvidere, Hwy 20"
33,achinn,2019.9.30,INHS 43063,collector number,[CHAS:Mamm]2019.9,Arcidens confragosus,unknown,unknown,,"Rock pocketbook mussel. Verbatim identification per original label: Arcidens confragosus (Say, 1829)",23 August 2012,2012-08-23,2012-08-23,"North America, United States, Illinois, Piatt County","Sangamon River; Allerton Park; Piatt County, Illinois USA; T18N, R5E, sec. 21; 40.00231, -88.64667",decimal degrees,40.00231,-88.64667,World Geodetic System 1984,not recorded,,,unknown,S.A. Bales,2012-08-23,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Sarah A. Bales,collector,Brittanie L. Dabney,collector,Corrina A. Wendel,collector,Samantha M. Jaworski,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Sangamon River, Allerton Park"
2,achinn,2019.9.23,,,[CHAS:Mamm]2019.9,Fusconaia flava,unknown,unknown,,"Wabash pigtoe mussel. Verbatim identification per original label: Fusconaia flava (Rafinesque, 1820)",1 September 2011,2011-09-01,2011-09-01,"North America, United States, Illinois, McLean County","Timber Creek; 3.6 mi NE McLean, Co. Rd. 535N, Funks Grove; McLean County, Illinois USA; T22N, R1E, sec. 18, SE; 40.36061, -89.13652",decimal degrees,40.36061,-89.13652,World Geodetic System 1984,not recorded,,,unknown,A. L. Price,2011-09-01,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison L. Price,collector,Diane K. Shasteen,collector,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Timber Creek, 3.6 mi NE of McLean, County Road 535N, Funks Grove"
26,achinn,2019.9.26,INHS 23404,collector number,[CHAS:Mamm]2019.9,Venustaconcha ellipsiformis,unknown,unknown,,"Ellipse mussel. Verbatim identification per original label: Venustaconcha ellipsiformis (Conrad, 1836)",14 July 1999,1999-07-14,1999-07-14,"North America, United States, Illinois, Kane County","Tyler Creek; 2 mi NW Elgin, Big Timber Rd.; Kane County, Illinois USA; T42N, R7E, sec. 36, SE; 42.0726, -88.35744",decimal degrees,42.0726,-88.35744,World Geodetic System 1984,not recorded,,,unknown,Kevin Cummings,1999-07-14,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Kevin Cummings,collector,Christine A. Mayer,collector,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,2,in collection,number of valves: 4,,wild caught,collection,"Tyler Creek, 2 mi NW of Elgin, Big Timber Road"
32,achinn,2019.9.9,,,[CHAS:Mamm]2019.9,Tritogonia verrucosa,unknown,unknown,,"Pistol grip mussel. Verbatim identification per original label: Tritogonia verrucosa (Rafinesque, 1820)",18 August 2011,2011-08-18,2011-08-18,"North America, United States, Illinois, Wabash County","Wabash River; 2 mi SE Allendale, Little Rock Farm; T1N, R11W, sec. 19; 38.50761, -87.67433",decimal degrees,38.50761,-87.67433,World Geodetic System 1984,not recorded,,,unknown,S.A. Bales,2011-08-18,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Sarah A. Bales,collector,Amy E. Stultz,collector,Drew D. Negangard,collector,B. Lindsay,collector,B. Edgin,collector,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Wabash River, 2 mi SE of Allendale, Little Rock Farm"
