COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,VERBATIM_LOCALITY,ORIG_LAT_LONG_UNITS,DEC_LAT,DEC_LONG,DATUM,GEOREFERENCE_SOURCE,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,GEOREFERENCE_PROTOCOL,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,LOCALITY_REMARKS,HABITAT,COLL_EVENT_REMARKS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,COLLECTOR_AGENT_5,COLLECTOR_ROLE_5,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,COLLECTING_METHOD,COLLECTING_SOURCE,SPECIMEN_EVENT_TYPE,SPEC_LOCALITY
28,achinn,2019.9.15,INHS 22411,collector number,[CHAS:Mamm]2019.9,Alasmidonta viridis,unknown,unknown,,"Slippershell mussel mussel. Verbatim identification per original label: Alasmidonta viridis (Rafinesque, 1820)",16 September 1998,1998-09-16,1998-09-16,"North America, United States, Indiana, Warren County","Jordan Creek; 1 mi S Tab; Warren County, Indiana USA; T23N, R9W, sec. 32; 40.39649, -87.46957",decimal degrees,40.39649,-87.46957,World Geodetic System 1984,not recorded,,,unknown,R. E. Szafoni,1998-09-16,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Robert E. Szafoni,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,4,in collection,number of valves: 6,,wild caught,collection,"Jordan Creek, 1 mi S of Tab"
14,achinn,2019.9.28,INHS 42503,collector number,[CHAS:Mamm]2019.9,Quadrula metanevra,unknown,unknown,,"Monkeyface mussel mussel. Verbatim identification per original label: Quadrula Theliderma metanevra (Rafinesque, 1820)",10-11 October 2004,2004-10-10,2004-10-11,"North America, United States, Illinois, Will County","Kankakee River; 2.7 mi NW Wilmington, BP pipeline crossing; Will County, Illinois USA; T33N, R9E, sec. 22, NW; 41.333, -88.18659",decimal degrees,41.333,-88.18659,World Geodetic System 1984,not recorded,,,unknown,D. R. Helms,2004-10-11,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Don R. Helms,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,2,in collection,number of valves: 4,,wild caught,collection,"Kankakee River, 2.7 mi NW of Wilmington, BP pipeline crossing"
37,achinn,2019.9.4,,,[CHAS:Mamm]2019.9,Uniomerus tetralasmus,unknown,R. M. Vinsel,,"Pondhorn mussel. Verbatim identification per original label: Uniomerus tetralasmus (Say, 1831); Verbatim identified by remarks: R.M Vinsel, K. Phelps, S. Andree & A.N. Sigja 4/201.",12 September 2016,2016-09-12,2016-09-12,"North America, United States, Illinois, Moultrie County","Asa Creek (Kaskaskia River Dr.); 1.5 mi N Sullivan, Co. Rd. 1100E bridge; Moultrie County, Illinois, USA; T14N, R5E, sec. 35/36; 39.6202, -88.60474",decimal degrees,39.6202,-88.60474,World Geodetic System 1984,not recorded,,,unknown,unknown,2016-09-12,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],unknown,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,1,in collection,number of valves: 2,,wild caught,collection,"Kaskaskia River District, Asa Creek, 1.5 mi N of Sullivan, County Road 1100E bridge"
13,achinn,2019.9.6,,,[CHAS:Mamm]2019.9,Potamilus ohiensis,unknown,unknown,,"Pink papershell mussel. Verbatim identification per original label: Potamilus ohiensis (Rafinesque,1820)",27 August 2012,2012-08-27,2012-08-27,"North America, United States, Illinois, Washington County","Kaskaskia River; W of Vendy Station, Rt. 177 Bridge; Washington County, Illinois USA; T1S, R5W, sec. 14, NW; 38.4507, -89.6277",decimal degrees,38.4507,-89.6277,World Geodetic System 1984,not recorded,,,unknown,D. K. Shasteen,2012-08-27,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Diane K. Shasteen,collector,Alison L. Price,collector,Melissa M. Ruether,collector,M. W. Walker,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,2,in collection,number of valves: 4,,wild caught,collection,"Kaskaskia River, W of Vendy Station, Route 177 Bridge"
20,achinn,2019.9.32,INHS 42896,collector number,[CHAS:Mamm]2019.9,Actinonaias ligamentina,unknown,unknown,,"Mucket mussel. Verbatim identification per original label: Actinonaias ligamentina (Lamarck, 1819)",17 July 2012,2012-07-17,2012-07-17,"North America, United States, Illinois, Winnebago County","Kishwaukee River; E edge Rockford, I-90 bridge; Winnebago County, Illinois USA; T44N, R2E, sec. 36, NE; 42.247, -88.9443",decimal degrees,42.247,-88.9443,World Geodetic System 1984,not recorded,,,unknown,Jeremy S. Tiemann,2012-07-17,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,C. A. Phillips,collector,Samantha M. Jaworski,collector,S. Baker,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,2,in collection,number of valves: 4,,wild caught,collection,"Kishwaukee River, E edge of Rockford, I-90 bridge"
19,achinn,2019.9.22,INHS 42897,collector number,[CHAS:Mamm]2019.9,Alasmidonta marginata,unknown,unknown,,"Elktoe  mussel. Verbatim identification per original label: Alasmidonta marginata, Say, 1818",17 July 2012,2012-07-17,2012-07-17,"North America, United States, Illinois, Winnebago County","Kishwaukee River, E Edge Rockford, I-90 bridge; T44N, R2E, sec. 36, NE; 42.247, -88.9443",decimal degrees,42.247,-88.9443,World Geodetic System 1984,not recorded,,,unknown,Jeremy S. Tiemann,2012-07-17,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,C. A. Phillips,collector,Samantha M. Jaworski,collector,S. Baker,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,4,in collection,number of valves: 6,,wild caught,collection,"Kishwaukee River, E edge of Rockford, I-90 bridge"
18,achinn,2019.9.2,INHS 42904,collector number,[CHAS:Mamm]2019.9,Strophitus undulatus,unknown,unknown,,"Creeper mussel. Verbatim identification per original label: Strophitus undulatus (Say, 1817)",17 July 2012,2012-07-17,2012-07-17,"North America, United States, Illinois, Winnebago County","Kishwaukee River; E edge Rockford, I-90 bridge; Winnebago County, Illinois USA; T44N, R2E, sec. 36, NE; 42.247, -88.9443",decimal degrees,42.247,-88.9443,World Geodetic System 1984,not recorded,,,unknown,Jeremy S. Tiemann,2012-07-17,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,C. A. Phillips,collector,Samantha M. Jaworski,collector,S. Baker,collector,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,4,in collection,number of valves: 8,,wild caught,collection,"Kishwaukee River, E edge of Rockford, I-90 bridge"
5,achinn,2019.9.19,,,[CHAS:Mamm]2019.9,Fusconaia flava,unknown,unknown,,"Wabash pigtoe mussel. Verbatim identification per original label: Fusconaia flava (Rafinesque, 1820)",23 August 2010,2010-08-23,2010-08-23,"North America, United States, Illinois, La Salle County","Little Indian Creek; 4 mi NW Sheridan, Co. Rd. 4275N bridge; La Salle County, Illinois USA; T36N, R4E, sec. 34, NE; 41.5536, -88.7505",decimal degrees,41.5536,-88.7505,World Geodetic System 1984,not recorded,,,unknown,A. L. Price,2010-08-23,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison L. Price,collector,Sarah A. Bales,collector,Diane K. Shasteen,collector,A. J. Berger,collector,Jen S. Schwab,collector,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,2,in collection,number of valves: 4,,wild caught,collection,"Little Indian Creek, 4 mi NW of Sheridan, County Road 4275N bridge"
24,achinn,2019.9.24,INHS 87111,collector number,[CHAS:Mamm]2019.9,Anodontoides ferussacianus,unknown,Kevin Cummings,,"Cylindrical papershell mussel. Verbatim identification per original label: Anodontoides ferussacianus (Lea, 1834)",8 June 2017,2017-06-08,2017-06-08,"North America, United States, Illinois, Ford County","Wal Town Drainage Ditch (Middle Fork Vermilion River Dr.); 6 mi W Loda, Co. Rd. 800N (Loda Lake Rd.); Ford County, Illinois, USA; T24N, R9E, sec. 28, NE; 40.5163, -88.1849",decimal degrees,40.5163,-88.1849,World Geodetic System 1984,not recorded,,,unknown,Kevin Cummings,2017-06-08,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Kevin Cummings,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,3,in collection,number of valves: 6,,wild caught,collection,"Middle Fork Vermilion River District, Wal Town Drainage Ditch, 6 mi W of Loda, County Road 800N (Loda Lake Road)"
15,achinn,2019.9.14,,,[CHAS:Mamm]2019.9,Utterbackia imbecillis,unknown,R. M. Vinsel,2018-01,"Paper pondshell mussel. Verbatim identification per original label: Utterbackia imbecillis (Say, 1829)",21 June 2014,2014-06-21,2014-06-21,"North America, United States, Illinois, Madison County","(Joulters Creek-Paddock Creek-Cahokia Creek-Mississippi River Dr; Holiday Shores, 343 Wanda Drive; Madison County, Illinois USA; T5N, R8W, sec.1, NE",,,,,,,,,J. E. Petzing,2014-06-21,unverified,,,,John E. Petzing,collector,,,,,,,,,CHAS:Inv,INTERNAL NOTES: Labels digitized by Chicago Academy of Sciences Education Department staff 5 October 2019.,shell,Good.,4,in collection,number of valves: 4,,wild caught,collection,"Mississippi River District: Joulters Creek, Paddock Creek, Cahokia Creek, Holiday Shores, 343 Wanda Drive"
