COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,ORIG_LAT_LONG_UNITS,DEC_LAT,DEC_LONG,DATUM,GEOREFERENCE_SOURCE,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,GEOREFERENCE_PROTOCOL,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,LOCALITY_REMARKS,HABITAT,COLL_EVENT_REMARKS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,COLLECTOR_AGENT_4,COLLECTOR_ROLE_4,COLLECTOR_AGENT_5,COLLECTOR_ROLE_5,GUID_PREFIX,FLAGS,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UNITS_1,ATTRIBUTE_REMARKS_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DET_METH_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UNITS_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DET_METH_2,ATTRIBUTE_DETERMINER_2,COLLECTING_METHOD,COLLECTING_SOURCE,SPECIMEN_EVENT_TYPE
31,achinn,2019.9.36,INHS 26271,collector number,[CHAS:Mamm]2019.9,Lampsilis cardium,unknown,R. W. Schanzle,,Plain pocketbook mussel. Verbatim identification per original label: Lampsilis cardium (Rafinesque, 1820),18 September 2001,2001-09-18,2001-09-18,North American, United States, Illinois, Kane County,,Fox River; Batavia, Glenwood Park Forest Preserve; Kane County, Illinois USA; T39N, R8E, sec. 27, NE; 41.83443, -88.31078,decimal degrees,41.83443,-88.31078,World Geodetic System 1984,unknown,,,unknown,R. W. Schanzle,2001-09-18,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Robert W. Schanzle,collector,R. Rung,collector,Steve Pescitelli,collector,H. Brown,collector,R. Miller,collector,CHAS:Inv,,,shell,Good.,1,in collection,number of valves: 2,R.W. Schnazle, R. Rung, S. Pescitelli, H. Brown, R. Miller, R.,verbatim collector,,,2001-09-18,,unknown,,,,,,,,,wild caught,collection
4,achinn,2019.9.35,,,[CHAS:Mamm]2019.9,Lampsilis siliquoidea,unknown,unknown,,Fatmucket clam mussel. Verbatim identification per original label: Lampsilis Siliquoidea (Barnes, 1823),22 August 2012,2012-08-22,2012-08-22,North American, United States, Illinois, Iroquois County,,Beaver Creek; 3.5 mi W Papineau, Co. Rd. 1800E; Iroquois County, Illinois USA; T29N, R13W, sec. 26, NE; 40.9699, -87.7901,decimal degrees,40.9699,-87.7901,World Geodetic System 1984,unknown,,,unknown,A. L. Price,2012-08-22,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison L. Price,collector,M. W. Walker,collector,Brittanie L. Dabney,collector,,,,,CHAS:Inv,,,shell,Good.,1,in collection,number of valves: 2,A.L. Price, M.W. Walker & B.L. Dabney,verbatim collector,,,2012-08-22,,unknown,,,,,,,,,wild caught,collection
22,achinn,2019.9.20,INHS 42925,collector number,[CHAS:Mamm]2019.9,Lampsilis teres,unknown,unknown,,Yellow sandshel mussel. Verbatim identification per original label: Lampsilis teres (Rafinesque, 1820),10 July 2012,2012-07-10,2012-07-10,North American, United States, Illinois, Pulaski County,,Ohio River rm 973; Mound City, boat ramp; Pulaski County, Illinois USA; T16S, R1E, sec. 30, SW; 37.08688, -89.15311,decimal degrees,37.08688,-89.15311,World Geodetic System 1984,unknown,,,unknown,Jeremy S. Tiemann,2012-07-10,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,Kevin Cummings,collector,Samantha M. Jaworski,collector,,,,,CHAS:Inv,Split to teach,,shell,Good.,3,in collection,number of valves: 6,J.S. Tiemann, K.S. Cummings & S.M. Jaworski,verbatim collector,,,2012-07-10,,unknown,,,,,,,,,wild caught,collection
16,achinn,2019.9.29,,,[CHAS:Mamm]2019.9,Lasmigona complanata,unknown,unknown,,White heelsplitter mussel. Verbatim identification per original label: Lasmigona complanata (Barnes, 1823),15 September 2004,2004-09-15,2004-09-15,North American, United States, Illinois, Hamilton County,,North Fork Salinc River; 1.5 mi E Broughton, Co. Rd. 200N bridge; Hamilton County, Illinois USA; T7S, R7E, sec. 3, SW; 37.937, -88.4261,decimal degrees,37.937,-88.4261,World Geodetic System 1984,unknown,,,unknown,J. E. Schwegman,2004-09-15,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],J. E. Schwegman,collector,,,,,,,,,CHAS:Inv,,,shell,Good.,1,in collection,number of valves: 2,J.E. Schwegman,verbatim collector,,,2004-09-15,,unknown,,,,,,,,,wild caught,collection
1,achinn,2019.9.34,,,[CHAS:Mamm]2019.9,Lasmigona compressa,unknown,unknown,,Creek heelsplitter mussel. Verbatim identification per original label: Lasmigona compressa (I. Lea, 1829),1 July 2010,2010-07-01,2010-07-01,North American, United States, Illinois, Kane County,,Otter Creek' 3 mi SW South Elgin, Otter Creek Wetland Forest; Kane County, Illinois USA; T40N, R8E, sec. 8, NW; 41.9645, -88.3544,decimal degrees,41.9645,-88.3544,World Geodetic System 1984,unknown,,,unknown,A. L. Price,2010-07-01,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison L. Price,collector,A. J. Berger,collector,Jen S. Schwab,collector,,,,,CHAS:Inv,,,shell,Good.,1,in collection,number of valves: 2,A.L. Price, A.J, Berger & J.S. Schwab,verbatim collector,,,2010-07-01,,unknown,,,,,,,,,wild caught,collection
23,achinn,2019.9.31,INHS 42927,collector number,[CHAS:Mamm]2019.9,Leptodea fragilis,unknown,unknown,,Fragile papershell mussel. Verbatim identification per original label: Leptodea fragilis (Rafinesque, 1820),10 July 2012,2012-07-10,2012-07-10,North American, United States, Illinois, Pulaski County,,Ohio River rm 973; Mound City, boat ramp; Pulaski County, Illinois USA; T16S, R1E, sec. 30, SW; 37.08688, -89.151611,decimal degrees,37.08688,-89.151611,World Geodetic System 1984,unknown,,,unknown,Jeremy S. Tiemann,2012-07-10,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Jeremy S. Tiemann,collector,Kevin Cummings,collector,Samantha M. Jaworski,collector,,,,,CHAS:Inv,Split to teach,,shell,Good.,3,in collection,number of valves: 6,J.S. Tiemann, K.S. Cummings & S.M. Jaworski,verbatim collector,,,2012-07-10,,unknown,,,,,,,,,wild caught,collection
34,achinn,2019.9.18,,,[CHAS:Mamm]2019.9,Ligumia recta,unknown,unknown,,Black sandshell mussel. Verbatim identification per original label: Ligumia recta ,April 2000,2000-04-01,2000-04-30,North American, United States, Illinois, Rock Island County,,(Gulf of Mexico Dr.); Cordova, Rock Island County, USA,,,,,,,,,unknown,2000-04-30,unverified,,,,unknown,collector,,,,,,,,,,,,shell,,1,,number of valves: 2,,,,,,,,,,,,,,,,wild caught,collection
36,achinn,2019.9.37,,,[CHAS:Mamm]2019.9,Obliquaria reflexa,unknown,Kevin Cummings,2015-11,Threehorn wartyback mussel. Verbatim identification per original label: Obliquaria reflexa (Rafinesque, 1820),Summer 2012,2012-06-20,2012-09-22,North American, United States, Illinois, Rock Island County,,Mississippi River; Pool 14; Rock Island County, Illinois, USA,,,,,,,,,unknown,2012-09-22,unverified,,,,unknown,collector,,,,,,,,,,Split to teach,,shell,,2,,number of valves: 4,,,,,,,,,,,,,,,,wild caught,collection
9,achinn,2019.9.16,,,[CHAS:Mamm]2019.9,Ortmanniana ligamentina,unknown,Kevin Cummings,2015-11,Mucket mussel. Verbatim identification per original label: Ortmanniana ligamentina (Lamarck, 1819),5 September 2017,2017-09-05,2017-09-05,North American, United States, Illinois, McHenry County,,Nippersink Creek (Fox River Dr.); Spring Grove, Bilvin Street; McHenry County, Illinois, USA; sampled downstream of bridge for 4 person-hours and; 42.4408, -88.2371,decimal degrees,42.4408,-88.2371,World Geodetic System 1984,unknown,,,unknown,A. P. Stodola,2017-09-05,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Alison Price Stodola,collector,Rachel Vinsel,collector,,,,,,,CHAS:Inv,Split to teach,,shell,Good.,4,in collection,number of valves: 7,A.P. Stodola, R.M. Vinsel, et al.,verbatim collector,,,2017-09-05,,unknown,,,,,,,,,wild caught,collection
10,achinn,2019.9.12,INHS 43552,collector number,[CHAS:Mamm]2019.9,Pleurobema sintoxia,unknown,unknown,,Round pigtoe mussel. Verbatim identification per original label: Pleurobema sintoxia (Rafinesque, 1820),7 August 2012,2012-08-07,2012-08-07,North American, United States, Illinois, Coles County,,Embarras River; 3.5mi SSE Rardin, Airtight bridge; Coles County, Illinois USA; T13N, R10E, sec. 21; 39.5549, -88.0894,decimal degrees,39.5549,-88.0894,World Geodetic System 1984,unknown,,,unknown,D. K. Shasteen,2012-08-07,unverified,,,No original datum or coordinate source recorded. Datum assumed to be WGS 1984 [achinn 9 October 2019],Diane K. Shasteen,collector,Alison L. Price,collector,Kevin Cummings,collector,Melissa M. Ruether,collector,,,CHAS:Inv,Split to teach,,shell,Good.,2,in collection,number of valves: 4,D.K. Shasteen, A.L. Price, K.S. Cummings & M.M. Ruether,verbatim collector,,,2012-08-07,,unknown,,,,,,,,,wild caught,collection
