Agonum tenuis,Agonum tenuis
Agraphus bellicus,Agraphus bellicus
Agrilus acutipennis,Agrilus acutipennis
Agrilus angustulus,Agrilus angustulus
Agrilus anxius,Agrilus anxius
Agrilus arcuatus,Agrilus arcuatus
Agrilus bilineatus,Agrilus bilineatus
Agrilus coxalis,Agrilus coxalis
Agrilus egenus,Agrilus egenus
Agrilus fallax,Agrilus fallax
Agrilus interruptus,Agrilus interruptus
Agrilus lacustris,Agrilus lacustris
Agrilus muticus,Agrilus muticus
Agrilus otiosus,Agrilus otiosus
Agrilus plumbeus,Agrilus plumbeus
Agrilus politus,Agrilus politus
Agrilus ruficollis,Agrilus ruficollis
Agrilus solitarius,Agrilus solitarius
Agrilus sp.,Agrilus sp.
Agrilus torpidus,Agrilus torpidus
Agrilus torquatus,Agrilus torquatus
Agriotes fucosus,Agriotes fucosus
Agriotes manicus,Agriotes manicus
Agriotes obligicollis,Agriotes obligicollis
Agriotes pubscens,Agriotes pubscens
Agriotes stabilis,Agriotes stabilis
Agriotes theventii,Agriotes theventii
Agroeca sp.,Agroeca sp.
Agromyza,Agromyza sp.
Agromyza sp.,Agromyza sp.
Agrothereutes mandator,Agrothereutes mandator
Agrothereutes sp,Agrothereutes sp.
Agrothereutes sp.,Agrothereutes sp.
Agrypnus sallei,Agrypnus sallei
Alaus,Alaus
Alaus lusciosus,Alaus lusciosus
Alaus melonops,Alaus melonops
Alaus myops,Alaus myops
Alaus occulatus,Alaus occulatus
Alaus oculatus,Alaus oculatus
Alaus sp.,Alaus sp.
Aleochara bimaculata,Aleochara bimaculata
Aleochara brachypterus,Aleochara brachypterus
Aleochara nitida,Aleochara nitida
Algarobius prosopis,Algarobius prosopis
Alindra cylindrica,Alindra cylindrica
Allandrus bifasciatus,Allandrus bifasciatus
Allecula erythrocnemis Germar,Lobopoda erythrocnemis
Allecula punctulata,Allecula punctulata
Allecula punctulata Melsheimer,Lobopoda punctulata
Allocosa? sp.,Allocosa sp.
Allocosa sp.,Allocosa sp.
Allognosta,Allognosta sp.
Allognosta fuscitarisis,Allognosta fuscitarisis
Allognosta sp.,Allognosta sp.
Allograpta,Allograpta sp.
Allograpta obiqua,Allograpta obiqua
Allograpta obliqua,Allograpta obliqua
