MATCH,Class,Order,Family,Genus,species,subspecies,form/variety,FullName,Currently Accepted?,Accepted Name,Original Name,irn
Cyrena manilensis,Bivalvia,Heterodonta,Corbiculidae,Cyrena,manilensis,,,"Cyrena manilensis Philippi, 1844",No,"Corbicula fluminea (O. F. Müller, 1774)","Cyrena manilensis Philippi, 1844",589744
,Bivalvia,Heterodonta,Corbiculidae,,,,,Corbiculidae,No,Cyrenidae,,165601
,Bivalvia,Heterodonta,Corneocycladidae,,,,,Corneocycladidae,No,Sphaeriidae,Corneocycladidae,584414
Corbicula fluminalis,Bivalvia,Heterodonta,Cyrenidae,Corbicula,fluminalis,,,"Corbicula fluminalis (O. F. Müller, 1774)",Yes,"Corbicula fluminalis (O. F. Müller, 1774)","Tellina fluminalis O. F. Müller, 1774",168462
Corbicula fluminea,Bivalvia,Heterodonta,Cyrenidae,Corbicula,fluminea,,,"Corbicula fluminea (O. F. Müller, 1774)",Yes,"Corbicula fluminea (O. F. Müller, 1774)","Tellina fluminea O. F. Müller, 1774",168463
Corbicula manilensis,Bivalvia,Heterodonta,Cyrenidae,Corbicula,manilensis,,,"Corbicula manilensis (Philippi, 1844)",No,"Corbicula fluminalis (O. F. Müller, 1774)","Cyrena manilensis Philippi, 1844",197921
,Bivalvia,Heterodonta,Cyrenidae,Corbicula,,,,Corbicula sp.,Yes,Corbicula sp.,Corbicula sp.,156630
Cyclas hammalis,Bivalvia,Heterodonta,Cyrenidae,Cyclas,hammalis,,,"Cyclas hammalis Rafinesque, 1820",Unknown,,"Cyclas hammalis Rafinesque, 1820",584411
Tellina fluminalis,Bivalvia,Heterodonta,Cyrenidae,Tellina,fluminalis,,,"Tellina fluminalis O. F. Müller, 1774",No,"Corbicula fluminalis (O. F. Müller, 1774)","Tellina fluminalis O. F. Müller, 1774",589740
Tellina fluminea,Bivalvia,Heterodonta,Cyrenidae,Tellina,fluminea,,,"Tellina fluminea O. F. Müller, 1774",No,"Corbicula fluminea (O. F. Müller, 1774)","Tellina fluminea O. F. Müller, 1774",589743
,Bivalvia,Heterodonta,Cyrenidae,,,,,Cyrenidae,Yes,Cyrenidae,,589231
Dreissena bugensis,Bivalvia,Heterodonta,Dreissenidae,Dreissena,bugensis,,,"Dreissena bugensis (Andrusov, 1897)",Yes,"Dreissena bugensis (Andrusov, 1897)","Dreissena rostriformis bugensis Andrusov, 1897",156671
Dreissena polymorpha,Bivalvia,Heterodonta,Dreissenidae,Dreissena,polymorpha,,,"Dreissena polymorpha (Pallas, 1771)",Yes,"Dreissena polymorpha (Pallas, 1771)","Mytilus polymorphus Pallas, 1771",168506
Dreissena rostriformis bugensis,Bivalvia,Heterodonta,Dreissenidae,Dreissena,rostriformis,bugensis,,"Dreissena rostriformis bugensis Andrusov, 1897",No,"Dreissena bugensis (Andrusov, 1897)","Dreissena rostriformis bugensis Andrusov, 1897",589745
Dreissena sallei,Bivalvia,Heterodonta,Dreissenidae,Dreissena,sallei,,,"Dreissena sallei Récluz, 1849",No,"Mytilopsis sallei (Récluz, 1849)","Dreissena sallei Récluz, 1849",156672
,Bivalvia,Heterodonta,Dreissenidae,Dreissena,,,,Dreissena,Yes,Dreissena,Dreissena,584412
Mytilopsis leucophaeata,Bivalvia,Heterodonta,Dreissenidae,Mytilopsis,leucophaeata,,,"Mytilopsis leucophaeata (Conrad, 1831)",Yes,"Mytilopsis leucophaeata (Conrad, 1831)","Mytilus leucophaeata Conrad, 1831",168507
Mytilopsis sallei,Bivalvia,Heterodonta,Dreissenidae,Mytilopsis,sallei,,,"Mytilopsis sallei (Récluz, 1849)",Yes,"Mytilopsis sallei (Récluz, 1849)","Dreissena sallei Récluz, 1849",168508
,Bivalvia,Heterodonta,Dreissenidae,Mytilopsis,,,,Mytilopsis sp.,Yes,Mytilopsis sp.,Mytilopsis sp.,150
Mytilus leucophaeata,Bivalvia,Heterodonta,Dreissenidae,Mytilus,leucophaeata,,,"Mytilus leucophaeata Conrad, 1831",No,"Mytilopsis leucophaeata (Conrad, 1831)","Mytilus leucophaeata Conrad, 1831",584413
,Bivalvia,Heterodonta,Dreissenidae,,,,,Dreissenidae,Yes,Dreissenidae,Dreissenidae,165609
,Bivalvia,Heterodonta,Pisidiidae,,,,,Pisidiidae,No,Sphaeriidae,Pisidiidae,165604
Calyculina ferrissii,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,ferrissii,,,"Calyculina ferrissii Sterki, 1902",No,"Musculium partumeium (Say, 1822)","Calyculina ferrissii Sterki, 1902",584446
Calyculina hodgsonii,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,hodgsonii,,,"Calyculina hodgsonii Sterki, 1902",No,"Musculium partumeium (Say, 1822)","Calyculina hodgsonii Sterki, 1902",584447
Calyculina lacustris,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,lacustris,,,"Calyculina lacustris (O. F. Müller, 1774)",No,"Musculium lacustre (O. F. Müller, 1774)","Tellina lacustris O. F. Müller, 1774",584421
Calyculina partumeia,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,partumeia,,,"Calyculina partumeia (Say, 1822)",No,"Musculium partumeium (Say, 1822)","Cyclas partumeia Say, 1822",584452
Calyculina rosacea,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,rosacea,,,"Calyculina rosacea (Prime, 1852)",No,"Musculium lacustre (O. F. Müller, 1774)","Cyclas rosacea Prime, 1852",584425
Calyculina securis,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,securis,,,"Calyculina securis (Prime, 1852)",No,"Musculium securis (Prime, 1852)","Cyclas securis Prime, 1852",584456
Calyculina sphaerica,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,sphaerica,,,"Calyculina sphaerica (Prime, 1853)",No,"Musculium securis (Prime, 1852)","Cyclas sphaerica Prime, 1853",584458
Calyculina transversa,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,transversa,,,"Calyculina transversa (Say, 1829)",No,"Musculium transversum (Say, 1829)","Cyclas transversa Say, 1829",584464
Calyculina truncata,Bivalvia,Heterodonta,Sphaeriidae,Calyculina,truncata,,,"Calyculina truncata (Gould, 1848)",No,"Musculium partumeium (Say, 1822)","Cyclas truncata Gould, 1848",584453
Cardium casertanum,Bivalvia,Heterodonta,Sphaeriidae,Cardium,casertanum,,,"Cardium casertanum Poli, 1791",No,"Pisidium casertanum (Poli, 1791)","Cardium casertanum Poli, 1791",584497
Corneocyclas tremperi,Bivalvia,Heterodonta,Sphaeriidae,Corneocyclas,tremperi,,,"Corneocyclas tremperi Hannibal, 1912",No,"Pisidium rotundatum Prime, 1852","Corneocyclas tremperi Hannibal, 1912",584669
Cyclas abditum,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,abditum,,,"Cyclas (Pisidium) abditum Haldeman, 1841",No,"Pisidium casertanum (Poli, 1791)","Cyclas (Pisidium) abditum Haldeman, 1841",584499
Cyclas abruptum,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,abruptum,,,"Cyclas (Pisidium) abruptum Haldeman, 1841",No,"Pisidium dubium (Say, 1817)","Cyclas (Pisidium) abruptum Haldeman, 1841",584614
Cyclas acuminata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,acuminata,,,"Cyclas acuminata Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas acuminata Prime, 1852",584735
Cyclas aequalis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,aequalis,,,"Cyclas aequalis Férussac, 1835",No,"Pisidium dubium (Say, 1817)","Cyclas aequalis Férussac, 1835",584613
Cyclas albula,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,albula,,,"Cyclas albula Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas albula Prime, 1852",584736
Cyclas altilis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,altilis,,,"Cyclas altilis C.B. Adams, 1847",No,"Pisidium compressum Prime, 1852","Cyclas altilis C.B. Adams, 1847",584585
Cyclas americana,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,americana,,,"Cyclas americana Prime, 1862",Unknown,,"Cyclas americana Prime, 1862",584472
Cyclas aurea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,aurea,,,"Cyclas aurea Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas aurea Prime, 1852",584737
Cyclas bulbosa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,bulbosa,,,"Cyclas bulbosa Prime, 1853",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas bulbosa Prime, 1853",584746
Cyclas calyculata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,calyculata,,,"Cyclas calyculata C.B. Adams, 1842",No,"Musculium partumeium (Say, 1822)","Cyclas calyculata C.B. Adams, 1842",584436
Cyclas cardissa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,cardissa,,,"Cyclas cardissa Prime, 1852",No,"Musculium securis (Prime, 1852)","Cyclas cardissa Prime, 1852",584454
Cyclas castanea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,castanea,,,"Cyclas castanea Prime, 1852",No,"Sphaerium fabale (Prime, 1852)","Cyclas castanea Prime, 1852",584698
Cyclas coerulea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,coerulea,,,"Cyclas coerulea Prime, 1852",No,"Musculium partumeium (Say, 1822)","Cyclas coerulea Prime, 1852",584441
Cyclas constricta,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,constricta,,,"Cyclas constricta Prime, 1853",No,"Musculium transversum (Say, 1829)","Cyclas constricta Prime, 1853",584467
Cyclas crocea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,crocea,,,"Cyclas crocea Lewis, 1854",No,"Musculium securis (Prime, 1852)","Cyclas crocea Lewis, 1854",584460
Cyclas dentata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,dentata,,,"Cyclas dentata Haldeman, 1841",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas dentata Haldeman, 1841",584734
Cyclas detruncata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,detruncata,,,"Cyclas detruncata Prime, 1852",No,"Musculium transversum (Say, 1829)","Cyclas detruncata Prime, 1852",584465
Cyclas distorta,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,distorta,,,"Cyclas distorta Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas distorta Prime, 1852",584738
Cyclas dubia,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,dubia,,,"Cyclas dubia Say, 1817",No,"Pisidium dubium (Say, 1817)","Cyclas dubia Say, 1817",584611
Cyclas eburnea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,eburnea,,,"Cyclas eburnea Prime, 1853",No,"Musculium partumeium (Say, 1822)","Cyclas eburnea Prime, 1853",584444
Cyclas edentula,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,edentula,,,"Cyclas edentula Say, 1829",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas edentula Say, 1829",584731
Cyclas elegans,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,elegans,,,"Cyclas elegans C.B. Adams, 1840",No,"Sphaerium rhomboideum (Say, 1822)","Cyclas elegans C.B. Adams, 1840",584709
Cyclas elevata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,elevata,,,"Cyclas elevata Haldeman, 1841",No,"Musculium partumeium (Say, 1822)","Cyclas elevata Haldeman, 1841",584435
Cyclas elliptica,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,elliptica,,,"Cyclas elliptica Prime, 1869",No,"Sphaerium simile (Say, 1817)","Cyclas elliptica Prime, 1869",584718
Cyclas emarginata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,emarginata,,,"Cyclas emarginata Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas emarginata Prime, 1852",584739
Cyclas equalis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,equalis,,,"Cyclas (Phymesoda) equalis Rafinesque, 1820",No,"Pisidium dubium (Say, 1817)","Cyclas (Phymesoda) equalis Rafinesque, 1820",584612
Cyclas errans,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,errans,,,"Cyclas errans Prime, 1869",No,"Pisidium conventus Clessin, 1877","Cyclas errans Prime, 1869",584603
Cyclas fabale,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,fabale,,,"Cyclas fabale Prime, 1852",No,"Sphaerium fabale (Prime, 1852)","Cyclas fabale Prime, 1852",589721
Cyclas flava,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,flava,,,"Cyclas flava Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas flava Prime, 1852",584740
Cyclas furcata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,furcata,,,"Cyclas furcata Prime, 1853",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas furcata Prime, 1853",584747
Cyclas gigantea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,gigantea,,,"Cyclas gigantea Prime, 1852",No,"Sphaerium simile (Say, 1817)","Cyclas gigantea Prime, 1852",584716
Cyclas gracilis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,gracilis,,,"Cyclas gracilis Prime, 1852",No,"Musculium transversum (Say, 1829)","Cyclas gracilis Prime, 1852",584466
Cyclas inornata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,inornata,,,"Cyclas inornata Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas inornata Prime, 1852",584741
Cyclas jayensis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,jayensis,,,"Cyclas jayensis Prime, 1852",No,"Musculium lacustre (O. F. Müller, 1774)","Cyclas jayensis Prime, 1852",584424
Cyclas lasmampsis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,lasmampsis,,,"Cyclas (Amesoda) lasmampsis Rafinesque, 1820",No,"Sphaerium simile (Say, 1817)","Cyclas (Amesoda) lasmampsis Rafinesque, 1820",584713
Cyclas lasmanpsis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,lasmanpsis,,,"Cyclas lasmanpsis Férussac, 1835",No,"Sphaerium simile (Say, 1817)","Cyclas lasmanpsis Férussac, 1835",584714
Cyclas minor,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,minor,,,"Cyclas minor C.B. Adams in Mighels & C.B. Adams, 1842",No,"Pisidium casertanum (Poli, 1791)","Cyclas minor C.B. Adams in Mighels & C.B. Adams, 1842",584500
Cyclas minus,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,minus,,,"Cyclas minus Stimpson, 1851",No,"Pisidium nitidum Jenyns, 1832","Cyclas minus Stimpson, 1851",584638
Cyclas mirabilis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,mirabilis,,,"Cyclas mirabilis Prime, 1852",No,"Musculium partumeium (Say, 1822)","Cyclas mirabilis Prime, 1852",584443
Cyclas modesta,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,modesta,,,"Cyclas modesta Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas modesta Prime, 1852",584742
Cyclas nitida,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,nitida,,,"Cyclas nitida Mighels in Mighels & C.B. Adams, 1842",No,"Pisidium adamsii Stimpson, 1851","Cyclas nitida Mighels in Mighels & C.B. Adams, 1842",584487
Cyclas nobilis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,nobilis,,,"Cyclas nobilis Gould, 1855",No,"Sphaerium patella (Gould, 1850)","Cyclas nobilis Gould, 1855",584706
Cyclas occidentalis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,occidentalis,,,"Cyclas occidentalis Prime in Lewis, 1855",No,"Sphaerium occidentale (Prime in Lewis, 1856)","Cyclas occidentalis Prime in Lewis, 1855",584702
Cyclas orbicularia,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,orbicularia,,,"Cyclas orbicularia Linsley, 1845",No,"Musculium partumeium (Say, 1822)","Cyclas orbicularia Linsley, 1845",584437
Cyclas ovalis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,ovalis,,,"Cyclas ovalis Prime, 1853",No,"Sphaerium occidentale (Prime in Lewis, 1856)","Cyclas ovalis Prime, 1853",584704
Cyclas ovata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,ovata,,,"Cyclas ovata Lewis, 1856",Unknown,,"Cyclas ovata Lewis, 1856",584692
Cyclas partumeia,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,partumeia,,,"Cyclas partumeia Say, 1822",No,"Musculium partumeium (Say, 1822)","Cyclas partumeia Say, 1822",584434
Cyclas patella,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,patella,,,"Cyclas patella Gould, 1850",No,"Sphaerium patella (Gould, 1850)","Cyclas patella Gould, 1850",584705
Cyclas pellucida,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,pellucida,,,"Cyclas pellucida Stimpson, 1851",No,"Musculium partumeium (Say, 1822)","Cyclas pellucida Stimpson, 1851",584440
Cyclas ponderosa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,ponderosa,,,"Cyclas ponderosa Prime, 1852",No,"Sphaerium simile (Say, 1817)","Cyclas ponderosa Prime, 1852",584717
Cyclas punctifera,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,punctifera,,,"Cyclas punctifera Guppy, 1867",No,"Pisidium punctiferum (Guppy, 1867)","Cyclas punctifera Guppy, 1867",589722
Cyclas quercus,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,quercus,,,"Cyclas quercus Prime, 1869",Unknown,,"Cyclas quercus Prime, 1869",584474
Cyclas rhomboidea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,rhomboidea,,,"Cyclas rhomboidea Say, 1822",No,"Sphaerium rhomboideum (Say, 1822)","Cyclas rhomboidea Say, 1822",584708
Cyclas rosacea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,rosacea,,,"Cyclas rosacea Prime, 1852",No,"Musculium lacustre (O. F. Müller, 1774)","Cyclas rosacea Prime, 1852",584426
Cyclas rugosa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,rugosa,,,"Cyclas rugosa Prime, 1869",Unknown,,"Cyclas rugosa Prime, 1869",584475
Cyclas ryckholti,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,ryckholti,,,"Cyclas ryckholti Normand, 1844",No,"Musculium lacustre (O. F. Müller, 1774)","Cyclas ryckholti Normand, 1844",584422
Cyclas sarratogea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,sarratogea,,,"Cyclas sarratogea Lamarck, 1818",No,"Sphaerium simile (Say, 1817)","Cyclas sarratogea Lamarck, 1818",584711
Cyclas securis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,securis,,,"Cyclas securis Prime, 1852",No,"Musculium securis (Prime, 1852)","Cyclas securis Prime, 1852",584455
Cyclas similis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,similis,,,"Cyclas similis Say, 1817",No,"Sphaerium simile (Say, 1817)","Cyclas similis Say, 1817",584710
Cyclas simplex,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,simplex,,,"Cyclas simplex Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas simplex Prime, 1852",584743
Cyclas solida,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,solida,,,"Cyclas solida DeKay, 1843",No,"Sphaerium simile (Say, 1817)","Cyclas solida DeKay, 1843",584715
Cyclas solidula,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,solidula,,,"Cyclas solidula Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas solidula Prime, 1852",584744
Cyclas sphaerica,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,sphaerica,,,"Cyclas sphaerica Prime, 1853",No,"Musculium securis (Prime, 1852)","Cyclas sphaerica Prime, 1853",584457
Cyclas staminea,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,staminea,,,"Cyclas staminea Conrad, 1834",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas staminea Conrad, 1834",584733
Cyclas steinii,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,steinii,,,"Cyclas steinii Schmidt, 1850",No,"Musculium lacustre (O. F. Müller, 1774)","Cyclas steinii Schmidt, 1850",584423
Cyclas striatina,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,striatina,,,"Cyclas striatina Lamarck, 1818",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas striatina Lamarck, 1818",584730
Cyclas sulcata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,sulcata,,,"Cyclas sulcata Lamarck, 1818",No,"Sphaerium simile (Say, 1817)","Cyclas sulcata Lamarck, 1818",584712
Cyclas sulculosa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,sulculosa,,,"Cyclas sulculosa Prime, 1861",No,"Sphaerium fabale (Prime, 1852)","Cyclas sulculosa Prime, 1861",584699
Cyclas tenuis,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,tenuis,,,"Cyclas tenuis Prime, 1852",No,"Musculium partumeium (Say, 1822)","Cyclas tenuis Prime, 1852",584442
Cyclas tenuistriata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,tenuistriata,,,"Cyclas tenuistriata Prime, 1852",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas tenuistriata Prime, 1852",584745
Cyclas transversa,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,transversa,,,"Cyclas transversa Say, 1829",No,"Musculium transversum (Say, 1829)","Cyclas transversa Say, 1829",168486
Cyclas triangularius,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,triangularius,,,"Cyclas triangularius Say, 1829",No,"Sphaerium striatinum (Lamarck, 1818)","Cyclas triangularius Say, 1829",584732
Cyclas truncata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,truncata,,,"Cyclas truncata Gould, 1848",No,"Musculium partumeium (Say, 1822)","Cyclas truncata Gould, 1848",584439
Cyclas truncata,Bivalvia,Heterodonta,Sphaeriidae,Cyclas,truncata,,,"Cyclas truncata Linsley, 1845",No,"Musculium partumeium (Say, 1822)","Cyclas truncata Linsley, 1845",584438
Eupera cubensis,Bivalvia,Heterodonta,Sphaeriidae,Eupera,cubensis,,,"Eupera cubensis (Prime, 1865)",Yes,"Eupera cubensis (Prime, 1865)","Sphaerium cubense Prime, 1865",168467
,Bivalvia,Heterodonta,Sphaeriidae,Eupera,,,,"Eupera Bourguignat, 1854",Yes,"Eupera Bourguignat, 1854","Eupera Bourguignat, 1854",584418
Musculium australe,Bivalvia,Heterodonta,Sphaeriidae,Musculium,australe,,,"Musculium australe Sterki, 1916",No,"Musculium securis (Prime, 1852)","Musculium australe Sterki, 1916",584462
Musculium declive,Bivalvia,Heterodonta,Sphaeriidae,Musculium,declive,,,"Musculium declive Sterki, 1912",No,"Musculium lacustre (O. F. Müller, 1774)","Musculium declive Sterki, 1912",584431
Musculium lacustre,Bivalvia,Heterodonta,Sphaeriidae,Musculium,lacustre,,,"Musculium lacustre (O. F. Müller, 1774)",Yes,"Musculium lacustre (O. F. Müller, 1774)","Tellina lacustris O. F. Müller, 1774",168469
Musculium orbiculare,Bivalvia,Heterodonta,Sphaeriidae,Musculium,orbiculare,,,"Musculium orbiculare Sterki, 1913",No,"Musculium partumeium (Say, 1822)","Musculium orbiculare Sterki, 1913",584448
Musculium partumeium,Bivalvia,Heterodonta,Sphaeriidae,Musculium,partumeium,,,"Musculium partumeium (Say, 1822)",Yes,"Musculium partumeium (Say, 1822)","Cyclas partumeia Say, 1822",168470
Musculium partumeium globosum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,partumeium,globosum,,"Musculium partumeium globosum Sterki, 1916",No,"Musculium partumeium (Say, 1822)","Musculium partumeium globosum Sterki, 1916",584449
Musculium parvum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,parvum,,,"Musculium parvum Sterki, 1909",No,"Musculium securis (Prime, 1852)","Musculium parvum Sterki, 1909",584461
Musculium pusillum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,pusillum,,,"Musculium pusillum Sterki, 1910",No,"Musculium lacustre (O. F. Müller, 1774)","Musculium pusillum Sterki, 1910",584430
Musculium rosaceum fuliginosum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,rosaceum,fuliginosum,,"Musculium rosaceum fuliginosum Sterki, 1916",No,"Musculium lacustre (O. F. Müller, 1774)","Musculium rosaceum fuliginosum Sterki, 1916",584432
Musculium securis,Bivalvia,Heterodonta,Sphaeriidae,Musculium,securis,,,"Musculium securis (Prime, 1852)",Yes,"Musculium securis (Prime, 1852)","Cyclas securis Prime, 1852",168471
Musculium sphaericum succineum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,sphaericum,succineum,,"Musculium sphaericum succineum Sterki, 1916",No,"Musculium securis (Prime, 1852)","Musculium sphaericum succineum Sterki, 1916",584463
Musculium transversum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,transversum,,,"Musculium transversum (Say, 1829)",Yes,"Musculium transversum (Say, 1829)","Cyclas transversa Say, 1829",168472
Musculium transversum decisum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,transversum,decisum,,"Musculium transversum decisum Sterki, 1916",No,"Musculium transversum (Say, 1829)","Musculium transversum decisum Sterki, 1916",584471
Musculium truncatum albidum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,truncatum,albidum,,"Musculium truncatum albidum Sterki, 1916",No,"Musculium partumeium (Say, 1822)","Musculium truncatum albidum Sterki, 1916",584450
Musculium truncatum angustatum,Bivalvia,Heterodonta,Sphaeriidae,Musculium,truncatum,angustatum,,"Musculium truncatum angustatum Sterki, 1916",No,"Musculium partumeium (Say, 1822)","Musculium truncatum angustatum Sterki, 1916",584451
Musculium winkleyi,Bivalvia,Heterodonta,Sphaeriidae,Musculium,winkleyi,,,"Musculium winkleyi Sterki, 1909",No,"Musculium lacustre (O. F. Müller, 1774)","Musculium winkleyi Sterki, 1909",584429
,Bivalvia,Heterodonta,Sphaeriidae,Musculium,,,,Musculium sp.,Yes,Musculium sp.,,119731
Pisidium abditum abyssorum,Bivalvia,Heterodonta,Sphaeriidae,Pisidium,abditum,abyssorum,,"Pisidium abditum abyssorum Stimpson in Smith, 1874",No,"Pisidium conventus Clessin, 1877","Pisidium abditum abyssorum Stimpson in Smith, 1874",584604
Pisidium abditum huachucanum,Bivalvia,Heterodonta,Sphaeriidae,Pisidium,abditum,huachucanum,,"Pisidium abditum huachucanum Pilsbry & Ferriss, 1906",No,"Pisidium casertanum (Poli, 1791)","Pisidium abditum huachucanum Pilsbry & Ferriss, 1906",584533
Pisidium abditum lacteum,Bivalvia,Heterodonta,Sphaeriidae,Pisidium,abditum,lacteum,,"Pisidium abditum lacteum Sterki, 1916",No,"Pisidium casertanum (Poli, 1791)","Pisidium abditum lacteum Sterki, 1916",584558
Pisidium abortivum exiguum,Bivalvia,Heterodonta,Sphaeriidae,Pisidium,abortivum,exiguum,,"Pisidium abortivum exiguum Sterki, 1916",No,"Pisidium conventus Clessin, 1877","Pisidium abortivum exiguum Sterki, 1916",584607
Pisidium abortivum,Bivalvia,Heterodonta,Sphaeriidae,Pisidium,abortivum,,,"Pisidium abortivum Sterki, 1916",No,"Pisidium conventus Clessin, 1877","Pisidium abortivum Sterki, 1916",584608
Pisidium abyssorum,Bivalvia,Heterodonta,Sphaeriidae,Pisidium,abyssorum,,,"Pisidium abyssorum Stimpson in Sterki, 1898",No,"Pisidium conventus Clessin, 1877","Pisidium abyssorum Stimpson in Sterki, 1898",584605
