MATCH,Class,Order,Family,Genus,species,subspecies,form/variety,FullName,Currently Accepted?,Accepted Name,Original Name,irn
Unio porrectus,Bivalvia,Paleoheterodonta,Unionidae,Unio,porrectus,,,"Unio porrectus Conrad, 1854",No,"Uniomerus tetralasmus (Say, 1831)","Unio porrectus Conrad, 1854",588095
Unio postellii,Bivalvia,Paleoheterodonta,Unionidae,Unio,postellii,,,"Unio postellii Lea, I., 1858",No,"Elliptio complanata (Lightfoot, 1786)","Unio postellii Lea, I., 1858",207938
Unio poulsoni,Bivalvia,Paleoheterodonta,Unionidae,Unio,poulsoni,,,"Unio poulsoni Conrad, 1834",No,"Potamilus purpuratus (Lamarck, 1819)","Unio poulsoni Conrad, 1834",587437
Unio powellii,Bivalvia,Paleoheterodonta,Unionidae,Unio,powellii,,,"Unio powellii Lea, I., 1853",No,"Lampsilis powellii (Lea, I., 1853)","Unio powellii Lea, I., 1853",586358
Unio praelongus,Bivalvia,Paleoheterodonta,Unionidae,Unio,praelongus,,,"Unio praelongus Barnes, 1823",No,"Ligumia recta (Lamarck, 1819)","Unio praelongus Barnes, 1823",586601
Unio prasinatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,prasinatus,,,"Unio prasinatus Conrad, 1866",No,"Elliptio jayensis (Lea, I., 1839)","Unio prasinatus Conrad, 1866",585429
Unio prasinus,Bivalvia,Paleoheterodonta,Unionidae,Unio,prasinus,,,"Unio prasinus Conrad, 1834",No,"Rotundaria pustulosa (Lea, I., 1834)","Unio prasinus Conrad, 1834",587704
Unio prattii,Bivalvia,Paleoheterodonta,Unionidae,Unio,prattii,,,"Unio prattii Lea, I., 1858",No,"Villosa lienosa (Conrad, 1834)","Unio prattii Lea, I., 1858",588316
Unio premorsus,Bivalvia,Paleoheterodonta,Unionidae,Unio,premorsus,,,"Unio premorsus Rafinesque, 1831",No,"Rotundaria pustulosa (Lea, I., 1834)","Unio premorsus Rafinesque, 1831",587703
Unio pressus,Bivalvia,Paleoheterodonta,Unionidae,Unio,pressus,,,"Unio pressus Lea, I., 1842",No,"Lasmigona compressa (Lea, I., 1830)","Unio pressus Lea, I., 1842",119765
