TAXON (to match to authority),ACCEPTED TAXON,ACCEPTED AUTHOR,SOURCE,Class,Order,Family,Subfamily
Schizocosa sp.,Schizocosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Scopoides naturalisticus,Scopoides naturalisticus,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Scytodes redempta,Scytodes redempta,,World Spider Catalog,Arachnida,Araneae,Scytodidae,
Scytodes sp.,Scytodes sp.,,World Spider Catalog,Arachnida,Araneae,Scytodidae,
Scytodes thoracica,Scytodes thoracica,,World Spider Catalog,Arachnida,Araneae,Scytodidae,
Selenops sp.,Selenops sp.,,World Spider Catalog,Arachnida,Araneae,Selenopidae,
Sergiolus montanus,Sergiolus montanus,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Sidusa arizonensis,Mexigonus arizonensis,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Singa variabilis,Hypsosinga pygmaea,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Sitalcus palustris,Sitticus floricola palustris,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Steatoda borealis,Steatoda borealis,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Steatoda merula,Steatoda grandis,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Steotoda borealis,Steatoda borealis,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Syspira eclectica,Syspira eclectica,,World Spider Catalog,Arachnida,Araneae,Miturgidae,Miturginae
Syspira synthetica,Syspira synthetica,,World Spider Catalog,Arachnida,Araneae,Miturgidae,Miturginae
Tegenaria sp.,Tegenaria sp.,,World Spider Catalog,Arachnida,Araneae,Agelenidae,
Tetragantha laboriosa,Tetragnatha laboriosa,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragantha versicolor,Tetragnatha versicolor,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha caudata,Tetragnatha caudata,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha elongata,Tetragnatha elongata,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha extensa,Tetragnatha extensa,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha laboriosa,Tetragnatha laboriosa,Hentz 1850,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha loboriosa,Tetragnatha laboriosa,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha pallescens,Tetragnatha pallescens,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha pallesceus,Tetragnatha pallescens,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnatha versicolor,Tetragnatha versicolor,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Tetragnathidae sp.,Tetragnathidae sp.,,World Spider Catalog,Arachnida,Araneae,Tetragnathidae,
Thanatus sp.,Thanatus sp.,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Theraphosa leblondi,Theraphosa blondi,,World Spider Catalog,Arachnida,Araneae,Theraphosidae,
Theraphosidae sp.,Theraphosidae sp.,,World Spider Catalog,Arachnida,Araneae,Theraphosidae,
Theridiidae sp.,Theridiidae sp.,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion ,Theridion sp.,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion differens,Theridion differens,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion differus,Theridion differens,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion frondeum,Theridion frondeum,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion kentuckyense,Yunohamella lyrica,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion maranum,Theridion maranum,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion murarium,Theridion murarium,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion neomexicanum,Theridion neomexicanum,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion rupicola,Cryptachaea rupicola,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion sp.,Theridion sp.,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion spirale,Theridion glaucescens,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion tepidarioran,Parasteatoda tepidariorum,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion tepidariorum,Parasteatoda tepidariorum,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridion unimaculatum,Thymoites unimaculatus,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Theridiosoma gemmosum,Theridiosoma gemmosum,,World Spider Catalog,Arachnida,Araneae,Theridiosomatidae,
Theridula opulenta,Theridula opulenta,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Thomisidae sp.,Thomisidae sp.,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Tibellus oblongus,Tibellus oblongus,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Tmarus angulatus,Tmarus angulatus,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Trabeops pr. Aurantiaca,Trabeops aurantiacus,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Trachelas huachucaus,Trachelas huachucanus,,World Spider Catalog,Arachnida,Araneae,Corinnidae,
Tutelina elegans,Tutelina elegans,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Uloborus americanus,Uloborus sp.,,Petra Sierwald,Arachnida,Araneae,Uloboridae,
Uloborus oweni,Philoponella oweni,,World Spider Catalog,Arachnida,Araneae,Uloboridae,
Varacosa sp.,Varacosa sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Wala mitrata,Hentzia mitrata,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Xysticus apacheus,Xysticus apachecus,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Xysticus cunctator,Xysticus cunctator,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Xysticus ferox,Xysticus ferox,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Xysticus fraternus,Xysticus fraternus,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Xysticus gulosus,Xysticus gulosus,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Xysticus luctans,Xysticus luctans,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Xysticus triguttatus,Xysticus triguttatus,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Zygoballus bettini,Zygoballus rufipes,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Zygoballus nervosus,Zygoballus nervosus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Argasidae sp.,Argasidae sp.,,"Alberto A. Guglielmone, Richard G. Robbing, Dmitry A. Apanaskevich, Trevor N. Petney, Agustin Estrada-Pena, Ivan G. Horak, Renfu Shao, Stephen C. Barker. (2010). The Argasidae, Ixodidae and Nuttalliellidae (Acari: Ixodida) of the world: a list of valid species names (PDF). Zootaxa 2528:1(28).",Arachnida,Ixodida,Argasidae,
Dermacenter variabilis,Dermacenter variabilis,,"Alberto A. Guglielmone, Richard G. Robbing, Dmitry A. Apanaskevich, Trevor N. Petney, Agustin Estrada-Pena, Ivan G. Horak, Renfu Shao, Stephen C. Barker. (2010). The Argasidae, Ixodidae and Nuttalliellidae (Acari: Ixodida) of the world: a list of valid species names (PDF). Zootaxa 2528:1(28).",Arachnida,Ixodida,Ixodidae,
Ixodidae sp.,Ixodidae,,ITIS,Arachnida,Ixodida,Ixodidae,
Opiliones sp.,Opiliones,,ITIS,Arachnida,Opiliones,,
Phalangiidae sp.,Phalangiidae,,ITIS,Arachnida,Opiliones,Phalangiidae,
Triaenonychidae sp.,Triaenonychidae,,ITIS,Arachnida,Opiliones,Triaenonychidae,
Cheliferidae sp.,Cheliferidae,,ITIS,Arachnida,Pseudoscorpiones,Cheliferidae,
Pseudoscorpiones sp.,Pseudoscorpiones,,ITIS,Arachnida,Pseudoscorpiones,,
Anuroctonus phaiodactylus,Anuroctonus phaiodactylus,,Petra Sierwald,Arachnida,Scorpiones,,
Buthus spinigeus,Vaejovis spinigerus,"(Wood, 1863)","Fet, Sissome, Lowe and Braunwaider. 2000. Catalog of the scorpions of the world (1758-1998): page 535",Arachnida,Scorpiones,Vaejovidae,
Centruroides exilicauda,Centruroides exilicauda,,Petra Sierwald,Arachnida,Scorpiones,Buthidae,
Hadrurus arizonensis,Hadrurus arizonensis,,Petra Sierwald,Arachnida,Scorpiones,Caraboctonidae,
Pandinus imperator,Pandinus imperator,,Petra Sierwald,Arachnida,Scorpiones,,
Scorpion sp.,Scorpiones,,ITIS,Arachnida,Scorpiones,,
Scorpiones sp.,Scorpiones,,ITIS,Arachnida,Scorpiones,,
Ammotrechula peninsulana,Ammotrechula peninsulana,,ITIS,Arachnida,Solifugae,Ammotrechidae,
Ammotrechula peninsulanus,Ammotrechula peninsulana,,ITIS,Arachnida,Solifugae,Ammotrechidae,
Ammotrechula sp.,Ammotrechula sp.,,ITIS,Arachnida,Solifugae,Ammotrechidae,Saranominae
Solifugae sp.,Solifugae,,ITIS,Arachnida,Solifugae,,
Thelyphonida sp.,Thelyphonida,,ITIS,Arachnida,Thelyphonida,,
Diplodoutus sp.,Diplodontus sp.,,ITIS,Arachnida,Trombidiformes,Hydryphantidae,
Arachnida sp.,Arachnida,,ITIS,Arachnida,,,
