TAXON (original),Phylum,Class,Order,Family,Genus,Genus (original from spreadsheet),Species,Species (original from spreadsheet),Subspecies,Subspecies (original from spreadsheet),Synonyms (old)
A. holstonia,Mollusca,Bivalvia,Unionoida,Unionidae,A.,A.,holstonia,holstonia,,,
A. kirklandi,Mollusca,Bivalvia,,,A.,A.,kirklandi,kirklandi,,,
A. truncata,Mollusca,Bivalvia,Unionoida,Unionidae,A.,A. ,truncata,truncata,,,
Acanthina crassilabrum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,crassilabrum,crassilabrum,,,
Acanthina crassilabrum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,crassilabrum,crassilabrum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina engonatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,engonatum,engonatum,,,
Acanthina imbricatum,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,imbricatum,imbricatum,,,
Acanthina lapilloides,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,lapilloides,lapilloides,,,
Acanthina lugubre,Mollusca,Gastropoda,,Muricidae,Acanthina,Acanthina,lugubre,lugubre,,,
Acanthochites variablils,Mollusca,Polyplacophora,,Acanthochitonidae,Acanthochites,Acanthochites,variablils,variablils,,,
Acanthopleura echinatum,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,echinatum,echinatum,,,A.
Acanthopleura granulata,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,granulata,granulata,,,Acanthopleura picea Gmelin
Acanthopleura granulata,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,granulata,granulata,,,
Acanthopleura granulata,Mollusca,Polyplacophora,,Chitonidae,Acanthopleura,Acanthopleura,granulata,granulata,,,
Acavus haemastomus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,,,
Acavus haemastomus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,,,
Acavus haemastomus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,,,
Acavus haemastomus melanotragus,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,haemastomus,haemastomus,melanotragus,melanotragus,
Acavus phoenix,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,phoenix,phoenix,,,
Acavus phoenix,Mollusca,Gastropoda,,Acavidae,Acavus,Acavus,phoenix,phoenix,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella haldemani,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,haldemani,haldemani,,,
Acella sp.,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,,,,,
Acella sp.,Mollusca,Gastropoda,,Lymnaeidae,Acella,Acella,,,,,
Acetocina canaliculata,Mollusca,Gastropoda,,Cyclichnidae,Acetocina,Acetocina,canaliculata,canaliculata,,,
Achatina approximata,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,approximata,approximata,,,Porphyrobaphile
Achatina fasciata,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,fasciata,fasciata,,,
Achatina fulia,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,fulia,fulia,,,
Achatina granulosa,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,granulosa,granulosa,,,
Achatina kraussi,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,kraussi,kraussi,,,
Achatina marginata,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,marginata,marginata,,,
Achatina purpurea,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,purpurea,purpurea,,,
Achatina sp.,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,,,,,
Achatina sp.,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,,sp.,,,
Achatina zebra,Mollusca,Gastropoda,,Achatinidae,Achatina,Achatina,zebra,zebra,,,
Achatinella albaspira,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,albaspira,albaspira,,,
Achatinella citrina,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,citrina,citrina,,,
Achatinella clara,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,clara,clara,,,
Achatinella crassula,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,crassula,crassula,,,
Achatinella crassula,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,crassula,crassula,,,
Achatinella diaphana,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,diaphana,diaphana,,,
Achatinella ellipsoidea,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,ellipsoidea,ellipsoidea,,,
Achatinella fusca,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,fusca,fusca,,,
Achatinella gravida,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,gravida,gravida,,,
Achatinella labrosa,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,labrosa,labrosa ,,,
Achatinella lagena,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,lagena,lagena,,,
Achatinella mucronata,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,mucronata,mucronata,,,
Achatinella nigra,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,nigra,nigra,,,
Achatinella obelavata,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,obelavata,obelavata,,,
Achatinella obesa,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,obesa,obesa,,,
Achatinella recta,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,recta,recta,,,
Achatinella saxatilis,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,saxatilis,saxatilis,,,
Achatinella sp.,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,,,,,
Achatinella sp.,Mollusca,Gastropoda,,Achatinidae,Achatinella,Achatinella,,,,,
Achatinella swiftii,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,swiftii,swiftii,,,
Achatinella tenella,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,tenella,tenella,,,
Achatinella trilineata,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,trilineata,trilineata,,,
Achatinella tumefacta,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,tumefacta,tumefacta,,,
Achatinella umbilicata,Mollusca,Gastropoda,,Achatinellidae,Achatinella,Achatinella,umbilicata,umbilicata,,,
Acmaea antillarium,Mollusca,Gastropoda,,,Acmaea,Acmaea,antillarium,antillarium,,,
Acmaea candeana,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,candeana,candeana,,,
Acmaea carpenteri,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,carpenteri,carpenteri,,,
Acmaea carpenteri,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,carpenteri,carpenteri,,,
Acmaea ceciliana,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,ceciliana,ceciliana,,,
Acmaea ceciliana,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,ceciliana,ceciliana,,,
Acmaea ceciliana,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,ceciliana,ceciliana,,,
Acmaea cubensis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,cubensis,cubensis,,,
Acmaea discors,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,discors,discors,,,
Acmaea fasciucularis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,fasciucularis,fasciucularis,,,
Acmaea inessa,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,inessa,inessa,,,
Acmaea mesoleuca,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,mesoleuca,mesoleuca,,,
Acmaea mesoleuca,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,mesoleuca,mesoleuca,,,
Acmaea metra,Mollusca,Gastropoda,,,Acmaea,Acmaea,metra,metra,,,
Acmaea mitra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,mitra,mitra,,,
Acmaea mitra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,mitra,mitra,,,
Acmaea mitra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,mitra,mitra,,,
Acmaea mitra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,mitra,mitra,,,
Acmaea nitra,Mollusca,Gastropoda,,Lottiidae,Acmaea,Acmaea,nitra,nitra,,,
Acmaea patina,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,patina,patina,,,
Acmaea patina,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,patina,patina,,,
Acmaea patina,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,patina,patina,,,
Acmaea patina,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,patina,patina,,,
Acmaea patina,Mollusca,Gastropoda,,Lottiidae,Acmaea,Acmaea,patina,patina,,,
Acmaea patina fenestrata,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,patina,patina,fenestrata,fenestrata,
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,A. [Acmaea] pelta 
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea pelta,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea pelta,Mollusca,Gastropoda,,Lotiidae,Acmaea,Acmaea,pelta,pelta,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea persona,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,persona,persona,,,
Acmaea punctulata,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,punctulata,punctulata,,,Acmaea punctulata Gmelin
Acmaea punctulata,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,punctulata,punctulata,,,
Acmaea punctulata,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,punctulata,punctulata,,,
Acmaea saccharina,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,saccharina,saccharina,,,
Acmaea saccharina,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,saccharina,saccharina,,,
Acmaea scabra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scabra,scabra,,,
Acmaea scabra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scabra,scabra,,,
Acmaea scabra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scabra,scabra,,,
Acmaea scabra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scabra,scabra,,,
Acmaea scabra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scabra,scabra,,,
Acmaea scabra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scabra,scabra,,,
Acmaea scabra,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scabra,scabra label originally said patina; this was crossed out,,,
Acmaea scutum,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,scutum,scutum,,,
Acmaea sp.,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea?,,,,,
Acmaea spectrum,Mollusca,Gastropoda,,,Acmaea,Acmaea,spectrum,spectrum,,,
Acmaea spectrum,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,spectrum,spectrum,,,
Acmaea spectrum,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,spectrum,spectrum,,,
Acmaea spectrum,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,spectrum,spectrum,,,
Acmaea spectrum,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,spectrum,spectrum,,,
Acmaea spectrum,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,spectrum,spectrum,,,
Acmaea testidinalis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,testidinalis,testidinalis,,,
Acmaea testudinalis,Mollusca,Gastropoda,,Lottiidae,Acmaea,Acmaea,testudinalis,testudinalis,,,
Acmaea testudinalis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,testudinalis,testudinalis,,,
Acmaea testudinalis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,testudinalis,testudinalis,,,
Acmaea testudinalis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,testudinalis,testudinalis,,,
Acmaea testudinalis,Mollusca,Gastropoda,,Lottiidae,Acmaea,Acmaea,testudinalis,testudinalis,,,
Acmaea variabilis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,variabilis,variabilis,,,
Acmaea variabilis,Mollusca,Gastropoda,,Acmaeidae,Acmaea,Acmaea,variabilis,variabilis,,,
Acmaeidae sp.,Mollusca,Gastropoda,,Acmaeidae,,,,,,,
Acmaeidae sp.,Mollusca,Gastropoda,,Acmaeidae,,,,,,,
Acmaeidae sp.,Mollusca,Gastropoda,,Acmaeidae,,,,,,,
Acmaeidae sp.,Mollusca,Gastropoda,,Acmaeidae,,,,,,,
Acmaeidae sp.,Mollusca,Gastropoda,,Acmaeidae,,,,,,,
Acmaeidae sp.,Mollusca,Gastropoda,,Acmaeidae,,,,,,,
Acmea camdeana,Mollusca,Gastropoda,,,Acmea,Acmea,camdeana,camdeana,,,
Acmmatus sp.,unk. invertebrate,,,,Acmmatus,"""Acmmatus""",,,,,
Acropora palmata,unk. invertebrate,,,,Acropora,Acropora,palmata,palmata,,,M. palmata
Acropora squarrosa,unk. invertebrate,,,,Acropora,Acropora,squarrosa,squarrosa,,,Madrepora plantaginea Lamarck
Actaeon incisus,Mollusca,Gastropoda,,Acteonidae,Actaeon,Actaeon,incisus,incisus,,,
Actaeon punctocaelatus,Mollusca,Gastropoda,,Acteonidae,Actaeon,Actaeon,punctocaelatus,punctocaelatus,,,
Actaeon punctocaelatus,Mollusca,Gastropoda,,Acteonidae,Actaeon,Actaeon,punctocaelatus,punctocaelatus,,,
Actaeon tornatilis,Mollusca,Gastropoda,,Acteonidae,Actaeon,Actaeon,tornatilis,tornatilis,,,
Acteon sp.,Mollusca,Gastropoda,,Acteonidae,Acteon,Acteon,,,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,Lampsilis ligamentina crassa Lamarck
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,,Actinonaias,[Actinonaias],ligamentina,[ligamentina],,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actinonaias ligamentina,Mollusca,Bivalvia,,,Actinonaias,[Actinonaias],ligamentina,[ligamentina],,,
Actinonaias ligamentina,Mollusca,Bivalvia,,,Actinonaias,[Actinonaias],ligamentina,[ligamentina],,,
Actinonaias ligamentina,Mollusca,Bivalvia,,,Actinonaias,[Actinonaias],ligamentina,[ligamentina],,,
Actinonaias ligamentina,Mollusca,Bivalvia,,,Actinonaias,[Actinonaias],ligamentina,[ligamentina],,,
Actinonaias ligamentina,Mollusca,Bivalvia,,,Actinonaias,[Actinonaias],ligamentina,[ligamentina],,,
Actinonaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actinonaias,Actinonaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,Lampsilis / Obovaria ligamentina var. gibba Simpson
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias ligamentina,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,ligamentina,ligamentina,,,
Actionaias perdix,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,perdix,perdix,,,L. perdix Lea.
Actionaias perdix,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,perdix,perdix,,,
Actionaias perdix,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,perdix,perdix,,,
Actionaias perdix,Mollusca,Bivalvia,Unionoida,Unionidae,Actionaias,Actionaias,perdix,perdix,,,
Actionaias perdix,Mollusca,Bivalvia,,Unionidae,Actionaias,Actionaias,perdix,perdix,,,
Actionais ligamentina,Mollusca,Bivalvia,,Unionidae,Actionais,Actionais,ligamentina,ligamentina,,,
Acutaea persona,Mollusca,Gastropoda,,Cypraeidae,Acutaea,Acutaea,persona,persona,,,
Adula falcata,Mollusca,Bivalvia,,,Adula,Adula,falcata,falcata,,,
Adula stylina,Mollusca,Bivalvia,,Mytilidae,Adula,Adula,stylina,stylina,,,Adula stylina Carpenter
Aethocola sp.,Mollusca,Gastropoda,,Buccinidae,Aethocola,Aethocola,,,,,
Aethocola sp.,Mollusca,Gastropoda,,Buccinidae,Aethocola,Aethocola,,,,,
Agarica sp.,unk. invertebrate,,,,Agarica,Agarica,,sp.,,,
Agaricea agaricites,unk. invertebrate,,,,Agaricea,Agaricea,agaricites,agaricites,,,
Agaricea agaricites,unk. invertebrate,,,,Agaricea,Agaricea,agaricites,agaricites,,,
Agriolimax agrestis,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,agrestis,agrestis,,,
Agriolimax agrestis,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,agrestis,agrestis,,,
Agriolimax agrestis,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,agrestis,agrestis,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,,,
Agriolimax campestris montanus,Mollusca,Gastropoda,,Agriolimacidae,Agriolimax,Agriolimax,campestris,campestris,montanus,montanus,
Alasimodonta calceola,Mollusca,Bivalvia,Unionoida,Unionidae,Alasimodonta,Alasimodonta,calceola,calceola [calceolus],,,
Alasimodonta marginata,Mollusca,Bivalvia,Unionoida,Unionidae,Alasimodonta,Alasimodonta,marginata,marginata,,,A. [Alasimodonta] truncata B.H. Wright
Alasimodonta marginata,Mollusca,Bivalvia,Unionoida,Unionidae,Alasimodonta,Alasimodonta,marginata,marginata,,,
Alasimodonta marginata,Mollusca,Bivalvia,Unionoida,Unionidae,Alasimodonta,Alasimodonta,marginata,marginata,,,
Alasimodonta marginata,Mollusca,Bivalvia,Unionoida,Unionidae,Alasimodonta,Alasimodonta,marginata,marginata,,,
Alasimodonta truncata,Mollusca,Bivalvia,Unionoida,Unionidae,Alasimodonta,Alasimodonta,truncata,truncata,,,
Alasimodonta viridis,Mollusca,Bivalvia,Unionoida,Unionidae,Alasimodonta,Alasimodonta,viridis,viridis,,,S. viridis Conrad
Alasmidonta calceola,Mollusca,Bivalvia,,Unionidae,Alasmidonta,Alasmidonta,calceola,calceola,,,
Alasmidonta calceola,Mollusca,Bivalvia,,Unionidae,Alasmidonta,Alasmidonta,calceola,calceola,,,
