guid,part_name,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,ATTRIBUTE_UNITS,DETERMINED_DATE,determiner,remark
CHAS:Bird:2018.1.19,"skin, study",location,RVWD: 302: Orn Cab 11: I,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.26,"skin, study",location,RVWD: 302: Orn Cab 21: H,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.28,"skin, study",location,RVWD: 302: Orn Cab 02: M,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.29,"skin, study",location,RVWD: 302: Orn Cab 02: M,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.56,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.6,"skin, study",location,RVWD: 302: Orn Cab 23: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.9,"skin, study",location,RVWD: 302: Orn Cab 04: B,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.18,"skin, study",location,RVWD: 302: Orn Cab 02: G,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.20,"skin, study",location,RVWD: 302: Orn Cab 23: A,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.21,"skin, study",location,RVWD: 302: Orn Cab 21: K,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.27,"skin, study",location,RVWD: 302: Orn Cab 21: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.8,"skin, study",location,RVWD: 302: Orn Cab 22: K,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.30,"skin, study",location,RVWD: 302: Orn Cab 02: M,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.38,"skin, study",location,RVWD: 302: Orn Cab 02: G,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.50,"skin, study",location,RVWD: 302: Orn Cab 23: C,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.1,"skin, study",location,RVWD: 302: Orn Cab 02: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.10,"skin, study",location,RVWD: 302: Orn Cab 22: E,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.12,"skin, study",location,RVWD: 302: Orn Cab 21: F,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.13,"skin, study",location,RVWD: 302: Orn Cab 02: M,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.22,"skin, study",location,RVWD: 302: Orn Cab 23: C,,2018-06-01,Collin McCord,
CHAS:Bird:2018.1.3,"skin, study",location,RVWD: 302: Orn Cab 23: D,,2018-06-01,Collin McCord,
