guid,ATTRIBUTE,ATTRIBUTE_VALUE,ATTRIBUTE_UNITS,ATTRIBUTE_DATE,ATTRIBUTE_METH,DETERMINER,REMARKS
CHAS:Bird:2019.1.44,fat deposition,"extreme: very yellow orange color of egg-yolk, more fat around organs",,2019-01-24,,Annalise Nordgren,
CHAS:Bird:2019.1.45,fat deposition,heavy,,2019-04-24,,Annamarie Fadorsen,
CHAS:Bird:2019.1.46,fat deposition,light: pale yellow,,2019-02-19,,Charmaine John,
CHAS:Bird:2019.1.48,fat deposition,freeze dried,,2019-03-14,,Julianna Crisanti,
CHAS:Bird:2019.1.49,fat deposition,"trace: small amount on neck sides, in feather tracks, and between visceral organs more prevalent there than elsewhere",,2019-03-22,,Jensen Wong,
CHAS:Bird:2019.1.50,fat deposition,extreme: gelatine-like and clearish yellow,,2019-03-28,,Jensen Wong,
CHAS:Bird:2019.1.51,fat deposition,light,,2019-02-12,,Kristi Overgaard,
CHAS:Bird:2019.1.52,fat deposition,"moderate: very yellow fat around furcula, feather tracks",,2019-03-27,,Kristian Williams,
CHAS:Bird:2019.1.53,fat deposition,trace,,2019-01-23,,Lindsey Gregori,
CHAS:Bird:2019.1.54,fat deposition,"heavy: very liquidy, light in color, throughout especially near hips",,2019-01-24,,Julianna Crisanti,
CHAS:Bird:2019.1.55,fat deposition,trace,,2018-12-27,,Julianna Crisanti,
CHAS:Bird:2019.1.56,fat deposition,"extreme: heavy around organs, heavy around neck especially, and throughout",,2019-03-07,,Julianna Crisanti,
CHAS:Bird:2019.1.57,fat deposition,none observed,,2019-03-14,,Julianna Crisanti,
CHAS:Bird:2019.1.58,fat deposition,none observed,,2019-03-28,,Julianna Crisanti,
CHAS:Bird:2019.1.59,fat deposition,"light: by neck and hips, yellow gelatin consistency",,2019-03-21,,Julianna Crisanti,
CHAS:Bird:2019.1.60,fat deposition,"extreme: dark yellow, throughout, on every inch of skin, visceral fat",,2019-04-11,,Julianna Crisanti,
CHAS:Bird:2019.1.61,fat deposition,"extreme: clear gelatinous, fat everywhere, thick white fat packed around viscera",,2019-04-25,,Julianna Crisanti,
CHAS:Bird:2019.1.62,fat deposition,light,,2019-05-09,,Julianna Crisanti,
CHAS:Bird:2019.1.63,fat deposition,"trace: furcula, visceral fat along intestines",,2019-01-29,,Janelle Iaccino,
CHAS:Bird:2019.1.64,fat deposition,light: fat around furcula,,2019-03-19,,Janelle Iaccino,
CHAS:Bird:2019.1.65,fat deposition,moderate: fat around furcula and behind shoulder blades,,2019-03-26,,Janelle Iaccino,
CHAS:Bird:2019.1.66,fat deposition,trace,,2019-02-12,,Myra Surin,
CHAS:Bird:2019.1.67,fat deposition,trace,,2019-03-12,,Myra Surin,
CHAS:Bird:2019.1.68,fat deposition,light: fat around furcula and light visceral fat,,2019-04-16,,Myra Surin,
