MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_1-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_1-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:1,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_1-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_1-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_1-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:1,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_1-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_1-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_1-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:1,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_1-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_10-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_10-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:10,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_10-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_10-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_10-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:10,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_10-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_10-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_10-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:10,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_10-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_10-4.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_10-4.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:10,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_10-4.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_100-1.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_100-1.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:100,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_100-1.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_100-2.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_100-2.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:100,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_100-2.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
http://web.corral.tacc.utexas.edu/CAS/20161211-01/jpg/chas_egg_100-3.jpg,http://web.corral.tacc.utexas.edu/CAS/20161211-01/tb/tn_chas_egg_100-3.jpg,CC BY-NC-SA,image/jpeg,image,shows cataloged_item,CHAS:Egg:100,derived from media,http://web.corral.tacc.utexas.edu/CAS/20161211-01/chas_egg_100-3.dng,associated with project,chas-specimen-photography,made date,2014-01-16,subject,bird,description,View of specimen.
