MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_RELATIONSHIP_4,MEDIA_RELATED_TERM_4,MEDIA_RELATIONSHIP_5,MEDIA_RELATED_TERM_5,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3,MEDIA_LABEL_4,MEDIA_LABEL_VALUE_4
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23089-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23089-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23089,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23089-3.tif,subject,mollusk,made date,2017-06-16,title,"Paratype of Lymnaea randolphi, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23090-1.tif,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23090-3.tif,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23090-2.tif,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23090-4.tif,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23125.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23125.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23125.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23125.1-3.tif,subject,mollusk,made date,2017-07-27,title,Lectotype of Lymnaea dalli,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23137.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23137.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23137.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23137.1-3.tif,subject,mollusk,made date,2017-07-22,title,Lectotype of Lymnaea owascoensis,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23156-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23156-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23156,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23156-1.tif,subject,mollusk,made date,2017-07-08,title,"Lectotype of Lymnaea sterkii, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23156-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23156-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23156,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23156-2.tif,subject,mollusk,made date,2017-07-08,title,"Lectotype of Lymnaea sterkii, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23156-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23156-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23156,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23156-3.tif,subject,mollusk,made date,2017-07-08,title,"Lectotype of Lymnaea sterkii, lateral view",subject,type specimen
